participant,block_number,trial_number,choice,reward,Q1,Q2,Q3
60e46e6f6bc0c2cdf5d077ce,1,1,1,1,0.5,0.5,0.5
60e46e6f6bc0c2cdf5d077ce,1,2,1,1,0.9705004837200426,0.5,0.5
60e46e6f6bc0c2cdf5d077ce,1,3,2,1,0.9982595385015542,0.5,0.5
60e46e6f6bc0c2cdf5d077ce,1,4,2,0,0.9982595385015542,0.9705004837200426,0.5
60e46e6f6bc0c2cdf5d077ce,1,5,3,0,0.9982595385015542,0.05725857106146903,0.5
60e46e6f6bc0c2cdf5d077ce,1,6,2,0,0.9982595385015542,0.05725857106146903,0.029499516279957394
60e46e6f6bc0c2cdf5d077ce,1,7,1,1,0.9982595385015542,0.003378235260232055,0.029499516279957394
60e46e6f6bc0c2cdf5d077ce,1,8,1,1,0.9998973122633407,0.003378235260232055,0.029499516279957394
60e46e6f6bc0c2cdf5d077ce,1,9,3,1,0.999993941328888,0.003378235260232055,0.029499516279957394
60e46e6f6bc0c2cdf5d077ce,1,10,3,1,0.999993941328888,0.003378235260232055,0.942741428938531
60e46e6f6bc0c2cdf5d077ce,1,11,2,1,0.999993941328888,0.003378235260232055,0.9966217647397679
60e46e6f6bc0c2cdf5d077ce,1,12,1,1,0.999993941328888,0.941200284242292,0.9966217647397679
60e46e6f6bc0c2cdf5d077ce,1,13,2,1,0.9999996425290052,0.941200284242292,0.9966217647397679
60e46e6f6bc0c2cdf5d077ce,1,14,3,0,0.9999996425290052,0.9965308368743377,0.9966217647397679
60e46e6f6bc0c2cdf5d077ce,1,15,1,0,0.9999996425290052,0.9965308368743377,0.05879971575770804
60e46e6f6bc0c2cdf5d077ce,1,16,1,0,0.05899901146834646,0.9965308368743377,0.05879971575770804
60e46e6f6bc0c2cdf5d077ce,1,17,2,1,0.003480921752429627,0.9965308368743377,0.05879971575770804
60e46e6f6bc0c2cdf5d077ce,1,18,3,0,0.003480921752429627,0.9997953183771027,0.05879971575770804
60e46e6f6bc0c2cdf5d077ce,1,19,2,0,0.003480921752429627,0.9997953183771027,0.003469163125662287
60e46e6f6bc0c2cdf5d077ce,1,20,1,0,0.003480921752429627,0.05898695615636562,0.003469163125662287
60e46e6f6bc0c2cdf5d077ce,1,21,3,1,2.0537539989123324e-4,0.05898695615636562,0.003469163125662287
60e46e6f6bc0c2cdf5d077ce,1,22,3,0,2.0537539989123324e-4,0.05898695615636562,0.9412056490629825
60e46e6f6bc0c2cdf5d077ce,1,23,1,0,2.0537539989123324e-4,0.05898695615636562,0.055530185966572554
60e46e6f6bc0c2cdf5d077ce,1,24,2,0,1.2117337891501663e-5,0.05898695615636562,0.055530185966572554
60e46e6f6bc0c2cdf5d077ce,1,25,3,0,1.2117337891501663e-5,0.0034802104703977772,0.055530185966572554
60e46e6f6bc0c2cdf5d077ce,2,1,1,1,1.2117337891501663e-5,0.0034802104703977772,0.0032762600500663396
60e46e6f6bc0c2cdf5d077ce,2,2,1,0,0.9410016823818192,0.0034802104703977772,0.0032762600500663396
60e46e6f6bc0c2cdf5d077ce,2,3,2,1,0.05551815174614494,0.0034802104703977772,0.0032762600500663396
60e46e6f6bc0c2cdf5d077ce,2,4,2,1,0.05551815174614494,0.9412063008727898,0.0032762600500663396
60e46e6f6bc0c2cdf5d077ce,2,5,3,0,0.05551815174614494,0.9965311918648183,0.0032762600500663396
60e46e6f6bc0c2cdf5d077ce,2,6,2,0,0.05551815174614494,0.9965311918648183,1.933001717088715e-4
60e46e6f6bc0c2cdf5d077ce,2,7,1,0,0.05551815174614494,0.058794371882226915,1.933001717088715e-4
60e46e6f6bc0c2cdf5d077ce,2,8,3,1,0.003275550012495406,0.058794371882226915,1.933001717088715e-4
60e46e6f6bc0c2cdf5d077ce,2,9,1,1,0.003275550012495406,0.058794371882226915,0.9410123723208337
60e46e6f6bc0c2cdf5d077ce,2,10,3,1,0.9411942257180349,0.058794371882226915,0.9410123723208337
60e46e6f6bc0c2cdf5d077ce,2,11,1,1,0.9411942257180349,0.058794371882226915,0.9965197499083205
60e46e6f6bc0c2cdf5d077ce,2,12,3,0,0.9965304794120079,0.058794371882226915,0.9965197499083205
60e46e6f6bc0c2cdf5d077ce,2,13,2,1,0.9965304794120079,0.058794371882226915,0.05879369678944485
60e46e6f6bc0c2cdf5d077ce,2,14,1,0,0.9965304794120079,0.9444698152692534,0.05879369678944485
60e46e6f6bc0c2cdf5d077ce,2,15,2,1,0.05879432984596039,0.9444698152692534,0.05879369678944485
60e46e6f6bc0c2cdf5d077ce,2,16,3,1,0.05879432984596039,0.9967237400228517,0.05879369678944485
60e46e6f6bc0c2cdf5d077ce,2,17,2,0,0.05879432984596039,0.9967237400228517,0.9444697754373308
60e46e6f6bc0c2cdf5d077ce,2,18,3,0,0.05879432984596039,0.05880573239250836,0.9444697754373308
60e46e6f6bc0c2cdf5d077ce,2,19,1,0,0.05879432984596039,0.05880573239250836,0.05572277023257244
60e46e6f6bc0c2cdf5d077ce,2,20,3,1,0.0034688453489106277,0.05880573239250836,0.05572277023257244
60e46e6f6bc0c2cdf5d077ce,2,21,2,1,0.0034688453489106277,0.05880573239250836,0.9442885901309008
60e46e6f6bc0c2cdf5d077ce,2,22,2,1,0.0034688453489106277,0.944470485556482,0.9442885901309008
60e46e6f6bc0c2cdf5d077ce,2,23,2,1,0.0034688453489106277,0.9967237795712304,0.9442885901309008
60e46e6f6bc0c2cdf5d077ce,2,24,1,0,0.0034688453489106277,0.9998067021660573,0.9442885901309008
60e46e6f6bc0c2cdf5d077ce,2,25,3,1,2.0466287339935456e-4,0.9998067021660573,0.9442885901309008
60e46e6f6bc0c2cdf5d077ce,3,1,2,0,2.0466287339935456e-4,0.9998067021660573,0.9967130475877506
60e46e6f6bc0c2cdf5d077ce,3,2,3,0,2.0466287339935456e-4,0.05898762781710243,0.9967130475877506
60e46e6f6bc0c2cdf5d077ce,3,3,2,0,2.0466287339935456e-4,0.05898762781710243,0.05880510152314028
60e46e6f6bc0c2cdf5d077ce,3,4,1,0,2.0466287339935456e-4,0.0034802500998182793,0.05880510152314028
60e46e6f6bc0c2cdf5d077ce,3,5,3,0,1.2075297277471745e-5,0.0034802500998182793,0.05880510152314028
60e46e6f6bc0c2cdf5d077ce,3,6,2,0,1.2075297277471745e-5,0.0034802500998182793,0.003469480893780741
60e46e6f6bc0c2cdf5d077ce,3,7,1,0,1.2075297277471745e-5,2.0533577095017182e-4,0.003469480893780741
60e46e6f6bc0c2cdf5d077ce,3,8,3,1,7.124612199046689e-7,2.0533577095017182e-4,0.003469480893780741
60e46e6f6bc0c2cdf5d077ce,3,9,3,1,7.124612199046689e-7,2.0533577095017182e-4,0.9412056678119711
60e46e6f6bc0c2cdf5d077ce,3,10,3,1,7.124612199046689e-7,2.0533577095017182e-4,0.9965311545128994
