participant,block_number,trial_number,choice,E1,E2,E3
60e46e6f6bc0c2cdf5d077ce,1,1,1,0,0,0
60e46e6f6bc0c2cdf5d077ce,1,2,1,-0.8167260461260696,0,0
60e46e6f6bc0c2cdf5d077ce,1,3,2,-1.337963823425218,0,0
60e46e6f6bc0c2cdf5d077ce,1,4,2,-0.8640105384290506,-0.8167260461260696,0
60e46e6f6bc0c2cdf5d077ce,1,5,3,-0.5612608244897027,-1.337963823425218,0
60e46e6f6bc0c2cdf5d077ce,1,6,2,-0.3658762915350023,-0.8640105384290506,-0.8167260461260696
60e46e6f6bc0c2cdf5d077ce,1,7,1,-0.23702872384745471,-1.3893443137400359,-0.519515201643892
60e46e6f6bc0c2cdf5d077ce,1,8,1,-1.016174396373888,-0.895246324752097,-0.33830303168765374
60e46e6f6bc0c2cdf5d077ce,1,9,3,-1.4821781090527502,-0.5816223608757544,-0.22145680388217054
60e46e6f6bc0c2cdf5d077ce,1,10,3,-0.9447244283429954,-0.3784535187919349,-0.9804017134957561
60e46e6f6bc0c2cdf5d077ce,1,11,2,-0.6112226218364238,-0.24401902936221442,-1.452836384730199
60e46e6f6bc0c2cdf5d077ce,1,12,1,-0.39837677843788066,-1.0355703613400984,-0.9342982327133402
60e46e6f6bc0c2cdf5d077ce,1,13,2,-1.1295472987834678,-0.6482895975103816,-0.6045511012971998
60e46e6f6bc0c2cdf5d077ce,1,14,3,-0.7080475639795833,-1.2779293571607782,-0.393747420688331
60e46e6f6bc0c2cdf5d077ce,1,15,1,-0.4581390989685473,-0.8085237770210824,-1.1214849296977816
60e46e6f6bc0c2cdf5d077ce,1,16,1,-1.1677185789147342,-0.523478850573801,-0.7068754232708654
60e46e6f6bc0c2cdf5d077ce,1,17,2,-1.5931473316789888,-0.33780156090958363,-0.4573288920218399
60e46e6f6bc0c2cdf5d077ce,1,18,3,-1.009553137528414,-1.0955558300437827,-0.2940804937165211
60e46e6f6bc0c2cdf5d077ce,1,19,2,-0.6534927092784667,-0.6853127005033894,-1.0670647958560835
60e46e6f6bc0c2cdf5d077ce,1,20,1,-0.42246156092236253,-1.306761241284454,-0.6673939230607904
60e46e6f6bc0c2cdf5d077ce,1,21,3,-1.150244959897534,-0.8245877405372369,-0.43038569976217594
60e46e6f6bc0c2cdf5d077ce,1,22,3,-0.719563282790034,-0.5339772700776964,-1.1478948397665203
60e46e6f6bc0c2cdf5d077ce,1,23,1,-0.4649686441265858,-0.34368639884560265,-1.5768093064962363
60e46e6f6bc0c2cdf5d077ce,1,24,2,-1.175722792903851,-0.22136592943675731,-1.0029902197942233
60e46e6f6bc0c2cdf5d077ce,1,25,3,-0.7363822163940572,-1.0276503488697262,-0.6463402510472889
60e46e6f6bc0c2cdf5d077ce,2,1,1,0,0,0
60e46e6f6bc0c2cdf5d077ce,2,2,1,-0.8167260461260696,0,0
60e46e6f6bc0c2cdf5d077ce,2,3,2,-1.337963823425218,0,0
60e46e6f6bc0c2cdf5d077ce,2,4,2,-0.8640105384290506,-0.8167260461260696,0
60e46e6f6bc0c2cdf5d077ce,2,5,3,-0.5612608244897027,-1.337963823425218,0
60e46e6f6bc0c2cdf5d077ce,2,6,2,-0.3658762915350023,-0.8640105384290506,-0.8167260461260696
60e46e6f6bc0c2cdf5d077ce,2,7,1,-0.23702872384745471,-1.3893443137400359,-0.519515201643892
60e46e6f6bc0c2cdf5d077ce,2,8,3,-1.016174396373888,-0.895246324752097,-0.33830303168765374
60e46e6f6bc0c2cdf5d077ce,2,9,1,-0.6423207830145978,-0.5816223608757544,-1.0494216199906963
60e46e6f6bc0c2cdf5d077ce,2,10,3,-1.2655417815880252,-0.3784535187919349,-0.6748867135218048
60e46e6f6bc0c2cdf5d077ce,2,11,1,-0.8047714367825881,-0.24401902936221442,-1.2746336603323645
60e46e6f6bc0c2cdf5d077ce,2,12,3,-1.3764915924791583,-0.15813214501735587,-0.8161276039247558
60e46e6f6bc0c2cdf5d077ce,2,13,2,-0.8735063609938534,-0.10251122798861423,-1.3763770218566895
60e46e6f6bc0c2cdf5d077ce,2,14,1,-0.5655068515591729,-0.9436189552582827,-0.8789670871893849
60e46e6f6bc0c2cdf5d077ce,2,15,2,-1.2341924450914044,-0.5892670354720164,-0.5688567144621808
60e46e6f6bc0c2cdf5d077ce,2,16,3,-0.7783090200864717,-1.233271927325819,-0.3675835496081334
60e46e6f6bc0c2cdf5d077ce,2,17,2,-0.5019995487865239,-0.7811918864947156,-1.1130053021804494
60e46e6f6bc0c2cdf5d077ce,2,18,3,-0.32340815353774266,-1.3611218770412656,-0.6974208999854552
60e46e6f6bc0c2cdf5d077ce,2,19,1,-0.2091605537527662,-0.8644304956172812,-1.3179025991555215
60e46e6f6bc0c2cdf5d077ce,2,20,3,-1.0220720851941185,-0.5594225710938905,-0.8305739651114126
60e46e6f6bc0c2cdf5d077ce,2,21,2,-0.6355972585682202,-0.36097805147197276,-1.4002096865396902
60e46e6f6bc0c2cdf5d077ce,2,22,2,-0.4079868069816615,-1.1110322979842002,-0.8851982037574251
60e46e6f6bc0c2cdf5d077ce,2,23,2,-0.2638338243962697,-1.5584856547425554,-0.5716188391187977
60e46e6f6bc0c2cdf5d077ce,2,24,1,-0.16880823400231354,-1.8430553176923246,-0.3687220756220153
60e46e6f6bc0c2cdf5d077ce,2,25,3,-0.9876089253780631,-1.173226329655267,-0.23849010251240274
60e46e6f6bc0c2cdf5d077ce,3,1,2,0,0,0
60e46e6f6bc0c2cdf5d077ce,3,2,3,0,-0.8167260461260696,0
60e46e6f6bc0c2cdf5d077ce,3,3,2,0,-0.519515201643892,-0.8167260461260696
60e46e6f6bc0c2cdf5d077ce,3,4,1,0,-1.1600407322040942,-0.519515201643892
60e46e6f6bc0c2cdf5d077ce,3,5,3,-0.8167260461260696,-0.7476163547630207,-0.33830303168765374
60e46e6f6bc0c2cdf5d077ce,3,6,2,-0.519515201643892,-0.4856849772637413,-1.0494216199906963
60e46e6f6bc0c2cdf5d077ce,3,7,1,-0.33830303168765374,-1.1641920206274632,-0.6748867135218048
60e46e6f6bc0c2cdf5d077ce,3,8,3,-1.0494216199906963,-0.7412046106656052,-0.43648497154777116
60e46e6f6bc0c2cdf5d077ce,3,9,3,-0.6748867135218048,-0.47997287013024564,-1.1333338970357283
60e46e6f6bc0c2cdf5d077ce,3,10,3,-0.43648497154777116,-0.310898783496986,-1.5612069660518952
60e46e6f6bc0c2cdf5d077ce,3,11,3,-0.2840843698028001,-0.20027556261707918,-1.8371214587728515
60e46e6f6bc0c2cdf5d077ce,3,12,2,-0.18306870948616738,-0.12960920076682783,-2.020259175785066
60e46e6f6bc0c2cdf5d077ce,3,13,2,-0.11890531606587738,-0.9594019576934905,-1.2957390639055109
60e46e6f6bc0c2cdf5d077ce,3,14,3,-0.0768996662432476,-1.4483431783696412,-0.8399291664770417
60e46e6f6bc0c2cdf5d077ce,3,15,1,-0.04995499754050457,-0.9204233456751882,-1.4045905191602328
60e46e6f6bc0c2cdf5d077ce,3,16,3,-0.8889551655301913,-0.5926325350625905,-0.8969319727471046
60e46e6f6bc0c2cdf5d077ce,3,17,2,-0.5626698960889711,-0.38604702119407497,-1.443527858843368
60e46e6f6bc0c2cdf5d077ce,3,18,3,-0.3605313059510612,-1.1205062798111212,-0.916778681743949
60e46e6f6bc0c2cdf5d077ce,3,19,1,-0.23340524266182405,-0.7028135893078851,-1.4560464703348475
60e46e6f6bc0c2cdf5d077ce,3,20,1,-1.008840880781991,-0.4549821541971608,-0.9241175360098484
60e46e6f6bc0c2cdf5d077ce,3,21,1,-1.4756323791911092,-0.29256279203810903,-0.5972199928018493
60e46e6f6bc0c2cdf5d077ce,3,22,1,-1.776755261968499,-0.18821773212870652,-0.38357770694941645
60e46e6f6bc0c2cdf5d077ce,3,23,2,-1.9763310602628898,-0.12207599129868003,-0.2482840462919783
60e46e6f6bc0c2cdf5d077ce,3,24,2,-1.270412288202542,-0.9595134682652777,-0.16083012792112833
60e46e6f6bc0c2cdf5d077ce,3,25,1,-0.8240131262808962,-1.4500542327342236,-0.1037859342034217
60e46e6f6bc0c2cdf5d077ce,4,1,2,0,0,0
60e46e6f6bc0c2cdf5d077ce,4,2,3,0,-0.8167260461260696,0
60e46e6f6bc0c2cdf5d077ce,4,3,1,0,-0.519515201643892,-0.8167260461260696
60e46e6f6bc0c2cdf5d077ce,4,4,2,-0.8167260461260696,-0.33830303168765374,-0.519515201643892
60e46e6f6bc0c2cdf5d077ce,4,5,3,-0.519515201643892,-1.0494216199906963,-0.33830303168765374
60e46e6f6bc0c2cdf5d077ce,4,6,3,-0.33830303168765374,-0.6748867135218048,-1.0494216199906963
60e46e6f6bc0c2cdf5d077ce,4,7,1,-0.22145680388217054,-0.43648497154777116,-1.4987529584624568
60e46e6f6bc0c2cdf5d077ce,4,8,2,-0.9804017134957561,-0.2840843698028001,-0.9643319098415368
