mu_alpha,mu_beta,mu_kappa,mu_decay,sigma_alpha,sigma_beta,sigma_kappa,sigma_decay
0.41709461,0.13747397,-0.2260227,1.200289,1.5708314,0.65195679,0.70523934,2.4162758
0.79436762,0.2613132,-0.22291857,0.87206631,2.0177894,0.5856884,0.70466022,2.7412382
0.66139564,-0.6860712,-0.1440903,0.26725912,3.6765157,1.5258808,0.50860339,1.4863792
-0.92989532,-0.12924276,-0.20449417,0.62067041,2.6399857,0.66075354,0.47967358,2.0406042
0.31700045,-0.4046238,-0.38370401,1.702549,2.5934792,0.86371646,0.77254639,3.6074669
0.48548348,-0.18254354,0.00257993,0.28624679,1.5792201,0.96352738,0.4768399,2.7596003
0.45463563,-0.025731912,-0.17045141,-1.6985037,2.8898828,0.96182144,0.66215577,3.3554505
-0.086399798,0.62165754,0.013794191,0.16964682,3.4329362,0.95953841,0.61855433,2.8400497
0.13496526,0.13811258,0.10030844,-0.63473839,2.6492469,0.43490704,0.55704357,3.6296244
0.81813144,0.034756446,0.087399677,-0.066711498,3.3639863,0.89510228,0.48022038,2.7061687
-0.045848167,-0.018368878,0.034802883,1.8405884,2.9572809,0.67558499,0.5647292,3.7244864
-0.057994624,-0.32003827,0.055927851,0.84666807,2.1845043,0.6954056,0.62898451,2.3321473
-1.4870315,-0.24821873,0.049906738,1.6097603,1.5546907,0.88461213,0.61460933,3.1852873
-0.45531845,0.11640762,0.013886117,0.9985914,4.0192331,0.79192022,0.61546519,2.6114358
-2.113202,0.49189472,0.042956091,1.786691,3.022693,0.89579653,0.70888273,4.3482931
-0.68521688,0.13689081,-0.027950703,0.2007455,4.534328,0.82029633,0.59001495,2.052114
-0.49241527,-0.092037074,0.10106015,0.14169641,1.3341971,1.1928249,0.74385932,2.5584755
-0.047164757,0.0069377648,0.19058897,1.3446508,1.9652286,1.0547228,0.52320536,2.1011818
1.2856509,-0.87991182,0.089948725,2.3637882,2.4694553,1.1699217,0.58715272,2.7494012
1.0900666,-0.80162917,-0.01497687,-0.35772479,1.9095984,1.2336746,0.83577493,2.6068914
0.26141113,-0.20778105,0.073693537,-1.1627039,2.7529347,1.4539326,0.83382512,2.767369
-0.82263889,0.22661511,0.036779932,0.020425913,3.6364792,0.73274694,0.84352301,2.2544659
-1.4265792,0.30779437,0.035488452,-0.17646711,3.2066483,0.59834129,0.72286144,2.365322
-0.74635145,0.25787342,-0.065194067,0.42676368,2.5701927,0.6866347,0.79272559,2.4161723
-0.88243965,0.51397193,0.16300625,-2.0159667,3.2078271,0.87095211,0.56899264,2.9403508
-0.80934015,0.54555617,0.15496101,-2.1098405,3.2763454,0.80088133,0.56173909,2.7881518
-1.0935976,0.34811563,0.0073159819,-0.40255659,4.4015106,0.66808487,0.43147228,2.4595149
-0.76915078,0.73650719,-0.032242273,-0.25023524,2.769225,0.85853968,0.5503546,3.4099512
-1.5329929,0.59350195,-0.10072617,0.059733734,3.1855685,0.47523646,0.63617973,3.2289163
-0.63980601,0.29673916,0.018000233,-0.95574919,3.3150805,0.5897956,0.58589435,3.1442558
-0.019987383,0.28621927,0.11506027,0.14405161,2.8050318,0.62292237,0.48308368,2.470087
-0.56078023,0.31035022,0.042508573,-0.45724769,3.7871979,0.33062316,0.51505484,3.6472435
-1.2850985,0.53898116,0.166787,0.021139535,2.2201569,0.57439539,0.61568515,3.0037591
0.74331748,0.29658115,0.10073549,1.330567,4.2327312,1.0904445,0.63309087,3.2403236
-1.0510494,0.20390749,0.1810868,-0.96572901,2.587216,0.49607231,0.64953533,3.6307722
0.71399905,-0.037674029,-0.053146811,0.79948096,2.7710773,0.74244572,0.77147885,2.7441862
-0.44699968,-0.23761448,-0.0028357845,-1.3875462,3.2463127,1.1639667,0.66802334,3.4372638
1.302831,-0.088549853,-0.100118,-0.059258024,1.6820947,0.57572668,0.56571212,2.1589769
0.40460599,-0.23555131,-0.039415616,-1.2672248,1.3527227,0.60269635,0.6406229,2.1827905
0.089650269,-0.11880114,-0.016468801,-0.81709688,2.5936806,0.63009718,0.50376906,2.5898447
-0.47194767,0.21300721,0.19943391,-1.6529265,2.6663101,0.28543403,0.82936855,4.8373124
-1.8642599,0.32992475,0.16835772,-1.8137741,1.7643073,0.5553801,0.64276271,4.4335882
-1.5918759,-0.075607637,0.23826625,-1.4053852,3.3797873,0.78232976,0.67872704,3.353108
0.33486373,-0.29431431,0.32071264,0.18068741,3.9920414,0.75228363,1.320969,2.1422295
-0.71844627,0.44941104,0.13466856,-0.33317326,2.4671139,1.292413,0.58130155,4.4960397
0.21497276,-0.28088981,0.1802423,0.60215769,2.6167995,1.0434445,0.71602546,4.1056606
0.27563018,-0.062126395,0.16668091,0.83441504,2.2318689,1.0252882,0.68813241,3.6070154
0.26602936,-0.078465609,0.098978819,0.069181676,2.2630008,0.8188743,0.82810543,3.9964923
