alpha_sbj[1],alpha_sbj[2],alpha_sbj[3],alpha_sbj[4],alpha_sbj[5],alpha_sbj[6],alpha_sbj[7],alpha_sbj[8],alpha_sbj[9],alpha_sbj[10],alpha_sbj[11],alpha_sbj[12],alpha_sbj[13],alpha_sbj[14],alpha_sbj[15],alpha_sbj[16],alpha_sbj[17],alpha_sbj[18],alpha_sbj[19],alpha_sbj[20],beta_sbj[1],beta_sbj[2],beta_sbj[3],beta_sbj[4],beta_sbj[5],beta_sbj[6],beta_sbj[7],beta_sbj[8],beta_sbj[9],beta_sbj[10],beta_sbj[11],beta_sbj[12],beta_sbj[13],beta_sbj[14],beta_sbj[15],beta_sbj[16],beta_sbj[17],beta_sbj[18],beta_sbj[19],beta_sbj[20],kappa_sbj[1],kappa_sbj[2],kappa_sbj[3],kappa_sbj[4],kappa_sbj[5],kappa_sbj[6],kappa_sbj[7],kappa_sbj[8],kappa_sbj[9],kappa_sbj[10],kappa_sbj[11],kappa_sbj[12],kappa_sbj[13],kappa_sbj[14],kappa_sbj[15],kappa_sbj[16],kappa_sbj[17],kappa_sbj[18],kappa_sbj[19],kappa_sbj[20],decay_sbj[1],decay_sbj[2],decay_sbj[3],decay_sbj[4],decay_sbj[5],decay_sbj[6],decay_sbj[7],decay_sbj[8],decay_sbj[9],decay_sbj[10],decay_sbj[11],decay_sbj[12],decay_sbj[13],decay_sbj[14],decay_sbj[15],decay_sbj[16],decay_sbj[17],decay_sbj[18],decay_sbj[19],decay_sbj[20]
0.10999683,0.28456461,0.85380107,0.57327478,0.12900834,0.070044815,0.33569161,0.80813111,0.94120731,0.31165599,0.93445936,0.89058014,0.28583722,0.030969121,0.026756288,0.9840713,0.91861118,0.52262764,0.89119419,0.52244013,2.796678,0.73140139,2.4060852,0.82897493,0.89628557,1.2695445,0.82851567,2.7606473,1.2213178,1.4541465,0.69526852,0.94711638,1.0580625,5.191567,0.56711479,0.59707358,0.9161338,1.4527547,0.63461449,0.79363838,0.30165698,-0.91913756,0.3008449,-1.1082463,0.52394012,0.27459382,0.17143605,-0.47244898,1.0270997,-0.61927956,0.24258558,-0.7156274,0.36187825,-0.23323156,0.30391255,-0.12968182,0.79665561,0.54173578,-0.89241218,0.23446193,0.55655149,0.51999881,0.97202266,0.045884157,0.85211577,0.78157579,0.24018518,0.98557629,0.52313685,0.17740188,0.72806195,0.064151561,0.84565646,0.80410916,0.11780051,0.4211354,0.78452732,0.079974608,0.079580034,0.97038322
0.064960001,0.54680335,0.91713836,0.81189404,0.11595861,0.048548101,0.41300539000000003,0.79550282,0.80244548,0.16542077,0.99764017,0.98409842,0.71944902,0.083417938,0.0098900234,0.98373183,0.8598856,0.7036281,0.98657731,0.68685981,2.9689814,0.73175066,2.4936681,1.1238834,0.94894981,1.2154413,0.87411622,2.0541619,1.5465541,1.1017741,0.65210137,1.3897191,1.0371242,4.3343729,0.45150483,0.62799559,1.0093827,1.5186746,0.57168258,0.70948725,0.25546444,-1.1351073,0.32036447,-1.0339542,0.50988788,0.34707567,0.018332283,-0.46643781,1.1027082,-0.45192943,0.2885295,-0.49271213,0.40524638,-0.20803988,-0.10185743,0.03399441,0.74708428,0.84594893,-1.2297262,0.27722806,0.55548938,0.39885059,0.95913753,0.014302597,0.92449102,0.25196368,0.54943882,0.99385244,0.4200442,0.058177804,0.95565548,0.029020957,0.77561046,0.41972359,0.1157298,0.068870115,0.67850123,0.11962791,0.043570467,0.92435095
0.039758883,0.69290815,0.76251196,0.7869958,0.065844143,0.013339822,0.98432819,0.90657815,0.99901982,0.11774788,0.10810204,0.98982174,0.31845417,0.70659906,0.99954565,0.95281976,0.89500636,0.40769069,0.0045029151,0.16112763,8.3179074,0.10429913,4.9991914,0.042167861,0.087612562,0.51474317,0.78811761,2.7068957,1.5672852,0.40801577,0.73843786,0.12114673,0.18412534,0.3295312,0.033087906,1.1142911,0.29574407,2.4185541,0.73250608,1.9328698,0.28662004,-0.50917834,0.57408891,-0.61925353,0.71809013,0.39033595,0.27427114,-0.56508974,1.2479669,-0.56238969,0.2363016,-0.55220873,0.27375727,-0.18215756,0.14315454,0.056644405,0.5786769,0.2487679,-0.29803296,0.44055311,0.2031829,0.58802645,0.84874306,0.18130888,0.81427677,0.76222399,0.41644194,0.80524998,0.37348617,0.13553742,0.63260537,0.10620305,0.90885536,0.51255459,0.55921235,0.73435731,0.81465827,0.41287755,0.095222951,0.86064734
0.087811,0.44019004,0.66693737,0.97747529,0.0099315467,0.064881889,0.77644212,0.75784054,0.29300043,0.19998269,0.196277,0.47234722,0.56384083,0.85942654,0.86230647,0.56227316,0.29322396,0.52510945,0.18461575,0.20725935,4.0072555,0.96768591,3.1638783,0.36524799,0.23619187,1.6574722,1.0518986,1.6490386,1.5536215,0.36277329,0.51341043,0.89312793,0.55200844,0.90433442,0.22332042,2.1341902,0.4869427,2.0226983,1.1662319,1.4448389,0.42664376,-0.51946569,0.23639039,-0.79694608,0.36959888,0.31729834,-0.066239548,-0.57916272,0.79242034,-0.60102472,0.080403404,-0.56011644,0.30829712,0.012853511,0.093713478,-0.16956935,0.33218742,0.18426784,-0.24355815,0.32908876,0.40340352,0.29220269,0.97594294,0.15180138,0.92243233,0.73310376,0.91499738,0.79249953,0.77850488,0.19517728,0.038780363,0.13717934,0.90958604,0.022446984,0.18633387,0.20378896,0.91260869,0.96330666,0.056629558,0.88225298
0.16994464,0.82243252,0.76202234,0.086974642,0.0046370063,0.084249406,0.77028613,0.70518831,0.89555055,0.056787041,0.74289423,0.99148236,0.25639683,0.37545746,0.52099148,0.98019659,0.7629391,0.79982972,0.16085305,0.3066866,2.3449464,0.31134344,2.0235996,1.0763094,0.56062552,0.33778737,0.80720845,2.5873159,1.4073377,2.0204273,0.17043336,1.1034484,1.2854226,0.5809197,0.11972591,0.77843854,0.75779126,1.4502084,0.29657302,1.1161854,0.18179998,-0.31923232,0.22813124,-1.0901739,0.85654089,0.096553095,0.55387865,-0.63295138,0.8174085,-0.33528861,0.17598859,-0.5811394,0.12230935,0.062892553,-0.0026315393,0.15722522,0.62702222,1.0452867,-0.90555258,0.38674215,0.018276777,0.69709834,0.94902154,0.01335094,0.83588849,0.96442184,0.010253095,0.99999683,0.70714212,0.47654732,0.99948051,0.20563504,0.9938099,0.99914562,0.92370842,0.99926134,0.79397987,0.0047415613,0.018075071,0.89571044
0.16973803,0.56863198,0.4803352,0.34052456,0.04964363,0.3193597,0.46017194,0.80955523,0.80696098,0.24179373,0.86353207,0.46846936,0.23608757,0.087985755,0.097678838,0.55648703,0.18001286,0.38453353,0.78624577,0.33929108,4.3145781,0.66356113,3.2513432,1.0505277,0.45794696,0.25887057,1.03806,1.9627274,1.3524638,0.8950779,0.65756771,1.1136175,0.47762594,1.277524,0.48951364000000003,0.94812023,2.8109392,2.3151831,0.25455101,0.83985751,0.61301606,-0.86094972,0.35255431,-0.64110245,0.51119075,0.28206191,-0.18093216,-0.35205199,0.79944445,-0.5644479,0.38212381,-0.29765559,0.22738245,5.6833884e-4,0.13321502,0.11161518,0.4612388,0.1053831,-0.60218073,0.36276533,0.086578792,0.56046679,0.95098248,0.084253887,0.90896024,0.7264995,0.69384143,0.99862325,0.65579813,0.11341818,0.82697326,0.11212282,0.99599952,0.28862721,0.32755354,0.99094851,0.80050203,0.9894429,0.1238324,0.79876913
0.087660302,0.79694225,0.76911813,0.83280226,0.98811336,0.042110992,0.83688313,0.45846066,0.95916556,0.23082015,0.91050737,0.89299221,0.7216664,0.1058324,0.0088572843,0.85669299,0.98266059,0.72985627,0.44065436,0.24964681,3.9011215,0.33115989,2.7500502,1.0036413,0.19454247,1.0532629,0.64569378,3.5302132,1.547527,0.50716006,0.66858167,1.2803047,0.44436271,0.78386534,0.39465169,1.1919849,0.27356921,1.4215745,1.6059937,1.7244269,0.14407259,-0.79080366,0.27372437,-1.2656563,0.73229297,0.2204197,0.29572087,-0.57327734,0.93206984,-0.35588181,0.029730065,-0.9418793,0.26069586,-0.28289257,-0.097214811,-0.34703912,0.46760429,1.0919483,-0.95471954,0.35238042,0.0057015265,0.69393932,0.98336052,8.6416347e-5,0.84906472,0.75592183,0.01971355,0.92786142,0.48748,0.28163342,0.97261293,0.017462711,0.96681816,0.17034821,0.14778412,0.10565254,0.81252965,0.0013107056,0.0015421616,0.91892494
0.10839561,0.5492539,0.91450467,0.945195,0.0022180192,0.0014331717,0.97765382,0.95226035,0.98990117,0.056240104,0.98381838,0.975496,0.24662147,0.05191176,0.077005858,0.81632687,0.10082896,0.63561318,2.0405531e-5,0.046719141,4.5964047,0.88822758,2.7422602,0.89578272,0.55149457,3.7641498,0.77032462,1.5459923,1.9166769,4.0598894,0.862152,0.74861248,2.2956871,1.8292691,0.89333973,1.1438249,5.4188965,1.5264293,0.13609511,6.1143451,0.4660742,-0.93038877,0.27423374,-0.71464713,0.56894555,0.57616564,-0.019067733,-0.37321126,0.80767507,-0.79960541,0.33743815,-0.076004792,0.20250069,-0.086212602,0.44383218,-0.16512935,0.47460365,0.19980398,-0.6392662,0.23808724,0.069762997,0.5623683,0.9463358,0.71874351,0.89081503,0.39358941,0.43580541,0.99807845,0.36748665,0.078791841,0.86584157,0.025131492,0.98602259,0.82901752,0.071760688,0.16013671,0.73081817,0.75272825,0.27845237,0.99557849
0.10302327,0.0030974184,0.9119767,0.91553897,0.10575893,0.13651267,0.26339402,0.754191,0.81951102,0.13255547,0.82909218,0.37775183,0.6009289,0.16757623,0.0085983962,0.82244906,0.1122035,0.46370846,0.1419437,0.12896523,2.5318896,1.0885875,1.8089566,0.69090897,0.93359664,0.7966965,0.73056893,1.4772903,1.8428176,0.93504166,0.7365647,1.5868262,0.54816189,1.5341413,1.2741274,1.0539785,0.91264421,1.8087639,1.643954,1.1540705,0.56382697,-0.36689218,0.36072757,-0.87903058,0.5411707,0.10934049,0.11384334,-0.18522116,1.4230809,0.027365691,0.26697116,-0.8137367,0.25835034,-0.0050618498,-0.20555696,-0.031345558,0.67008717,0.68952305,-0.5663379,0.2514726,0.014389605,0.71028937,0.97663276,4.8606976e-6,0.85085845,0.96602908,0.61953045,0.99867538,0.029341692,0.34079601,0.99953157,0.12425271,0.94692626,0.30948084,0.49168756,0.051784768,0.78794739,0.044178757,3.5033266e-4,0.91043284
0.18784562,0.99908127,0.86331817,0.99970667,8.1767419e-4,0.015117484,0.98631602,0.64664769,0.99017475,0.24092601,0.92175422,0.10730387,0.45478062,0.082481656,0.30155415,0.93656972,0.11145716,0.46124619,6.9520035e-4,0.21439696,3.7209649,0.3106438,4.8596987,1.2578688,5.9033191,0.59815962,0.91002711,2.359535,0.56376629,1.2196508,0.67987941,3.9398789,0.5654688,3.5364643,0.23791969,1.3697514,1.8791936,1.853073,0.55584417,0.18086174,0.37963277,-0.90443036,0.31209795,-0.92386684,0.64677659,0.37202046,0.22592812,-0.3600797,1.1921986,-0.72450756,0.16089635,-0.19930252,0.20270705,-0.25826318,0.15582125,-0.099981908,0.59023114,0.1266334,-0.65649849,0.38004002,0.46154484,0.52145439,0.96029186,0.072818618,0.89121705,0.46925189,0.012768013,0.92424378,0.19038448,0.044595862,0.34719423,0.012553478,0.95134432,0.44297385,0.21900662,0.32641214,0.7681974,0.25282871,0.37753048,0.68840973
