alpha,beta,p_stay_noreward,p_stay_reward
0.14914666,0.069123263,0.5372177,0.55435187
0.21899332,0.030523029,0.55453057,0.56205745
0.14050749,0.045332215,0.5350692,0.54632667
0.15418394,0.075461518,0.5384698,0.55716038
0.15036542,0.11114201,0.53752069,0.56500681
0.13620395,0.069294974,0.53399844,0.5511947
0.11940506,0.13037535,0.52981585,0.56212245
0.060458682,0.23637349,0.51511007,0.57366793
0.092090836,0.1507221,0.52300645,0.56040674
0.10922863,0.19929903,0.52728004,0.57652584
0.15714479,0.034932377,0.53920555,0.5478722
0.20731051,-0.0011553723,0.5516428,0.55135702
0.16591064,0.10777188,0.54138278,0.56799673
0.19923848,0.0080817092,0.5496455,0.5516452
0.19971112,0.11339236,0.54976249,0.5776426
0.18424661,0.010660017,0.54593179,0.54857299
0.14822246,0.11327531,0.53698792,0.56500444
0.17803453,0.056949135,0.54439144,0.55847708
0.19208848,0.02621423,0.547875,0.55435997
0.19372191,0.027873493,0.54827958,0.55517326
0.1399416,0.015484452,0.53492842,0.53877848
0.12949522,-0.013873873,0.53232864,0.52887318
0.20871575,0.087990656,0.55199034,0.57363717
0.22596764,-0.037160185,0.55625275,0.54706214
0.2573366,0.024421099,0.56398146,0.56997709
0.24726779,-0.046880494,0.5615039,0.54992986
0.19982726,0.054337331,0.54979124,0.56320128
0.1844895,-0.065598819,0.545992,0.52968771
0.19288286,-0.056115754,0.54807177,0.53413858
0.25399025,-0.028927431,0.56315839,0.5560294
0.22234557,-0.00907122,0.55535851,0.5531174
0.23677176,-0.009747151,0.55891795,0.55651363
0.22353874,-0.0099954242,0.55565313,0.55318388
0.11393985,0.15308263,0.52845419,0.56636178
0.27801119,0.0019845768,0.56905857,0.56954519
0.30511888,0.0055263482,0.57569339,0.57704275
0.23097737,-0.12618418,0.55748898,0.52617435
0.11015281,0.2067254,0.52751039,0.57856326
0.10446607,0.12135051,0.52609279,0.55621546
0.08116818,0.23661552,0.52028091,0.57878403
0.077447295,0.22639796,0.51935215,0.57538225
0.058736747,0.21343842,0.51467997,0.56762683
0.12841486,0.17884075,0.53205967,0.57621524
0.18371289,0.025524251,0.54579948,0.55211927
0.1822824,0.069723048,0.54544484,0.56267005
0.23636337,-0.15497996,0.55881726,0.52033463
0.32484987,3.3503789e-4,0.58050575,0.58058733
0.32652355,0.0049870344,0.58091326,0.58212688
0.22051688,-0.02539373,0.5549069,0.54862661
0.25872457,0.049137253,0.56432274,0.57636327
0.10112428,-0.0020280541,0.52525955,0.5247538
0.14346518,0.19664266,0.5358049,0.58421672
0.0766023,0.15579351,0.51914122,0.55783887
0.16695704,0.15574431,0.54164257,0.57998245
0.11116842,0.15852494,0.52776352,0.56701762
0.096582428,0.27494526,0.52412685,0.59182807
0.16214371,-0.017073437,0.54044735,0.5362041
0.26739757,-0.1077294,0.5664539,0.53983245
0.2684172,-0.11171594,0.56670429,0.53909535
0.23051523,-0.060652533,0.55737497,0.54236386
0.25826389,-0.071088717,0.56420947,0.54665765
