alpha,beta,p_stay_noreward,p_stay_reward
-0.95672254,0.7286639,0.27753488,0.44323118
-1.023996,0.759644,0.26424977,0.4342942
-0.95668636,0.66769535,0.27754213,0.4282509
-0.96107359,0.70478061,0.2766633,0.43627519
-0.97658645,0.71261373,0.27356963,0.43438738
-0.96416083,0.72822625,0.2760459,0.44128845
-0.92778206,0.57962221,0.2833749,0.41382873
-0.92490928,0.5713299,0.28395865,0.4125147
-0.92442189,0.55169272,0.28405776,0.40788172
-1.0200814,0.82452263,0.26501155,0.45126553
-1.0121708,0.6997381,0.26655523,0.42252105
-0.96313262,0.69493361,0.27625143,0.43334929
-0.94317655,0.67562745,0.28025914,0.43350889
-0.97863741,0.60488796,0.27316223,0.40763533
-0.95157181,0.62955898,0.27856883,0.42018529
-0.98545439,0.71377535,0.27181086,0.43249494
-0.97514208,0.6796283,0.27385676,0.42665454
-0.88340539,0.65811133,0.29247259,0.44391352
-0.96827578,0.59686811,0.27522431,0.40820092
-0.93148883,0.62835745,0.28262276,0.42479217
-0.90113363,0.6183381,0.28881759,0.42976855
-0.94652807,0.68266565,0.27958359,0.43441448
-1.0183421,0.67786881,0.26535046,0.41569451
-1.0040492,0.68589512,0.26814605,0.42112568
-0.97913089,0.77110721,0.27306427,0.44818081
-0.98577066,0.77597489,0.27174826,0.44774259
-0.91611109,0.65565134,0.28575095,0.43525069
-0.93245311,0.62355998,0.2824273,0.42338494
-0.92869345,0.68255079,0.28318986,0.43877315
-0.90066534,0.67064024,0.28891379,0.44274595
-0.90281389,0.65700904,0.28847258,0.43885634
-0.99739001,0.65389674,0.26945489,0.41496117
-0.92131913,0.69813606,0.28468919,0.44443469
-1.0131093,0.8197744,0.26637179,0.45181626
-0.99469345,0.70984134,0.26998603,0.42926462
-1.0349532,0.73539203,0.26212495,0.42566477
-1.0190721,0.78186001,0.26520818,0.4409735
-0.93533293,0.61344044,0.28184403,0.4202146
-0.9251163,0.64585504,0.28391656,0.4306349
-0.9317544,0.71364699,0.28256892,0.44568828
-0.94306237,0.71216778,0.28028217,0.44253144
-0.95689155,0.69964633,0.27750099,0.43604101
-1.003091,0.6737731,0.26833412,0.41840659
-0.98147283,0.71301886,0.27259964,0.43328668
-1.0088766,0.74215963,0.26719976,0.43371325
-1.0146763,0.72146304000000006,0.2660657,0.4272174
-0.93102116,0.65784629,0.28271759,0.43212783
-0.96307845,0.74190237,0.27626226,0.44493029
-0.92593549,0.62535549,0.28375004,0.4254157
-0.95017753,0.68967418,0.27884912,0.43523998
-0.9434582,0.66393974,0.28020233,0.43057184
-0.98110223,0.69214441,0.27267313,0.42825903
-0.9970725,0.69793392,0.26951739,0.42576808
-0.94114427,0.65482465,0.28066926,0.42890512
-0.92509704,0.62068923,0.28392048,0.42448031
-0.95280505,0.62951422,0.27832105,0.41987396
-0.94314082,0.57662087,0.28026635,0.40938219
-0.93823731,0.57781802,0.28125654,0.41085807
-0.95458374,0.6698206,0.27796393,0.42928642
-0.97516084,0.71363371,0.27385303,0.43498834
-1.0386381,0.66749093,0.26141286,0.40826385
-1.0412747,0.76781956,0.26090412,0.43205907
-0.92091482,0.63651122,0.28477153,0.42937451
-1.0268533,0.74184552,0.26369461,0.42922648
-0.99458372,0.74368506,0.27000766,0.43760232
