participant,reward_nback,p_stay,condition,lag
5c41f9ce4fe4f800016dfaac,0,0.26865671641791045,Not rewarded,3
5c41f9ce4fe4f800016dfaac,1,0.46153846153846156,Rewarded,3
60e46e6f6bc0c2cdf5d077ce,0,0.2923076923076923,Not rewarded,3
60e46e6f6bc0c2cdf5d077ce,1,0.2537313432835821,Rewarded,3
60e6b55696dade249aa3249b,0,0.4838709677419355,Not rewarded,3
60e6b55696dade249aa3249b,1,0.6507936507936508,Rewarded,3
60e9f29fe1f58945339696d0,0,0.2571428571428571,Not rewarded,3
60e9f29fe1f58945339696d0,1,0.3709677419354839,Rewarded,3
651d64e4756ee3358eeb981f,0,0.3157894736842105,Not rewarded,3
651d64e4756ee3358eeb981f,1,0.44,Rewarded,3
65feaaac53eb219f09ad5ea0,0,0.47692307692307695,Not rewarded,3
65feaaac53eb219f09ad5ea0,1,0.5522388059701493,Rewarded,3
6661b6019ab530fb44632cc2,0,0.24285714285714285,Not rewarded,3
6661b6019ab530fb44632cc2,1,0.43548387096774194,Rewarded,3
66912a96b8dba143ceba8276,0,0.45454545454545453,Not rewarded,3
66912a96b8dba143ceba8276,1,0.5,Rewarded,3
66ab330c867b56b7333c7f26,0,0.417910447761194,Not rewarded,3
66ab330c867b56b7333c7f26,1,0.47692307692307695,Rewarded,3
66ab9137e5573312997df691,0,0.2878787878787879,Not rewarded,3
66ab9137e5573312997df691,1,0.2727272727272727,Rewarded,3
677009b08130c3028f6a8a6d,0,0.15714285714285714,Not rewarded,3
677009b08130c3028f6a8a6d,1,0.3709677419354839,Rewarded,3
678cc86b7a22ead21c11ea4d,0,0.2191780821917808,Not rewarded,3
678cc86b7a22ead21c11ea4d,1,0.2711864406779661,Rewarded,3
6790e119760887e0183e64f5,0,0.4393939393939394,Not rewarded,3
6790e119760887e0183e64f5,1,0.3389830508474576,Rewarded,3
67acd3c9faab3a14dfe87135,0,0.4852941176470588,Not rewarded,3
67acd3c9faab3a14dfe87135,1,0.34375,Rewarded,3
67d588ee7c65706eaccfb45a,0,0.24615384615384617,Not rewarded,3
67d588ee7c65706eaccfb45a,1,0.44776119402985076,Rewarded,3
67d9815c22d7594f00bd8280,0,0.15517241379310345,Not rewarded,3
67d9815c22d7594f00bd8280,1,0.1891891891891892,Rewarded,3
67dae998d8f2cfb8a8e3bf03,0,0.39655172413793105,Not rewarded,3
67dae998d8f2cfb8a8e3bf03,1,0.5675675675675675,Rewarded,3
67f6a640d2046b13fcf33328,0,0.2857142857142857,Not rewarded,3
67f6a640d2046b13fcf33328,1,0.5483870967741935,Rewarded,3
68598a1d4cebd213b2abb1d9,0,0.4375,Not rewarded,3
68598a1d4cebd213b2abb1d9,1,0.5882352941176471,Rewarded,3
697ccad66fdf3bbcccb90fe4,0,0.30666666666666664,Not rewarded,3
697ccad66fdf3bbcccb90fe4,1,0.3333333333333333,Rewarded,3
6982544679288685d8a0199f,0,0.23943661971830985,Not rewarded,3
6982544679288685d8a0199f,1,0.4098360655737705,Rewarded,3
6982fc304b8a81e87d40e5bd,0,0.29850746268656714,Not rewarded,3
6982fc304b8a81e87d40e5bd,1,0.12307692307692308,Rewarded,3
69a1a0ea10a7df83e3887c25,0,0.28169014084507044,Not rewarded,3
69a1a0ea10a7df83e3887c25,1,0.5081967213114754,Rewarded,3
69a7048762f2aacbfb3c2f02,0,0.22857142857142856,Not rewarded,3
69a7048762f2aacbfb3c2f02,1,0.5,Rewarded,3
69b7e04340b00585acbb91ac,0,0.5094339622641509,Not rewarded,3
69b7e04340b00585acbb91ac,1,0.21518987341772153,Rewarded,3
69bafd2bf7b48bfde494d532,0,0.47368421052631576,Not rewarded,3
69bafd2bf7b48bfde494d532,1,0.5066666666666667,Rewarded,3
69d04f34ccb85dbac4c3628c,0,0.3492063492063492,Not rewarded,3
69d04f34ccb85dbac4c3628c,1,0.30434782608695654,Rewarded,3
69de2b262f16bdb2c0122847,0,0.3448275862068966,Not rewarded,3
69de2b262f16bdb2c0122847,1,0.3918918918918919,Rewarded,3
69ef99a65d19811a9ddad38b,0,0.4057971014492754,Not rewarded,3
69ef99a65d19811a9ddad38b,1,0.3968253968253968,Rewarded,3
69fdce52c07d954848678eaf,0,0.2753623188405797,Not rewarded,3
69fdce52c07d954848678eaf,1,0.2222222222222222,Rewarded,3
6a0092581cd317f1ff1765a2,0,0.2916666666666667,Not rewarded,3
6a0092581cd317f1ff1765a2,1,0.3333333333333333,Rewarded,3
6a01c4c8248651c0157c76c5,0,0.31666666666666665,Not rewarded,3
6a01c4c8248651c0157c76c5,1,0.3472222222222222,Rewarded,3
6a087d170d5521dd2055e045,0,0.5522388059701493,Not rewarded,3
6a087d170d5521dd2055e045,1,0.5230769230769231,Rewarded,3
6a09ed98e46b23c32ad77c35,0,0.18461538461538463,Not rewarded,3
6a09ed98e46b23c32ad77c35,1,0.373134328358209,Rewarded,3
6a0ac6bc5fb56e6d7f8e6569,0,0.6166666666666667,Not rewarded,3
6a0ac6bc5fb56e6d7f8e6569,1,0.8194444444444444,Rewarded,3
