participant,.draw,beta
60f19a691466276fe085b461,1,1.1409352
61563a4b0def9000ccc976ec,1,0.31308385
62ebe597372fdef388b734b3,1,1.1005777
667bd577710d52a05ac09036,1,1.5429412
69728435c9476fe76dd2ab2f,1,0.028742305
697a645e36e6f14eea2b396b,1,-0.22675066
697caeea2ec1c2604535f8aa,1,0.64579582
6980792fded33a62e27ce7cc,1,1.9353905
69808775dc84b90f4adafb2f,1,0.87963369
6980990e5c9007100eb282b6,1,1.1724279
6980d9a70a7862a47c69046d,1,1.5420069
6981150699107501d80e74b6,1,1.3990632
6981e6c2e26c88d954f297eb,1,0.2766493
69829236d776a93cf3afa632,1,1.2732526
698341d57fe7b870bddf91b8,1,-0.7631837
6984a9246122d3bd4ca0833e,1,2.0054603
69d5525ec7afcfce08d8608b,1,0.64090596
69d555ce85e30d6215e559d9,1,0.61321698
69dac2125e535db5a698ea18,1,0.26463442
69e913482ae5864d44e6387c,1,1.316355
60f19a691466276fe085b461,2,0.16087274
61563a4b0def9000ccc976ec,2,0.13123123
62ebe597372fdef388b734b3,2,0.76202927
667bd577710d52a05ac09036,2,0.93568608
69728435c9476fe76dd2ab2f,2,1.1424626
697a645e36e6f14eea2b396b,2,0.63324115
697caeea2ec1c2604535f8aa,2,1.5689863
6980792fded33a62e27ce7cc,2,1.8252932
69808775dc84b90f4adafb2f,2,1.7176157
6980990e5c9007100eb282b6,2,0.17751938
6980d9a70a7862a47c69046d,2,2.365349
6981150699107501d80e74b6,2,1.6417675
6981e6c2e26c88d954f297eb,2,0.21476295
69829236d776a93cf3afa632,2,0.76593132
698341d57fe7b870bddf91b8,2,-1.5124523
6984a9246122d3bd4ca0833e,2,1.2979069
69d5525ec7afcfce08d8608b,2,0.72783185
69d555ce85e30d6215e559d9,2,1.2948238
69dac2125e535db5a698ea18,2,0.15979228
69e913482ae5864d44e6387c,2,0.92808508
60f19a691466276fe085b461,3,0.19216955
61563a4b0def9000ccc976ec,3,-0.53906514
62ebe597372fdef388b734b3,3,0.80581927
667bd577710d52a05ac09036,3,0.6420925
69728435c9476fe76dd2ab2f,3,1.0571797
697a645e36e6f14eea2b396b,3,0.38689044
697caeea2ec1c2604535f8aa,3,0.75216101
6980792fded33a62e27ce7cc,3,1.8259308
69808775dc84b90f4adafb2f,3,0.7564863
6980990e5c9007100eb282b6,3,0.54416782
6980d9a70a7862a47c69046d,3,2.1492652
6981150699107501d80e74b6,3,1.5735092
6981e6c2e26c88d954f297eb,3,0.26372381
69829236d776a93cf3afa632,3,0.73692274
698341d57fe7b870bddf91b8,3,-2.0193941
6984a9246122d3bd4ca0833e,3,2.071527
69d5525ec7afcfce08d8608b,3,0.6166905
69d555ce85e30d6215e559d9,3,1.2792048
69dac2125e535db5a698ea18,3,0.11691213
69e913482ae5864d44e6387c,3,0.8169363
60f19a691466276fe085b461,4,0.67006424
