"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","device_type","blur_count","fullscreen_exit_count","failed_attention_checks","success","timeout","failed_images","failed_audio","failed_video","phase","value","rt","stimulus","response","view_history","question_order","trial_name","block_type","trial_num","set_size","correct_response","accuracy","mapping","condition","prompt","flipped","attention","expected_answer","category","question_index","task"
"pavlovia","0","1347","0.0-0.0","60e46e6f6bc0c2cdf5d077ce","not_provided","desktop","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","3929","0.0-2.0","60e46e6f6bc0c2cdf5d077ce","not_provided","desktop","0","0","0","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","2","20691","0.0-3.0-0.0","60e46e6f6bc0c2cdf5d077ce","not_provided","desktop","0","0","0","","","","","","captcha","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","3","29887","0.0-4.0","60e46e6f6bc0c2cdf5d077ce","not_provided","desktop","0","0","0","true","","","","","setup","","","","","","","","","","","","","","","","","","","","",""
"call-function","4","29889","0.0-5.0-0.0","60e46e6f6bc0c2cdf5d077ce","not_provided","desktop","0","0","0","","","","","","working_memory","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","5","65451","0.0-5.0-1.0","60e46e6f6bc0c2cdf5d077ce","not_provided","desktop","0","0","0","","","","","","working_memory","","35556","<div style=""text-align:center;font-family:sans-serif;""><p>Welcome to the luck game experiment!</p><p>This two-day experiment takes part in a study aimed at developing better clinical treatments.</p><p>We appreciate your participation and require your full concentration.</p><br><p>This is a two-day study. Payment (£6/hour) is only given upon completing both parts today and tomorrow.</p><p>You must finish the second part for compensation. After today, you'll receive an invitation for tomorrow's session.</p><p>Please ensure you can attend both sessions before proceeding. Otherwise, you may exit now.</p><p>If you have any questions, please contact us via prolific.</p><br><p>Please stay attentive and in fullscreen mode to ensure payment.</p><p>Thank you for participating!</p><br><p id=""continue-prompt"" style=""visibility:hidden;""><b>Press any key to continue.</b></p></div>"," ","","","","","","","","","","","","","","","","",""
"instructions","6","544056","0.0-5.0-2.0-0.0","60e46e6f6bc0c2cdf5d077ce","not_provided","desktop","0","0","0","","","","","","working_memory","","478601","","","[{""page_index"":0,""viewing_time"":4746},{""page_index"":1,""viewing_time"":25327},{""page_index"":2,""viewing_time"":13856},{""page_index"":3,""viewing_time"":80532},{""page_index"":4,""viewing_time"":102563},{""page_index"":5,""viewing_time"":207872},{""page_index"":6,""viewing_time"":28150},{""page_index"":7,""viewing_time"":8942},{""page_index"":8,""viewing_time"":6611}]","","","","","","","","","","","","","","","",""
"survey-multi-choice","7","712325","0.0-5.0-2.0-1.0","60e46e6f6bc0c2cdf5d077ce","not_provided","desktop","0","0","0","","","","","","working_memory","","168249","","{""set_size"":""4 or 8"",""steps"":""False"",""choose_square"":""Press the 's' or 'k' key."",""remember"":""The colors and locations of the 'memory' squares"",""task"":""To tell if the 'test' square is in the same color as the square previously appearing in this location""}","","[0,1,2,3,4]","test_squares_quiz","","","","","","","","","","","","","",""
"html-button-response","8","718667","0.0-5.0-2.0-2.0-0.0","60e46e6f6bc0c2cdf5d077ce","not_provided","desktop","0","0","0","","","","","","working_memory","","6332","<p>Sorry, you made a mistake on the quiz.<br>Let's go back to the instructions &mdash; please read carefully before submitting again.<br>Thank you!</p>","0","","","","","","","","","","","","","","","","",""
"instructions","9","798994","0.0-5.0-2.1-0.1","60e46e6f6bc0c2cdf5d077ce","not_provided","desktop","0","0","0","","","","","","working_memory","","80323","","","[{""page_index"":0,""viewing_time"":2838},{""page_index"":1,""viewing_time"":2056},{""page_index"":2,""viewing_time"":4736},{""page_index"":3,""viewing_time"":4808},{""page_index"":4,""viewing_time"":7328},{""page_index"":5,""viewing_time"":9520},{""page_index"":6,""viewing_time"":44141},{""page_index"":7,""viewing_time"":2864},{""page_index"":8,""viewing_time"":2031}]","","","","","","","","","","","","","","","",""
"survey-multi-choice","10","883580","0.0-5.0-2.1-1.1","60e46e6f6bc0c2cdf5d077ce","not_provided","desktop","0","0","0","","","","","","working_memory","","84573","","{""set_size"":""4 or 8"",""steps"":""False"",""choose_square"":""Press the 's' or 'k' key."",""remember"":""The color and location of the single 'test' square"",""task"":""To tell if the 'test' square is in the same color as the square previously appearing in this location""}","","[0,1,2,3,4]","test_squares_quiz","","","","","","","","","","","","","",""
"html-button-response","11","885087","0.0-5.0-2.1-2.1-0.1","60e46e6f6bc0c2cdf5d077ce","not_provided","desktop","0","0","0","","","","","","working_memory","","1501","<p>Sorry, you made a mistake on the quiz.<br>Let's go back to the instructions &mdash; please read carefully before submitting again.<br>Thank you!</p>","0","","","","","","","","","","","","","","","","",""
"instructions","12","904421","0.0-5.0-2.2-0.2","60e46e6f6bc0c2cdf5d077ce","not_provided","desktop","0","0","0","","","","","","working_memory","","19332","","","[{""page_index"":0,""viewing_time"":2307},{""page_index"":1,""viewing_time"":568},{""page_index"":2,""viewing_time"":832},{""page_index"":3,""viewing_time"":654},{""page_index"":4,""viewing_time"":10507},{""page_index"":5,""viewing_time"":1149},{""page_index"":6,""viewing_time"":728},{""page_index"":7,""viewing_time"":923},{""page_index"":8,""viewing_time"":1663}]","","","","","","","","","","","","","","","",""
"survey-multi-choice","13","1089458","0.0-5.0-2.2-1.2","60e46e6f6bc0c2cdf5d077ce","not_provided","desktop","0","0","0","","","","","","working_memory","","185023","","{""set_size"":""4 or 8"",""steps"":""True"",""choose_square"":""Press the 's' or 'k' key."",""remember"":""The color and location of the single 'test' square"",""task"":""To tell if the 'test' square is in the same color as the square previously appearing in this location""}","","[0,1,2,3,4]","test_squares_quiz","","","","","","","","","","","","","",""
"html-button-response","14","1091430","0.0-5.0-2.2-2.2-0.2","60e46e6f6bc0c2cdf5d077ce","not_provided","desktop","0","0","0","","","","","","working_memory","","1967","<p>Sorry, you made a mistake on the quiz.<br>Let's go back to the instructions &mdash; please read carefully before submitting again.<br>Thank you!</p>","0","","","","","","","","","","","","","","","","",""
"instructions","15","1203622","0.0-5.0-2.3-0.3","60e46e6f6bc0c2cdf5d077ce","not_provided","desktop","0","0","0","","","","","","working_memory","","112187","","","[{""page_index"":0,""viewing_time"":2095},{""page_index"":1,""viewing_time"":1217},{""page_index"":2,""viewing_time"":5786},{""page_index"":3,""viewing_time"":2792},{""page_index"":4,""viewing_time"":15024},{""page_index"":5,""viewing_time"":8448},{""page_index"":6,""viewing_time"":74160},{""page_index"":7,""viewing_time"":1184},{""page_index"":8,""viewing_time"":1481}]","","","","","","","","","","","","","","","",""
"survey-multi-choice","16","1415406","0.0-5.0-2.3-1.3","60e46e6f6bc0c2cdf5d077ce","not_provided","desktop","0","0","0","","","","","","working_memory","","211770","","{""set_size"":""4 or 8"",""steps"":""True"",""choose_square"":""Press the 's' or 'k' key."",""remember"":""The colors and locations of the 'memory' squares"",""task"":""To tell if the 'test' square is in the same color as the square previously appearing in this location""}","","[0,1,2,3,4]","test_squares_quiz","","","","","","","","","","","","","",""
"html-keyboard-response","17","1699943","0.0-5.0-3.0-0.0","60e46e6f6bc0c2cdf5d077ce","not_provided","desktop","0","0","0","","","","","","working_memory","","284527","<p>We will now start some practice trials.<br><b>The practice trials will also include some trials in which you will need to remember only one square to make sure you understood the instructions.</b><br>You may already want to be ready with your fingers on '<b>s</b>' and '<b>k</b>'.<br><img class=""wm-example-img"" src=""images/examples/keyboard.png""><br><b style=""font-size:1.2em;"">&lsquo;S&rsquo; = SAME &nbsp;&nbsp;&nbsp; &lsquo;K&rsquo; = DIFFERENT</b><br><br><u>Please try to be as accurate as possible.</u><br><br><b>Press any key to begin</b></p>"," ","","","","","","","","","","","","","","","","",""
"html-keyboard-response","18","1701957","0.0-5.0-3.0-1.0-0.0","60e46e6f6bc0c2cdf5d077ce","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","19","1702160","0.0-5.0-3.0-1.0-1.0","60e46e6f6bc0c2cdf5d077ce","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<img class='lower3' src=images/squares/brown.png><div class=""fixation"">+</div>","null","","","memory","practice","0","1","","","","","","","","","","",""
"html-keyboard-response","20","1703062","0.0-5.0-3.0-1.0-2.0","60e46e6f6bc0c2cdf5d077ce","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
