"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","device_type","blur_count","fullscreen_exit_count","failed_attention_checks","success","timeout","failed_images","failed_audio","failed_video","phase","value","rt","stimulus","response","view_history","question_order","trial_name","block_type","trial_num","set_size","correct_response","accuracy","mapping","condition","prompt","flipped","attention","expected_answer","category","question_index","task"
"pavlovia","0","1436","0.0-0.0","65feaaac53eb219f09ad5ea0","not_provided","desktop","0","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","1441","0.0-2.0","65feaaac53eb219f09ad5ea0","not_provided","desktop","0","0","1","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","2","13869","0.0-3.0-0.0","65feaaac53eb219f09ad5ea0","not_provided","desktop","0","0","1","","","","","","captcha","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","3","63803","0.0-4.0","65feaaac53eb219f09ad5ea0","not_provided","desktop","0","0","1","true","","","","","setup","","","","","","","","","","","","","","","","","","","","",""
"call-function","4","63804","0.0-5.0-0.0","65feaaac53eb219f09ad5ea0","not_provided","desktop","0","0","1","","","","","","working_memory","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","5","122549","0.0-5.0-1.0","65feaaac53eb219f09ad5ea0","not_provided","desktop","0","0","1","","","","","","working_memory","","58743","<div style=""text-align:center;font-family:sans-serif;""><p>Welcome to the luck game experiment!</p><p>This two-day experiment takes part in a study aimed at developing better clinical treatments.</p><p>We appreciate your participation and require your full concentration.</p><br><p>This is a two-day study. Payment (£6/hour) is only given upon completing both parts today and tomorrow.</p><p>You must finish the second part for compensation. After today, you'll receive an invitation for tomorrow's session.</p><p>Please ensure you can attend both sessions before proceeding. Otherwise, you may exit now.</p><p>If you have any questions, please contact us via prolific.</p><br><p>Please stay attentive and in fullscreen mode to ensure payment.</p><p>Thank you for participating!</p><br><p id=""continue-prompt"" style=""visibility:hidden;""><b>Press any key to continue.</b></p></div>"," ","","","","","","","","","","","","","","","","",""
"instructions","6","174601","0.0-5.0-2.0-0.0","65feaaac53eb219f09ad5ea0","not_provided","desktop","0","0","1","","","","","","working_memory","","52050","","","[{""page_index"":0,""viewing_time"":3025},{""page_index"":1,""viewing_time"":1521},{""page_index"":2,""viewing_time"":8361},{""page_index"":3,""viewing_time"":2835},{""page_index"":4,""viewing_time"":6995},{""page_index"":5,""viewing_time"":5684},{""page_index"":6,""viewing_time"":16921},{""page_index"":7,""viewing_time"":2542},{""page_index"":8,""viewing_time"":4165}]","","","","","","","","","","","","","","","",""
"survey-multi-choice","7","217679","0.0-5.0-2.0-1.0","65feaaac53eb219f09ad5ea0","not_provided","desktop","0","0","1","","","","","","working_memory","","43076","","{""set_size"":""4 or 8"",""steps"":""True"",""choose_square"":""Press the 'k' or 's' key."",""remember"":""The colors and locations of the 'memory' squares"",""task"":""To tell if the 'test' square is in the same color as the square previously appearing in this location""}","","[0,1,2,3,4]","test_squares_quiz","","","","","","","","","","","","","",""
"html-keyboard-response","8","234816","0.0-5.0-3.0-0.0","65feaaac53eb219f09ad5ea0","not_provided","desktop","0","0","1","","","","","","working_memory","","17134","<p>We will now start some practice trials.<br><b>The practice trials will also include some trials in which you will need to remember only one square to make sure you understood the instructions.</b><br>You may already want to be ready with your fingers on '<b>s</b>' and '<b>k</b>'.<br><img class=""wm-example-img"" src=""images/examples/keyboard.png""><br><b style=""font-size:1.2em;"">&lsquo;K&rsquo; = SAME &nbsp;&nbsp;&nbsp; &lsquo;S&rsquo; = DIFFERENT</b><br><br><u>Please try to be as accurate as possible.</u><br><br><b>Press any key to begin</b></p>"," ","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","236830","0.0-5.0-3.0-1.0-0.0","65feaaac53eb219f09ad5ea0","not_provided","desktop","0","0","1","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","10","237032","0.0-5.0-3.0-1.0-1.0","65feaaac53eb219f09ad5ea0","not_provided","desktop","0","0","1","","","","","","working_memory","","null","<img class='upper3' src=images/squares/magenta.png><div class=""fixation"">+</div>","null","","","memory","practice","0","1","","","","","","","","","","",""
"html-keyboard-response","11","237949","0.0-5.0-3.0-1.0-2.0","65feaaac53eb219f09ad5ea0","not_provided","desktop","0","0","1","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","12","239660","0.0-5.0-3.0-1.0-3.0","65feaaac53eb219f09ad5ea0","not_provided","desktop","0","0","1","","","","","","working_memory","","1709","<img class='upper3' src=images/squares/magenta.png><div class=""fixation"">+</div>","k","","","test","practice","0","1","k","true","","","","","","","","",""
"html-keyboard-response","13","240161","0.0-5.0-3.0-1.0-4.0","65feaaac53eb219f09ad5ea0","not_provided","desktop","0","0","1","","","","","","working_memory","","null","<div class=""fixation"">Correct</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","14","241176","0.0-5.0-3.0-1.0-0.1","65feaaac53eb219f09ad5ea0","not_provided","desktop","0","0","1","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","15","241386","0.0-5.0-3.0-1.0-1.1","65feaaac53eb219f09ad5ea0","not_provided","desktop","0","0","1","","","","","","working_memory","","null","<img class='c' src=images/squares/magenta.png><img class='b' src=images/squares/cyan.png><img class='e' src=images/squares/brown.png><img class='f' src=images/squares/black.png><img class='i' src=images/squares/red.png><img class='g' src=images/squares/orange.png><img class='l' src=images/squares/yellow.png><img class='k' src=images/squares/green.png><div class=""fixation"">+</div>","null","","","memory","practice","1","8","","","","","","","","","","",""
"html-keyboard-response","16","242296","0.0-5.0-3.0-1.0-2.1","65feaaac53eb219f09ad5ea0","not_provided","desktop","0","0","1","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","17","243565","0.0-5.0-3.0-1.0-3.1","65feaaac53eb219f09ad5ea0","not_provided","desktop","0","0","1","","","","","","working_memory","","1268","<img class='e' src=images/squares/brown.png><div class=""fixation"">+</div>","s","","","test","practice","1","8","k","false","","","","","","","","",""
"html-keyboard-response","18","244073","0.0-5.0-3.0-1.0-4.1","65feaaac53eb219f09ad5ea0","not_provided","desktop","0","0","1","","","","","","working_memory","","null","<div class=""fixation"">Incorrect</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","19","245079","0.0-5.0-3.0-1.0-0.2","65feaaac53eb219f09ad5ea0","not_provided","desktop","0","0","1","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
