"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","device_type","blur_count","fullscreen_exit_count","failed_attention_checks","success","timeout","failed_images","failed_audio","failed_video","phase","value","rt","stimulus","response","view_history","question_order","trial_name","block_type","trial_num","set_size","correct_response","accuracy","mapping","condition","prompt","flipped","attention","expected_answer","category","question_index","task"
"pavlovia","0","1827","0.0-0.0","6661b6019ab530fb44632cc2","not_provided","desktop","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","2935","0.0-2.0","6661b6019ab530fb44632cc2","not_provided","desktop","0","0","0","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","2","61160","0.0-3.0-0.0","6661b6019ab530fb44632cc2","not_provided","desktop","0","0","0","","","","","","captcha","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","3","65217","0.0-4.0","6661b6019ab530fb44632cc2","not_provided","desktop","0","0","0","true","","","","","setup","","","","","","","","","","","","","","","","","","","","",""
"call-function","4","65219","0.0-5.0-0.0","6661b6019ab530fb44632cc2","not_provided","desktop","0","0","0","","","","","","working_memory","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","5","84235","0.0-5.0-1.0","6661b6019ab530fb44632cc2","not_provided","desktop","0","0","0","","","","","","working_memory","","19012","<div style=""text-align:center;font-family:sans-serif;""><p>Welcome to the luck game experiment!</p><p>This two-day experiment takes part in a study aimed at developing better clinical treatments.</p><p>We appreciate your participation and require your full concentration.</p><br><p>This is a two-day study. Payment (£6/hour) is only given upon completing both parts today and tomorrow.</p><p>You must finish the second part for compensation. After today, you'll receive an invitation for tomorrow's session.</p><p>Please ensure you can attend both sessions before proceeding. Otherwise, you may exit now.</p><p>If you have any questions, please contact us via prolific.</p><br><p>Please stay attentive and in fullscreen mode to ensure payment.</p><p>Thank you for participating!</p><br><p id=""continue-prompt"" style=""visibility:hidden;""><b>Press any key to continue.</b></p></div>"," ","","","","","","","","","","","","","","","","",""
"instructions","6","257711","0.0-5.0-2.0-0.0","6661b6019ab530fb44632cc2","not_provided","desktop","1","1","0","","","","","","working_memory","","173483","","","[{""page_index"":0,""viewing_time"":1962},{""page_index"":1,""viewing_time"":2369},{""page_index"":2,""viewing_time"":3988},{""page_index"":3,""viewing_time"":4310},{""page_index"":4,""viewing_time"":7526},{""page_index"":5,""viewing_time"":148075},{""page_index"":6,""viewing_time"":2630},{""page_index"":7,""viewing_time"":1135},{""page_index"":8,""viewing_time"":1486}]","","","","","","","","","","","","","","","",""
"survey-multi-choice","7","287615","0.0-5.0-2.0-1.0","6661b6019ab530fb44632cc2","not_provided","desktop","1","1","0","","","","","","working_memory","","29881","","{""set_size"":""2 or 4"",""steps"":""True"",""choose_square"":""Press the 'k' or 's' key."",""remember"":""The color and location of the single 'test' square"",""task"":""To tell if the 'test' square is in the same color as the square previously appearing in this location""}","","[0,1,2,3,4]","test_squares_quiz","","","","","","","","","","","","","",""
"html-button-response","8","289729","0.0-5.0-2.0-2.0-0.0","6661b6019ab530fb44632cc2","not_provided","desktop","1","1","0","","","","","","working_memory","","2099","<p>Sorry, you made a mistake on the quiz.<br>Let's go back to the instructions &mdash; please read carefully before submitting again.<br>Thank you!</p>","0","","","","","","","","","","","","","","","","",""
"instructions","9","309780","0.0-5.0-2.1-0.1","6661b6019ab530fb44632cc2","not_provided","desktop","1","1","0","","","","","","working_memory","","20050","","","[{""page_index"":0,""viewing_time"":1362},{""page_index"":1,""viewing_time"":2122},{""page_index"":2,""viewing_time"":897},{""page_index"":3,""viewing_time"":2413},{""page_index"":2,""viewing_time"":2278},{""page_index"":3,""viewing_time"":1499},{""page_index"":4,""viewing_time"":2600},{""page_index"":5,""viewing_time"":1663},{""page_index"":6,""viewing_time"":2562},{""page_index"":7,""viewing_time"":1010},{""page_index"":8,""viewing_time"":1644}]","","","","","","","","","","","","","","","",""
