"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","device_type","blur_count","fullscreen_exit_count","failed_attention_checks","success","timeout","failed_images","failed_audio","failed_video","phase","value","rt","stimulus","response","view_history","question_order","trial_name","block_type","trial_num","set_size","correct_response","accuracy","mapping","condition","prompt","flipped","attention","expected_answer","category","question_index","task"
"pavlovia","0","1614","0.0-0.0","66912a96b8dba143ceba8276","not_provided","desktop","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","2565","0.0-2.0","66912a96b8dba143ceba8276","not_provided","desktop","0","0","0","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","2","29002","0.0-3.0-0.0","66912a96b8dba143ceba8276","not_provided","desktop","0","0","0","","","","","","captcha","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","3","35290","0.0-4.0","66912a96b8dba143ceba8276","not_provided","desktop","0","0","0","true","","","","","setup","","","","","","","","","","","","","","","","","","","","",""
"call-function","4","35293","0.0-5.0-0.0","66912a96b8dba143ceba8276","not_provided","desktop","0","0","0","","","","","","working_memory","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","5","55826","0.0-5.0-1.0","66912a96b8dba143ceba8276","not_provided","desktop","0","0","0","","","","","","working_memory","","20530","<div style=""text-align:center;font-family:sans-serif;""><p>Welcome to the luck game experiment!</p><p>This two-day experiment takes part in a study aimed at developing better clinical treatments.</p><p>We appreciate your participation and require your full concentration.</p><br><p>This is a two-day study. Payment (£6/hour) is only given upon completing both parts today and tomorrow.</p><p>You must finish the second part for compensation. After today, you'll receive an invitation for tomorrow's session.</p><p>Please ensure you can attend both sessions before proceeding. Otherwise, you may exit now.</p><p>If you have any questions, please contact us via prolific.</p><br><p>Please stay attentive and in fullscreen mode to ensure payment.</p><p>Thank you for participating!</p><br><p id=""continue-prompt"" style=""visibility:hidden;""><b>Press any key to continue.</b></p></div>","c","","","","","","","","","","","","","","","","",""
"instructions","6","102092","0.0-5.0-2.0-0.0","66912a96b8dba143ceba8276","not_provided","desktop","0","0","0","","","","","","working_memory","","46266","","","[{""page_index"":0,""viewing_time"":2026},{""page_index"":1,""viewing_time"":941},{""page_index"":2,""viewing_time"":4176},{""page_index"":3,""viewing_time"":2484},{""page_index"":4,""viewing_time"":9962},{""page_index"":5,""viewing_time"":9860},{""page_index"":6,""viewing_time"":11236},{""page_index"":7,""viewing_time"":3598},{""page_index"":8,""viewing_time"":1982}]","","","","","","","","","","","","","","","",""
"survey-multi-choice","7","162627","0.0-5.0-2.0-1.0","66912a96b8dba143ceba8276","not_provided","desktop","0","0","0","","","","","","working_memory","","60529","","{""set_size"":""4 or 6"",""steps"":""True"",""choose_square"":""Press the 's' or 'k' key."",""remember"":""The color and location of the single 'test' square"",""task"":""To tell if the 'test' square is in the same color as the square previously appearing in this location""}","","[0,1,2,3,4]","test_squares_quiz","","","","","","","","","","","","","",""
"html-button-response","8","165977","0.0-5.0-2.0-2.0-0.0","66912a96b8dba143ceba8276","not_provided","desktop","0","0","0","","","","","","working_memory","","3344","<p>Sorry, you made a mistake on the quiz.<br>Let's go back to the instructions &mdash; please read carefully before submitting again.<br>Thank you!</p>","0","","","","","","","","","","","","","","","","",""
"instructions","9","219838","0.0-5.0-2.1-0.1","66912a96b8dba143ceba8276","not_provided","desktop","0","0","0","","","","","","working_memory","","53859","","","[{""page_index"":0,""viewing_time"":1450},{""page_index"":1,""viewing_time"":1249},{""page_index"":2,""viewing_time"":21432},{""page_index"":3,""viewing_time"":3152},{""page_index"":4,""viewing_time"":5458},{""page_index"":5,""viewing_time"":5698},{""page_index"":6,""viewing_time"":13356},{""page_index"":7,""viewing_time"":740},{""page_index"":8,""viewing_time"":1324}]","","","","","","","","","","","","","","","",""
"survey-multi-choice","10","237880","0.0-5.0-2.1-1.1","66912a96b8dba143ceba8276","not_provided","desktop","0","0","0","","","","","","working_memory","","18037","","{""set_size"":""4 or 8"",""steps"":""True"",""choose_square"":""Press the 's' or 'k' key."",""remember"":""The color and location of the single 'test' square"",""task"":""To tell if the 'test' square is in the same color as the square previously appearing in this location""}","","[0,1,2,3,4]","test_squares_quiz","","","","","","","","","","","","","",""
"html-button-response","11","240515","0.0-5.0-2.1-2.1-0.1","66912a96b8dba143ceba8276","not_provided","desktop","0","0","0","","","","","","working_memory","","2631","<p>Sorry, you made a mistake on the quiz.<br>Let's go back to the instructions &mdash; please read carefully before submitting again.<br>Thank you!</p>","0","","","","","","","","","","","","","","","","",""
"instructions","12","284822","0.0-5.0-2.2-0.2","66912a96b8dba143ceba8276","not_provided","desktop","0","0","0","","","","","","working_memory","","44306","","","[{""page_index"":0,""viewing_time"":943},{""page_index"":1,""viewing_time"":594},{""page_index"":2,""viewing_time"":634},{""page_index"":3,""viewing_time"":680},{""page_index"":4,""viewing_time"":21808},{""page_index"":5,""viewing_time"":12223},{""page_index"":6,""viewing_time"":5219},{""page_index"":7,""viewing_time"":928},{""page_index"":8,""viewing_time"":1276}]","","","","","","","","","","","","","","","",""
"survey-multi-choice","13","338071","0.0-5.0-2.2-1.2","66912a96b8dba143ceba8276","not_provided","desktop","0","0","0","","","","","","working_memory","","53245","","{""set_size"":""4 or 8"",""steps"":""True"",""choose_square"":""Press the 's' or 'k' key."",""remember"":""The colors and locations of the 'memory' squares"",""task"":""To tell if the 'test' square is in the same color as the square previously appearing in this location""}","","[0,1,2,3,4]","test_squares_quiz","","","","","","","","","","","","","",""
"html-keyboard-response","14","401349","0.0-5.0-3.0-0.0","66912a96b8dba143ceba8276","not_provided","desktop","0","0","0","","","","","","working_memory","","63275","<p>We will now start some practice trials.<br><b>The practice trials will also include some trials in which you will need to remember only one square to make sure you understood the instructions.</b><br>You may already want to be ready with your fingers on '<b>s</b>' and '<b>k</b>'.<br><img class=""wm-example-img"" src=""images/examples/keyboard.png""><br><b style=""font-size:1.2em;"">&lsquo;S&rsquo; = SAME &nbsp;&nbsp;&nbsp; &lsquo;K&rsquo; = DIFFERENT</b><br><br><u>Please try to be as accurate as possible.</u><br><br><b>Press any key to begin</b></p>"," ","","","","","","","","","","","","","","","","",""
"html-keyboard-response","15","403378","0.0-5.0-3.0-1.0-0.0","66912a96b8dba143ceba8276","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","16","403590","0.0-5.0-3.0-1.0-1.0","66912a96b8dba143ceba8276","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<img class='lower3' src=images/squares/blue.png><div class=""fixation"">+</div>","null","","","memory","practice","0","1","","","","","","","","","","",""
"html-keyboard-response","17","404504","0.0-5.0-3.0-1.0-2.0","66912a96b8dba143ceba8276","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","18","407101","0.0-5.0-3.0-1.0-3.0","66912a96b8dba143ceba8276","not_provided","desktop","0","0","0","","","","","","working_memory","","2594","<img class='lower3' src=images/squares/magenta.png><div class=""fixation"">+</div>","k","","","test","practice","0","1","k","true","","","","","","","","",""
"html-keyboard-response","19","407604","0.0-5.0-3.0-1.0-4.0","66912a96b8dba143ceba8276","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">Correct</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","20","408613","0.0-5.0-3.0-1.0-0.1","66912a96b8dba143ceba8276","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","21","408824","0.0-5.0-3.0-1.0-1.1","66912a96b8dba143ceba8276","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<img class='upper1' src=images/squares/green.png><div class=""fixation"">+</div>","null","","","memory","practice","1","1","","","","","","","","","","",""
"html-keyboard-response","22","409731","0.0-5.0-3.0-1.0-2.1","66912a96b8dba143ceba8276","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","23","412028","0.0-5.0-3.0-1.0-3.1","66912a96b8dba143ceba8276","not_provided","desktop","0","0","0","","","","","","working_memory","","2294","<img class='upper1' src=images/squares/green.png><div class=""fixation"">+</div>","k","","","test","practice","1","1","s","false","","","","","","","","",""
"html-keyboard-response","24","412545","0.0-5.0-3.0-1.0-4.1","66912a96b8dba143ceba8276","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">Incorrect</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","25","413552","0.0-5.0-3.0-1.0-0.2","66912a96b8dba143ceba8276","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
