"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","device_type","blur_count","fullscreen_exit_count","failed_attention_checks","success","timeout","failed_images","failed_audio","failed_video","phase","value","rt","stimulus","response","view_history","question_order","trial_name","block_type","trial_num","set_size","correct_response","accuracy","mapping","condition","prompt","flipped","attention","expected_answer","category","question_index","task"
"pavlovia","0","1328","0.0-0.0","66ab9137e5573312997df691","not_provided","desktop","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","1911","0.0-2.0","66ab9137e5573312997df691","not_provided","desktop","0","0","0","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","2","20838","0.0-3.0-0.0","66ab9137e5573312997df691","not_provided","desktop","0","0","0","","","","","","captcha","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","3","37305","0.0-4.0","66ab9137e5573312997df691","not_provided","desktop","0","0","0","true","","","","","setup","","","","","","","","","","","","","","","","","","","","",""
"call-function","4","37307","0.0-5.0-0.0","66ab9137e5573312997df691","not_provided","desktop","0","0","0","","","","","","working_memory","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","5","66771","0.0-5.0-1.0","66ab9137e5573312997df691","not_provided","desktop","0","0","0","","","","","","working_memory","","29462","<div style=""text-align:center;font-family:sans-serif;""><p>Welcome to the luck game experiment!</p><p>This two-day experiment takes part in a study aimed at developing better clinical treatments.</p><p>We appreciate your participation and require your full concentration.</p><br><p>This is a two-day study. Payment (£6/hour) is only given upon completing both parts today and tomorrow.</p><p>You must finish the second part for compensation. After today, you'll receive an invitation for tomorrow's session.</p><p>Please ensure you can attend both sessions before proceeding. Otherwise, you may exit now.</p><p>If you have any questions, please contact us via prolific.</p><br><p>Please stay attentive and in fullscreen mode to ensure payment.</p><p>Thank you for participating!</p><br><p id=""continue-prompt"" style=""visibility:hidden;""><b>Press any key to continue.</b></p></div>"," ","","","","","","","","","","","","","","","","",""
"instructions","6","160683","0.0-5.0-2.0-0.0","66ab9137e5573312997df691","not_provided","desktop","0","0","0","","","","","","working_memory","","93911","","","[{""page_index"":0,""viewing_time"":2416},{""page_index"":1,""viewing_time"":1728},{""page_index"":2,""viewing_time"":6192},{""page_index"":3,""viewing_time"":2826},{""page_index"":4,""viewing_time"":16827},{""page_index"":5,""viewing_time"":11783},{""page_index"":6,""viewing_time"":31869},{""page_index"":7,""viewing_time"":14917},{""page_index"":8,""viewing_time"":5353}]","","","","","","","","","","","","","","","",""
"survey-multi-choice","7","211285","0.0-5.0-2.0-1.0","66ab9137e5573312997df691","not_provided","desktop","0","0","0","","","","","","working_memory","","50580","","{""set_size"":""4 or 8"",""steps"":""True"",""choose_square"":""Press the 'k' or 's' key."",""remember"":""The colors and locations of the 'memory' squares"",""task"":""To tell if the 'test' square is in the same color as the square previously appearing in this location""}","","[0,1,2,3,4]","test_squares_quiz","","","","","","","","","","","","","",""
"html-keyboard-response","8","240542","0.0-5.0-3.0-0.0","66ab9137e5573312997df691","not_provided","desktop","0","0","0","","","","","","working_memory","","29253","<p>We will now start some practice trials.<br><b>The practice trials will also include some trials in which you will need to remember only one square to make sure you understood the instructions.</b><br>You may already want to be ready with your fingers on '<b>s</b>' and '<b>k</b>'.<br><img class=""wm-example-img"" src=""images/examples/keyboard.png""><br><b style=""font-size:1.2em;"">&lsquo;K&rsquo; = SAME &nbsp;&nbsp;&nbsp; &lsquo;S&rsquo; = DIFFERENT</b><br><br><u>Please try to be as accurate as possible.</u><br><br><b>Press any key to begin</b></p>"," ","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","242546","0.0-5.0-3.0-1.0-0.0","66ab9137e5573312997df691","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","10","242748","0.0-5.0-3.0-1.0-1.0","66ab9137e5573312997df691","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<img class='lower1' src=images/squares/brown.png><div class=""fixation"">+</div>","null","","","memory","practice","0","1","","","","","","","","","","",""
"html-keyboard-response","11","243650","0.0-5.0-3.0-1.0-2.0","66ab9137e5573312997df691","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","12","247410","0.0-5.0-3.0-1.0-3.0","66ab9137e5573312997df691","not_provided","desktop","0","0","0","","","","","","working_memory","","3758","<img class='lower1' src=images/squares/yellow.png><div class=""fixation"">+</div>","k","","","test","practice","0","1","s","false","","","","","","","","",""
"html-keyboard-response","13","247912","0.0-5.0-3.0-1.0-4.0","66ab9137e5573312997df691","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">Incorrect</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","14","248914","0.0-5.0-3.0-1.0-0.1","66ab9137e5573312997df691","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","15","249120","0.0-5.0-3.0-1.0-1.1","66ab9137e5573312997df691","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<img class='upper2' src=images/squares/brown.png><div class=""fixation"">+</div>","null","","","memory","practice","1","1","","","","","","","","","","",""
"html-keyboard-response","16","250022","0.0-5.0-3.0-1.0-2.1","66ab9137e5573312997df691","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","17","253292","0.0-5.0-3.0-1.0-3.1","66ab9137e5573312997df691","not_provided","desktop","0","0","0","","","","","","working_memory","","3268","<img class='upper2' src=images/squares/brown.png><div class=""fixation"">+</div>","s","","","test","practice","1","1","k","false","","","","","","","","",""
"html-keyboard-response","18","253793","0.0-5.0-3.0-1.0-4.1","66ab9137e5573312997df691","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">Incorrect</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","19","254796","0.0-5.0-3.0-1.0-0.2","66ab9137e5573312997df691","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","20","254999","0.0-5.0-3.0-1.0-1.2","66ab9137e5573312997df691","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<img class='a' src=images/squares/black.png><img class='f' src=images/squares/red.png><img class='h' src=images/squares/brown.png><img class='k' src=images/squares/cyan.png><div class=""fixation"">+</div>","null","","","memory","practice","2","4","","","","","","","","","","",""
"html-keyboard-response","21","255901","0.0-5.0-3.0-1.0-2.2","66ab9137e5573312997df691","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","22","259086","0.0-5.0-3.0-1.0-3.2","66ab9137e5573312997df691","not_provided","desktop","0","0","0","","","","","","working_memory","","3182","<img class='f' src=images/squares/green.png><div class=""fixation"">+</div>","s","","","test","practice","2","4","s","true","","","","","","","","",""
"html-keyboard-response","23","259588","0.0-5.0-3.0-1.0-4.2","66ab9137e5573312997df691","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">Correct</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","24","260589","0.0-5.0-3.0-1.0-0.3","66ab9137e5573312997df691","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","25","260791","0.0-5.0-3.0-1.0-1.3","66ab9137e5573312997df691","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<img class='b' src=images/squares/red.png><img class='c' src=images/squares/magenta.png><img class='e' src=images/squares/yellow.png><img class='f' src=images/squares/cyan.png><img class='h' src=images/squares/green.png><img class='i' src=images/squares/black.png><img class='k' src=images/squares/orange.png><img class='j' src=images/squares/brown.png><div class=""fixation"">+</div>","null","","","memory","practice","3","8","","","","","","","","","","",""
"html-keyboard-response","26","261692","0.0-5.0-3.0-1.0-2.3","66ab9137e5573312997df691","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","27","264957","0.0-5.0-3.0-1.0-3.3","66ab9137e5573312997df691","not_provided","desktop","0","0","0","","","","","","working_memory","","3263","<img class='k' src=images/squares/blue.png><div class=""fixation"">+</div>","s","","","test","practice","3","8","s","true","","","","","","","","",""
"html-keyboard-response","28","265459","0.0-5.0-3.0-1.0-4.3","66ab9137e5573312997df691","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">Correct</div>","null","","","","","","","","","","","","","","","","",""
