"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","device_type","blur_count","fullscreen_exit_count","failed_attention_checks","success","timeout","failed_images","failed_audio","failed_video","phase","value","rt","stimulus","response","view_history","question_order","trial_name","block_type","trial_num","set_size","correct_response","accuracy","mapping","condition","prompt","flipped","attention","expected_answer","category","question_index","task"
"pavlovia","0","1306","0.0-0.0","697ccad66fdf3bbcccb90fe4","not_provided","desktop","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","1794","0.0-2.0","697ccad66fdf3bbcccb90fe4","not_provided","desktop","0","0","0","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","2","7109","0.0-3.0-0.0","697ccad66fdf3bbcccb90fe4","not_provided","desktop","0","0","0","","","","","","captcha","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","3","13710","0.0-4.0","697ccad66fdf3bbcccb90fe4","not_provided","desktop","0","0","0","true","","","","","setup","","","","","","","","","","","","","","","","","","","","",""
"call-function","4","13711","0.0-5.0-0.0","697ccad66fdf3bbcccb90fe4","not_provided","desktop","0","0","0","","","","","","working_memory","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","5","27114","0.0-5.0-1.0","697ccad66fdf3bbcccb90fe4","not_provided","desktop","0","0","0","","","","","","working_memory","","13402","<div style=""text-align:center;font-family:sans-serif;""><p>Welcome to the luck game experiment!</p><p>This two-day experiment takes part in a study aimed at developing better clinical treatments.</p><p>We appreciate your participation and require your full concentration.</p><br><p>This is a two-day study. Payment (£6/hour) is only given upon completing both parts today and tomorrow.</p><p>You must finish the second part for compensation. After today, you'll receive an invitation for tomorrow's session.</p><p>Please ensure you can attend both sessions before proceeding. Otherwise, you may exit now.</p><p>If you have any questions, please contact us via prolific.</p><br><p>Please stay attentive and in fullscreen mode to ensure payment.</p><p>Thank you for participating!</p><br><p id=""continue-prompt"" style=""visibility:hidden;""><b>Press any key to continue.</b></p></div>"," ","","","","","","","","","","","","","","","","",""
"instructions","6","90660","0.0-5.0-2.0-0.0","697ccad66fdf3bbcccb90fe4","not_provided","desktop","0","0","0","","","","","","working_memory","","63546","","","[{""page_index"":0,""viewing_time"":11109},{""page_index"":1,""viewing_time"":1682},{""page_index"":2,""viewing_time"":3771},{""page_index"":3,""viewing_time"":3286},{""page_index"":4,""viewing_time"":12066},{""page_index"":5,""viewing_time"":9929},{""page_index"":6,""viewing_time"":14951},{""page_index"":7,""viewing_time"":3741},{""page_index"":8,""viewing_time"":3010}]","","","","","","","","","","","","","","","",""
"survey-multi-choice","7","121263","0.0-5.0-2.0-1.0","697ccad66fdf3bbcccb90fe4","not_provided","desktop","0","0","0","","","","","","working_memory","","30601","","{""set_size"":""2 or 4"",""steps"":""True"",""choose_square"":""Press the 'k' or 's' key."",""remember"":""The colors and locations of the 'memory' squares"",""task"":""To tell if the 'test' square is in the same color as the square previously appearing in this location""}","","[0,1,2,3,4]","test_squares_quiz","","","","","","","","","","","","","",""
"html-button-response","8","124116","0.0-5.0-2.0-2.0-0.0","697ccad66fdf3bbcccb90fe4","not_provided","desktop","0","0","0","","","","","","working_memory","","2852","<p>Sorry, you made a mistake on the quiz.<br>Let's go back to the instructions &mdash; please read carefully before submitting again.<br>Thank you!</p>","0","","","","","","","","","","","","","","","","",""
"instructions","9","145724","0.0-5.0-2.1-0.1","697ccad66fdf3bbcccb90fe4","not_provided","desktop","0","0","0","","","","","","working_memory","","21608","","","[{""page_index"":0,""viewing_time"":1193},{""page_index"":1,""viewing_time"":943},{""page_index"":2,""viewing_time"":2935},{""page_index"":3,""viewing_time"":2394},{""page_index"":4,""viewing_time"":5756},{""page_index"":5,""viewing_time"":4345},{""page_index"":6,""viewing_time"":1851},{""page_index"":7,""viewing_time"":838},{""page_index"":8,""viewing_time"":1353}]","","","","","","","","","","","","","","","",""
"survey-multi-choice","10","159255","0.0-5.0-2.1-1.1","697ccad66fdf3bbcccb90fe4","not_provided","desktop","0","0","0","","","","","","working_memory","","13530","","{""set_size"":""4 or 8"",""steps"":""True"",""choose_square"":""Press the 'k' or 's' key."",""remember"":""The colors and locations of the 'memory' squares"",""task"":""To tell if the 'test' square is in the same color as the square previously appearing in this location""}","","[0,1,2,3,4]","test_squares_quiz","","","","","","","","","","","","","",""
