"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","device_type","blur_count","fullscreen_exit_count","failed_attention_checks","success","timeout","failed_images","failed_audio","failed_video","phase","value","rt","stimulus","response","view_history","question_order","trial_name","block_type","trial_num","set_size","correct_response","accuracy","mapping","condition","prompt","flipped","attention","expected_answer","category","question_index","task"
"pavlovia","0","668","0.0-0.0","69a1a0ea10a7df83e3887c25","not_provided","desktop","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","679","0.0-2.0","69a1a0ea10a7df83e3887c25","not_provided","desktop","0","0","0","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","2","7792","0.0-3.0-0.0","69a1a0ea10a7df83e3887c25","not_provided","desktop","0","0","0","","","","","","captcha","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","3","27385","0.0-4.0","69a1a0ea10a7df83e3887c25","not_provided","desktop","0","0","0","true","","","","","setup","","","","","","","","","","","","","","","","","","","","",""
"call-function","4","27386","0.0-5.0-0.0","69a1a0ea10a7df83e3887c25","not_provided","desktop","0","0","0","","","","","","working_memory","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","5","202416","0.0-5.0-1.0","69a1a0ea10a7df83e3887c25","not_provided","desktop","0","0","0","","","","","","working_memory","","175028","<div style=""text-align:center;font-family:sans-serif;""><p>Welcome to the luck game experiment!</p><p>This two-day experiment takes part in a study aimed at developing better clinical treatments.</p><p>We appreciate your participation and require your full concentration.</p><br><p>This is a two-day study. Payment (£6/hour) is only given upon completing both parts today and tomorrow.</p><p>You must finish the second part for compensation. After today, you'll receive an invitation for tomorrow's session.</p><p>Please ensure you can attend both sessions before proceeding. Otherwise, you may exit now.</p><p>If you have any questions, please contact us via prolific.</p><br><p>Please stay attentive and in fullscreen mode to ensure payment.</p><p>Thank you for participating!</p><br><p id=""continue-prompt"" style=""visibility:hidden;""><b>Press any key to continue.</b></p></div>"," ","","","","","","","","","","","","","","","","",""
"instructions","6","363722","0.0-5.0-2.0-0.0","69a1a0ea10a7df83e3887c25","not_provided","desktop","0","0","0","","","","","","working_memory","","161305","","","[{""page_index"":0,""viewing_time"":4084},{""page_index"":1,""viewing_time"":5914},{""page_index"":2,""viewing_time"":5212},{""page_index"":3,""viewing_time"":6758},{""page_index"":4,""viewing_time"":20452},{""page_index"":5,""viewing_time"":28888},{""page_index"":6,""viewing_time"":50124},{""page_index"":7,""viewing_time"":25066},{""page_index"":8,""viewing_time"":14807}]","","","","","","","","","","","","","","","",""
"survey-multi-choice","7","474218","0.0-5.0-2.0-1.0","69a1a0ea10a7df83e3887c25","not_provided","desktop","0","0","0","","","","","","working_memory","","110493","","{""set_size"":""4 or 8"",""steps"":""True"",""choose_square"":""Press the 'k' or 's' key."",""remember"":""The colors and locations of the 'memory' squares"",""task"":""To tell if the 'test' square is in the same color as the square previously appearing in this location""}","","[0,1,2,3,4]","test_squares_quiz","","","","","","","","","","","","","",""
"html-keyboard-response","8","529017","0.0-5.0-3.0-0.0","69a1a0ea10a7df83e3887c25","not_provided","desktop","0","0","0","","","","","","working_memory","","54796","<p>We will now start some practice trials.<br><b>The practice trials will also include some trials in which you will need to remember only one square to make sure you understood the instructions.</b><br>You may already want to be ready with your fingers on '<b>s</b>' and '<b>k</b>'.<br><img class=""wm-example-img"" src=""images/examples/keyboard.png""><br><b style=""font-size:1.2em;"">&lsquo;K&rsquo; = SAME &nbsp;&nbsp;&nbsp; &lsquo;S&rsquo; = DIFFERENT</b><br><br><u>Please try to be as accurate as possible.</u><br><br><b>Press any key to begin</b></p>"," ","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","531047","0.0-5.0-3.0-1.0-0.0","69a1a0ea10a7df83e3887c25","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","10","531249","0.0-5.0-3.0-1.0-1.0","69a1a0ea10a7df83e3887c25","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<img class='lower3' src=images/squares/orange.png><div class=""fixation"">+</div>","null","","","memory","practice","0","1","","","","","","","","","","",""
"html-keyboard-response","11","532151","0.0-5.0-3.0-1.0-2.0","69a1a0ea10a7df83e3887c25","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","12","533149","0.0-5.0-3.0-1.0-3.0","69a1a0ea10a7df83e3887c25","not_provided","desktop","0","0","0","","","","","","working_memory","","997","<img class='lower3' src=images/squares/orange.png><div class=""fixation"">+</div>","k","","","test","practice","0","1","k","true","","","","","","","","",""
"html-keyboard-response","13","533663","0.0-5.0-3.0-1.0-4.0","69a1a0ea10a7df83e3887c25","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">Correct</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","14","534674","0.0-5.0-3.0-1.0-0.1","69a1a0ea10a7df83e3887c25","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","15","534878","0.0-5.0-3.0-1.0-1.1","69a1a0ea10a7df83e3887c25","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<img class='upper2' src=images/squares/brown.png><div class=""fixation"">+</div>","null","","","memory","practice","1","1","","","","","","","","","","",""
"html-keyboard-response","16","535793","0.0-5.0-3.0-1.0-2.1","69a1a0ea10a7df83e3887c25","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","17","536583","0.0-5.0-3.0-1.0-3.1","69a1a0ea10a7df83e3887c25","not_provided","desktop","0","0","0","","","","","","working_memory","","790","<img class='upper2' src=images/squares/green.png><div class=""fixation"">+</div>","s","","","test","practice","1","1","s","true","","","","","","","","",""
"html-keyboard-response","18","537090","0.0-5.0-3.0-1.0-4.1","69a1a0ea10a7df83e3887c25","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">Correct</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","19","538103","0.0-5.0-3.0-1.0-0.2","69a1a0ea10a7df83e3887c25","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","20","538308","0.0-5.0-3.0-1.0-1.2","69a1a0ea10a7df83e3887c25","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<img class='c' src=images/squares/green.png><img class='f' src=images/squares/black.png><img class='i' src=images/squares/brown.png><img class='k' src=images/squares/yellow.png><div class=""fixation"">+</div>","null","","","memory","practice","2","4","","","","","","","","","","",""
"html-keyboard-response","21","539210","0.0-5.0-3.0-1.0-2.2","69a1a0ea10a7df83e3887c25","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","22","540069","0.0-5.0-3.0-1.0-3.2","69a1a0ea10a7df83e3887c25","not_provided","desktop","0","0","0","","","","","","working_memory","","858","<img class='c' src=images/squares/green.png><div class=""fixation"">+</div>","k","","","test","practice","2","4","k","true","","","","","","","","",""
"html-keyboard-response","23","540582","0.0-5.0-3.0-1.0-4.2","69a1a0ea10a7df83e3887c25","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">Correct</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","24","541594","0.0-5.0-3.0-1.0-0.3","69a1a0ea10a7df83e3887c25","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","25","541798","0.0-5.0-3.0-1.0-1.3","69a1a0ea10a7df83e3887c25","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<img class='c' src=images/squares/yellow.png><img class='b' src=images/squares/brown.png><img class='e' src=images/squares/red.png><img class='f' src=images/squares/green.png><img class='i' src=images/squares/orange.png><img class='g' src=images/squares/magenta.png><img class='l' src=images/squares/cyan.png><img class='k' src=images/squares/black.png><div class=""fixation"">+</div>","null","","","memory","practice","3","8","","","","","","","","","","",""
"html-keyboard-response","26","542705","0.0-5.0-3.0-1.0-2.3","69a1a0ea10a7df83e3887c25","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","27","544309","0.0-5.0-3.0-1.0-3.3","69a1a0ea10a7df83e3887c25","not_provided","desktop","0","0","0","","","","","","working_memory","","1603","<img class='k' src=images/squares/blue.png><div class=""fixation"">+</div>","s","","","test","practice","3","8","s","true","","","","","","","","",""
"html-keyboard-response","28","544814","0.0-5.0-3.0-1.0-4.3","69a1a0ea10a7df83e3887c25","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">Correct</div>","null","","","","","","","","","","","","","","","","",""
