"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","device_type","blur_count","fullscreen_exit_count","failed_attention_checks","success","timeout","failed_images","failed_audio","failed_video","phase","value","rt","stimulus","response","view_history","question_order","trial_name","block_type","trial_num","set_size","correct_response","accuracy","mapping","condition","prompt","flipped","attention","expected_answer","category","question_index","task"
"pavlovia","0","877","0.0-0.0","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","1088","0.0-2.0","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","2","11474","0.0-3.0-0.0","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","captcha","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","3","21185","0.0-4.0","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","true","","","","","setup","","","","","","","","","","","","","","","","","","","","",""
"call-function","4","21186","0.0-5.0-0.0","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","5","50838","0.0-5.0-1.0","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","29651","<div style=""text-align:center;font-family:sans-serif;""><p>Welcome to the luck game experiment!</p><p>This two-day experiment takes part in a study aimed at developing better clinical treatments.</p><p>We appreciate your participation and require your full concentration.</p><br><p>This is a two-day study. Payment (£6/hour) is only given upon completing both parts today and tomorrow.</p><p>You must finish the second part for compensation. After today, you'll receive an invitation for tomorrow's session.</p><p>Please ensure you can attend both sessions before proceeding. Otherwise, you may exit now.</p><p>If you have any questions, please contact us via prolific.</p><br><p>Please stay attentive and in fullscreen mode to ensure payment.</p><p>Thank you for participating!</p><br><p id=""continue-prompt"" style=""visibility:hidden;""><b>Press any key to continue.</b></p></div>"," ","","","","","","","","","","","","","","","","",""
"instructions","6","150332","0.0-5.0-2.0-0.0","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","97065","","","[{""page_index"":0,""viewing_time"":2945},{""page_index"":1,""viewing_time"":2639},{""page_index"":2,""viewing_time"":7422},{""page_index"":3,""viewing_time"":6126},{""page_index"":4,""viewing_time"":28591},{""page_index"":5,""viewing_time"":14045},{""page_index"":6,""viewing_time"":19930},{""page_index"":7,""viewing_time"":6245},{""page_index"":8,""viewing_time"":9121}]","","","","","","","","","","","","","","","",""
"survey-multi-choice","7","197683","0.0-5.0-2.0-1.0","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","47349","","{""set_size"":""4 or 8"",""steps"":""True"",""choose_square"":""Press the 's' or 'k' key."",""remember"":""The colors and locations of the 'memory' squares"",""task"":""To tell if the 'test' square is in the same color as the square previously appearing in this location""}","","[0,1,2,3,4]","test_squares_quiz","","","","","","","","","","","","","",""
"html-keyboard-response","8","218145","0.0-5.0-3.0-0.0","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","20460","<p>We will now start some practice trials.<br><b>The practice trials will also include some trials in which you will need to remember only one square to make sure you understood the instructions.</b><br>You may already want to be ready with your fingers on '<b>s</b>' and '<b>k</b>'.<br><img class=""wm-example-img"" src=""images/examples/keyboard.png""><br><b style=""font-size:1.2em;"">&lsquo;S&rsquo; = SAME &nbsp;&nbsp;&nbsp; &lsquo;K&rsquo; = DIFFERENT</b><br><br><u>Please try to be as accurate as possible.</u><br><br><b>Press any key to begin</b></p>"," ","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","220148","0.0-5.0-3.0-1.0-0.0","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","10","220349","0.0-5.0-3.0-1.0-1.0","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<img class='upper2' src=images/squares/magenta.png><div class=""fixation"">+</div>","null","","","memory","practice","0","1","","","","","","","","","","",""
"html-keyboard-response","11","221252","0.0-5.0-3.0-1.0-2.0","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","12","223823","0.0-5.0-3.0-1.0-3.0","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","2570","<img class='upper2' src=images/squares/red.png><div class=""fixation"">+</div>","k","","","test","practice","0","1","k","true","","","","","","","","",""
"html-keyboard-response","13","224325","0.0-5.0-3.0-1.0-4.0","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">Correct</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","14","225327","0.0-5.0-3.0-1.0-0.1","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","15","225529","0.0-5.0-3.0-1.0-1.1","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<img class='a' src=images/squares/yellow.png><img class='e' src=images/squares/green.png><img class='i' src=images/squares/orange.png><img class='l' src=images/squares/blue.png><div class=""fixation"">+</div>","null","","","memory","practice","1","4","","","","","","","","","","",""
"html-keyboard-response","16","226430","0.0-5.0-3.0-1.0-2.1","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","17","227833","0.0-5.0-3.0-1.0-3.1","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","1402","<img class='a' src=images/squares/yellow.png><div class=""fixation"">+</div>","s","","","test","practice","1","4","s","true","","","","","","","","",""
"html-keyboard-response","18","228334","0.0-5.0-3.0-1.0-4.1","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">Correct</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","19","229337","0.0-5.0-3.0-1.0-0.2","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","20","229539","0.0-5.0-3.0-1.0-1.2","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<img class='lower3' src=images/squares/brown.png><div class=""fixation"">+</div>","null","","","memory","practice","2","1","","","","","","","","","","",""
"html-keyboard-response","21","230442","0.0-5.0-3.0-1.0-2.2","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","22","232027","0.0-5.0-3.0-1.0-3.2","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","1585","<img class='lower3' src=images/squares/brown.png><div class=""fixation"">+</div>","s","","","test","practice","2","1","s","true","","","","","","","","",""
"html-keyboard-response","23","232529","0.0-5.0-3.0-1.0-4.2","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">Correct</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","24","233530","0.0-5.0-3.0-1.0-0.3","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","25","233732","0.0-5.0-3.0-1.0-1.3","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<img class='b' src=images/squares/yellow.png><img class='a' src=images/squares/green.png><img class='d' src=images/squares/black.png><img class='e' src=images/squares/cyan.png><img class='g' src=images/squares/brown.png><img class='i' src=images/squares/red.png><img class='l' src=images/squares/magenta.png><img class='k' src=images/squares/blue.png><div class=""fixation"">+</div>","null","","","memory","practice","3","8","","","","","","","","","","",""
"html-keyboard-response","26","234635","0.0-5.0-3.0-1.0-2.3","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","27","237264","0.0-5.0-3.0-1.0-3.3","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","2629","<img class='l' src=images/squares/orange.png><div class=""fixation"">+</div>","k","","","test","practice","3","8","k","true","","","","","","","","",""
"html-keyboard-response","28","237766","0.0-5.0-3.0-1.0-4.3","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">Correct</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","29","238767","0.0-5.0-3.0-1.0-0.4","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","30","238970","0.0-5.0-3.0-1.0-1.4","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<img class='lower3' src=images/squares/blue.png><div class=""fixation"">+</div>","null","","","memory","practice","4","1","","","","","","","","","","",""
"html-keyboard-response","31","239872","0.0-5.0-3.0-1.0-2.4","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","32","241402","0.0-5.0-3.0-1.0-3.4","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","1529","<img class='lower3' src=images/squares/brown.png><div class=""fixation"">+</div>","k","","","test","practice","4","1","k","true","","","","","","","","",""
"html-keyboard-response","33","241903","0.0-5.0-3.0-1.0-4.4","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">Correct</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","34","242905","0.0-5.0-3.0-1.0-0.5","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","35","243107","0.0-5.0-3.0-1.0-1.5","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<img class='a' src=images/squares/orange.png><img class='b' src=images/squares/blue.png><img class='e' src=images/squares/red.png><img class='d' src=images/squares/brown.png><img class='g' src=images/squares/green.png><img class='i' src=images/squares/magenta.png><img class='k' src=images/squares/yellow.png><img class='j' src=images/squares/cyan.png><div class=""fixation"">+</div>","null","","","memory","practice","5","8","","","","","","","","","","",""
"html-keyboard-response","36","244009","0.0-5.0-3.0-1.0-2.5","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","37","245565","0.0-5.0-3.0-1.0-3.5","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","1555","<img class='b' src=images/squares/black.png><div class=""fixation"">+</div>","s","","","test","practice","5","8","k","false","","","","","","","","",""
"html-keyboard-response","38","246067","0.0-5.0-3.0-1.0-4.5","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">Incorrect</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","39","247069","0.0-5.0-3.0-1.0-0.6","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","40","247272","0.0-5.0-3.0-1.0-1.6","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<img class='b' src=images/squares/yellow.png><img class='f' src=images/squares/brown.png><img class='h' src=images/squares/green.png><img class='k' src=images/squares/red.png><div class=""fixation"">+</div>","null","","","memory","practice","6","4","","","","","","","","","","",""
"html-keyboard-response","41","248175","0.0-5.0-3.0-1.0-2.6","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","42","250238","0.0-5.0-3.0-1.0-3.6","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","2062","<img class='h' src=images/squares/cyan.png><div class=""fixation"">+</div>","k","","","test","practice","6","4","k","true","","","","","","","","",""
"html-keyboard-response","43","250739","0.0-5.0-3.0-1.0-4.6","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">Correct</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","44","251740","0.0-5.0-3.0-1.0-0.7","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","45","251942","0.0-5.0-3.0-1.0-1.7","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<img class='lower2' src=images/squares/blue.png><div class=""fixation"">+</div>","null","","","memory","practice","7","1","","","","","","","","","","",""
"html-keyboard-response","46","252844","0.0-5.0-3.0-1.0-2.7","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","47","254206","0.0-5.0-3.0-1.0-3.7","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","1360","<img class='lower2' src=images/squares/cyan.png><div class=""fixation"">+</div>","k","","","test","practice","7","1","k","true","","","","","","","","",""
"html-keyboard-response","48","254707","0.0-5.0-3.0-1.0-4.7","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">Correct</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","49","255708","0.0-5.0-3.0-1.0-0.8","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","50","255911","0.0-5.0-3.0-1.0-1.8","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<img class='c' src=images/squares/brown.png><img class='a' src=images/squares/red.png><img class='d' src=images/squares/orange.png><img class='e' src=images/squares/yellow.png><img class='g' src=images/squares/black.png><img class='h' src=images/squares/magenta.png><img class='k' src=images/squares/green.png><img class='j' src=images/squares/cyan.png><div class=""fixation"">+</div>","null","","","memory","practice","8","8","","","","","","","","","","",""
"html-keyboard-response","51","256813","0.0-5.0-3.0-1.0-2.8","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","52","257999","0.0-5.0-3.0-1.0-3.8","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","1185","<img class='c' src=images/squares/brown.png><div class=""fixation"">+</div>","s","","","test","practice","8","8","s","true","","","","","","","","",""
"html-keyboard-response","53","258501","0.0-5.0-3.0-1.0-4.8","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">Correct</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","54","259503","0.0-5.0-3.0-1.0-0.9","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","55","259705","0.0-5.0-3.0-1.0-1.9","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<img class='upper2' src=images/squares/cyan.png><div class=""fixation"">+</div>","null","","","memory","practice","9","1","","","","","","","","","","",""
"html-keyboard-response","56","260607","0.0-5.0-3.0-1.0-2.9","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","57","261686","0.0-5.0-3.0-1.0-3.9","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","1078","<img class='upper2' src=images/squares/cyan.png><div class=""fixation"">+</div>","s","","","test","practice","9","1","s","true","","","","","","","","",""
"html-keyboard-response","58","262187","0.0-5.0-3.0-1.0-4.9","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">Correct</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","59","263189","0.0-5.0-3.0-1.0-0.10","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","60","263392","0.0-5.0-3.0-1.0-1.10","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<img class='b' src=images/squares/black.png><img class='c' src=images/squares/blue.png><img class='d' src=images/squares/red.png><img class='f' src=images/squares/green.png><img class='i' src=images/squares/yellow.png><img class='g' src=images/squares/cyan.png><img class='l' src=images/squares/orange.png><img class='j' src=images/squares/magenta.png><div class=""fixation"">+</div>","null","","","memory","practice","10","8","","","","","","","","","","",""
"html-keyboard-response","61","264294","0.0-5.0-3.0-1.0-2.10","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","62","266340","0.0-5.0-3.0-1.0-3.10","69fdce52c07d954848678eaf","not_provided","desktop","0","0","0","","","","","","working_memory","","2045","<img class='g' src=images/squares/cyan.png><div class=""fixation"">+</div>","s","","","test","practice","10","8","s","true","","","","","","","","",""
