"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","device_type","blur_count","fullscreen_exit_count","failed_attention_checks","success","timeout","failed_images","failed_audio","failed_video","phase","value","rt","stimulus","response","view_history","question_order","trial_name","block_type","trial_num","set_size","correct_response","accuracy","mapping","condition","prompt","flipped","attention","expected_answer","category","question_index","task"
"pavlovia","0","1104","0.0-0.0","6a01c4c8248651c0157c76c5","not_provided","desktop","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","1292","0.0-2.0","6a01c4c8248651c0157c76c5","not_provided","desktop","0","0","0","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","2","23461","0.0-3.0-0.0","6a01c4c8248651c0157c76c5","not_provided","desktop","0","0","0","","","","","","captcha","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","3","30367","0.0-4.0","6a01c4c8248651c0157c76c5","not_provided","desktop","0","0","0","true","","","","","setup","","","","","","","","","","","","","","","","","","","","",""
"call-function","4","30369","0.0-5.0-0.0","6a01c4c8248651c0157c76c5","not_provided","desktop","0","0","0","","","","","","working_memory","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","5","52125","0.0-5.0-1.0","6a01c4c8248651c0157c76c5","not_provided","desktop","0","0","0","","","","","","working_memory","","21754","<div style=""text-align:center;font-family:sans-serif;""><p>Welcome to the luck game experiment!</p><p>This two-day experiment takes part in a study aimed at developing better clinical treatments.</p><p>We appreciate your participation and require your full concentration.</p><br><p>This is a two-day study. Payment (£6/hour) is only given upon completing both parts today and tomorrow.</p><p>You must finish the second part for compensation. After today, you'll receive an invitation for tomorrow's session.</p><p>Please ensure you can attend both sessions before proceeding. Otherwise, you may exit now.</p><p>If you have any questions, please contact us via prolific.</p><br><p>Please stay attentive and in fullscreen mode to ensure payment.</p><p>Thank you for participating!</p><br><p id=""continue-prompt"" style=""visibility:hidden;""><b>Press any key to continue.</b></p></div>"," ","","","","","","","","","","","","","","","","",""
"instructions","6","95730","0.0-5.0-2.0-0.0","6a01c4c8248651c0157c76c5","not_provided","desktop","0","0","0","","","","","","working_memory","","43603","","","[{""page_index"":0,""viewing_time"":2025},{""page_index"":1,""viewing_time"":1830},{""page_index"":2,""viewing_time"":4688},{""page_index"":3,""viewing_time"":5281},{""page_index"":4,""viewing_time"":4461},{""page_index"":5,""viewing_time"":9486},{""page_index"":6,""viewing_time"":9042},{""page_index"":7,""viewing_time"":4419},{""page_index"":8,""viewing_time"":2371}]","","","","","","","","","","","","","","","",""
"survey-multi-choice","7","123921","0.0-5.0-2.0-1.0","6a01c4c8248651c0157c76c5","not_provided","desktop","0","0","0","","","","","","working_memory","","28184","","{""set_size"":""4 or 8"",""steps"":""True"",""choose_square"":""Press the 's' or 'k' key."",""remember"":""The colors and locations of the 'memory' squares"",""task"":""To tell if the 'test' square is in the same color as the square previously appearing in this location""}","","[0,1,2,3,4]","test_squares_quiz","","","","","","","","","","","","","",""
"html-keyboard-response","8","127766","0.0-5.0-3.0-0.0","6a01c4c8248651c0157c76c5","not_provided","desktop","0","0","0","","","","","","working_memory","","3841","<p>We will now start some practice trials.<br><b>The practice trials will also include some trials in which you will need to remember only one square to make sure you understood the instructions.</b><br>You may already want to be ready with your fingers on '<b>s</b>' and '<b>k</b>'.<br><img class=""wm-example-img"" src=""images/examples/keyboard.png""><br><b style=""font-size:1.2em;"">&lsquo;S&rsquo; = SAME &nbsp;&nbsp;&nbsp; &lsquo;K&rsquo; = DIFFERENT</b><br><br><u>Please try to be as accurate as possible.</u><br><br><b>Press any key to begin</b></p>","k","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","129768","0.0-5.0-3.0-1.0-0.0","6a01c4c8248651c0157c76c5","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","10","129972","0.0-5.0-3.0-1.0-1.0","6a01c4c8248651c0157c76c5","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<img class='upper1' src=images/squares/red.png><div class=""fixation"">+</div>","null","","","memory","practice","0","1","","","","","","","","","","",""
"html-keyboard-response","11","130874","0.0-5.0-3.0-1.0-2.0","6a01c4c8248651c0157c76c5","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","12","132365","0.0-5.0-3.0-1.0-3.0","6a01c4c8248651c0157c76c5","not_provided","desktop","0","0","0","","","","","","working_memory","","1489","<img class='upper1' src=images/squares/brown.png><div class=""fixation"">+</div>","k","","","test","practice","0","1","k","true","","","","","","","","",""
"html-keyboard-response","13","132866","0.0-5.0-3.0-1.0-4.0","6a01c4c8248651c0157c76c5","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">Correct</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","14","133868","0.0-5.0-3.0-1.0-0.1","6a01c4c8248651c0157c76c5","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","15","134071","0.0-5.0-3.0-1.0-1.1","6a01c4c8248651c0157c76c5","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<img class='b' src=images/squares/green.png><img class='c' src=images/squares/yellow.png><img class='e' src=images/squares/brown.png><img class='f' src=images/squares/orange.png><img class='h' src=images/squares/magenta.png><img class='g' src=images/squares/black.png><img class='l' src=images/squares/red.png><img class='j' src=images/squares/blue.png><div class=""fixation"">+</div>","null","","","memory","practice","1","8","","","","","","","","","","",""
"html-keyboard-response","16","134972","0.0-5.0-3.0-1.0-2.1","6a01c4c8248651c0157c76c5","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","17","135621","0.0-5.0-3.0-1.0-3.1","6a01c4c8248651c0157c76c5","not_provided","desktop","0","0","0","","","","","","working_memory","","647","<img class='b' src=images/squares/green.png><div class=""fixation"">+</div>","s","","","test","practice","1","8","s","true","","","","","","","","",""
"html-keyboard-response","18","136122","0.0-5.0-3.0-1.0-4.1","6a01c4c8248651c0157c76c5","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">Correct</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","19","137124","0.0-5.0-3.0-1.0-0.2","6a01c4c8248651c0157c76c5","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","20","137326","0.0-5.0-3.0-1.0-1.2","6a01c4c8248651c0157c76c5","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<img class='a' src=images/squares/yellow.png><img class='d' src=images/squares/green.png><img class='h' src=images/squares/magenta.png><img class='l' src=images/squares/orange.png><div class=""fixation"">+</div>","null","","","memory","practice","2","4","","","","","","","","","","",""
"html-keyboard-response","21","138228","0.0-5.0-3.0-1.0-2.2","6a01c4c8248651c0157c76c5","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","22","139805","0.0-5.0-3.0-1.0-3.2","6a01c4c8248651c0157c76c5","not_provided","desktop","0","0","0","","","","","","working_memory","","1575","<img class='a' src=images/squares/red.png><div class=""fixation"">+</div>","s","","","test","practice","2","4","k","false","","","","","","","","",""
"html-keyboard-response","23","140306","0.0-5.0-3.0-1.0-4.2","6a01c4c8248651c0157c76c5","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">Incorrect</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","24","141307","0.0-5.0-3.0-1.0-0.3","6a01c4c8248651c0157c76c5","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","25","141510","0.0-5.0-3.0-1.0-1.3","6a01c4c8248651c0157c76c5","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<img class='c' src=images/squares/yellow.png><img class='f' src=images/squares/orange.png><img class='g' src=images/squares/red.png><img class='l' src=images/squares/green.png><div class=""fixation"">+</div>","null","","","memory","practice","3","4","","","","","","","","","","",""
"html-keyboard-response","26","142411","0.0-5.0-3.0-1.0-2.3","6a01c4c8248651c0157c76c5","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","27","143264","0.0-5.0-3.0-1.0-3.3","6a01c4c8248651c0157c76c5","not_provided","desktop","0","0","0","","","","","","working_memory","","852","<img class='g' src=images/squares/red.png><div class=""fixation"">+</div>","k","","","test","practice","3","4","s","false","","","","","","","","",""
"html-keyboard-response","28","143766","0.0-5.0-3.0-1.0-4.3","6a01c4c8248651c0157c76c5","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">Incorrect</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","29","144767","0.0-5.0-3.0-1.0-0.4","6a01c4c8248651c0157c76c5","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","30","144969","0.0-5.0-3.0-1.0-1.4","6a01c4c8248651c0157c76c5","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<img class='upper1' src=images/squares/yellow.png><div class=""fixation"">+</div>","null","","","memory","practice","4","1","","","","","","","","","","",""
"html-keyboard-response","31","145870","0.0-5.0-3.0-1.0-2.4","6a01c4c8248651c0157c76c5","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","32","148032","0.0-5.0-3.0-1.0-3.4","6a01c4c8248651c0157c76c5","not_provided","desktop","0","0","0","","","","","","working_memory","","2160","<img class='upper1' src=images/squares/red.png><div class=""fixation"">+</div>","k","","","test","practice","4","1","k","true","","","","","","","","",""
"html-keyboard-response","33","148534","0.0-5.0-3.0-1.0-4.4","6a01c4c8248651c0157c76c5","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">Correct</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","34","149536","0.0-5.0-3.0-1.0-0.5","6a01c4c8248651c0157c76c5","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
