"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","win_chance","device_type","blur_count","fullscreen_exit_count","failed_attention_checks","success","timeout","failed_images","failed_audio","failed_video","phase","view_history","rt","stimulus","response","question_order","trial_name","value","task","block_number","trial_number","choice_key","choice_location","choice_color","choice_key_oneback","choice_location_oneback","choice_color_oneback","unavailable_keys","unavailable_locations","unavailable_colors","unavailable_location","unavailable_color","unavailable_keys_oneback","unavailable_locations_oneback","unavailable_colors_oneback","reward_oneback","reward","total_score","total_score_oneback","coin_earned","coin_earned_oneback","is_choice_valid","is_timeout_reached","belief_blue","belief_green","belief_red","prompt","flipped","attention","expected_answer","category","question_index"
"pavlovia","0","919","0.0-0.0","69bbe13bdb78ed30b67655e6","not_provided","0.5","desktop","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","4370","0.0-2.0","69bbe13bdb78ed30b67655e6","not_provided","0.5","desktop","0","0","0","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","2","11857","0.0-3.0","69bbe13bdb78ed30b67655e6","not_provided","0.5","desktop","0","0","0","true","","","","","setup","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","3","343327","0.0-4.0-0.0-0.0-0.0","69bbe13bdb78ed30b67655e6","not_provided","0.5","desktop","0","0","0","","","","","","luck_game","[{""page_index"":0,""viewing_time"":31639},{""page_index"":1,""viewing_time"":40535},{""page_index"":2,""viewing_time"":50288},{""page_index"":3,""viewing_time"":18232},{""page_index"":4,""viewing_time"":34368},{""page_index"":5,""viewing_time"":46164},{""page_index"":6,""viewing_time"":18063},{""page_index"":7,""viewing_time"":49312},{""page_index"":8,""viewing_time"":17116},{""page_index"":9,""viewing_time"":16315},{""page_index"":10,""viewing_time"":9436}]","331469","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","4","376887","0.0-4.0-0.0-1.0","69bbe13bdb78ed30b67655e6","not_provided","0.5","desktop","0","0","0","","","","","","luck_game","","33559","<div style=""max-width:640px; margin:0 auto; text-align:left;
                               font-family:sans-serif; color:white; padding:10px;"">
            <h3 style=""color:white; text-align:center;"">Quick Reminder</h3>
            <ul style=""line-height:2.1; font-size:1.05em;"">
                <li>There are <strong>3 luck machines</strong>:
                    <span style=""color:#5599ff""><strong>Blue</strong></span> (&uarr; Up),
                    <span style=""color:#55cc55""><strong>Green</strong></span> (&larr; Left),
                    <span style=""color:#ff5555""><strong>Red</strong></span> (&rarr; Right)</li>
                <li>Each turn, <strong>1 machine is READY</strong> and 2 are
                    <strong>unavailable</strong> (shown as a colored outline)</li>
                <li>Press the corresponding arrow key to activate the READY machine</li>
                <li>Activating one of the <strong>unavailable machines</strong>: lose your turn + time penalty</li>
                <li>Activating the READY machine: <strong class=""win-text"">50% win +&pound;0.05</strong>
                    / <strong class=""lose-text"">50% lose &minus;&pound;0.05</strong></li>
                <li><strong>Time limit:</strong> 6 seconds per turn &mdash; don&rsquo;t miss your chance!</li>
                <li><strong>Goal:</strong> Quickly activate the READY machine, avoid the unavailable ones</li>
            </ul>
        </div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","5","502614","0.0-4.0-0.0-2.0","69bbe13bdb78ed30b67655e6","not_provided","0.5","desktop","0","0","0","","","","","","luck_game","","125723","","{""q_total_machines"":""3"",""q_ready_machines"":""1"",""q_blue_key"":""↑ Up arrow key"",""q_red_key"":""→ Right arrow key"",""q_outcome"":""The red machine is one of the unavailable machines. I will lose my turn and chance to win coins, and get a time penalty."",""q_ready_outcome"":""I will either win a coin (+0.05£) or lose a coin (−0.05£)."",""q_goal"":""My goal is to quickly activate available luck machines, avoiding unavailable machines. If I am lucky, I will get rewarded."",""q_win_rates"":""Red: 50% win rate — Blue: 50% win rate — Green: 50% win rate""}","[0,1,2,3,4,5,6,7]","luck_game_quiz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","6","509248","0.0-4.0-1.0","69bbe13bdb78ed30b67655e6","not_provided","0.5","desktop","0","0","0","","","","","","luck_game","","6632","
            <div style=""max-width: 600px; margin: 0 auto; text-align: center; font-family: sans-serif;"">
                <h2 style=""color: white;"">Good job, you learned the instructions!</h2>
                <p>We will now move to a short <strong>training phase</strong> to get you familiar with the game.</p>
                <p>Your score will <strong>not</strong> be counted during training.</p>
                <br>
                <p><strong>Press Space to start training.</strong></p>
            </div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","7","509248","0.0-4.0-2.0","69bbe13bdb78ed30b67655e6","not_provided","0.5","desktop","0","0","0","","","","","","luck_game","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","8","511660","0.0-4.0-3.0","69bbe13bdb78ed30b67655e6","not_provided","0.5","desktop","0","0","0","","","","","","luck_game","","2411","<div class=""experiment-container""><div class=""center-zone""><div class=""cross""></div><div class=""triangle-grid""><div class=""machine top-center blue-outline""></div><div class=""machine bottom-left green-outline""></div><div class=""machine bottom-right red""></div></div></div></div>","arrowright","","","","gambling_choice","training","1","arrowright","bottom-right","red","null","null","null","[""arrowup"",""arrowleft""]","[""top-center"",""bottom-left""]","[""blue"",""green""]","null","null","[]","[]","[]","null","1","0","0","0.05","null","true","false","","","","","","","","",""
"html-keyboard-response","9","511766","0.0-4.0-4.0-0.0","69bbe13bdb78ed30b67655e6","not_provided","0.5","desktop","0","0","0","","","","","","luck_game","","null","<div class=""experiment-container""><div class=""center-zone""><div class=""cross""></div><div class=""triangle-grid""><div class=""machine top-center blue-outline""></div><div class=""machine bottom-left green-outline""></div><div class=""machine bottom-right red""></div></div></div></div>","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
