"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","win_chance","device_type","blur_count","fullscreen_exit_count","failed_attention_checks","success","timeout","failed_images","failed_audio","failed_video","phase","view_history","rt","stimulus","response","question_order","trial_name","value","task","block_number","trial_number","choice_key","choice_location","choice_color","choice_key_oneback","choice_location_oneback","choice_color_oneback","unavailable_key","unavailable_location","unavailable_color","unavailable_key_oneback","unavailable_location_oneback","unavailable_color_oneback","reward_oneback","reward","total_score","total_score_oneback","coin_earned","coin_earned_oneback","is_choice_valid","is_timeout_reached","prompt","flipped","attention","expected_answer","category","question_index"
"pavlovia","0","1519","0.0-0.0","69d5525ec7afcfce08d8608b","69f10c5d5c1b9b3130e33fee","0.5","desktop","0","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","5635","0.0-2.0","69d5525ec7afcfce08d8608b","69f10c5d5c1b9b3130e33fee","0.5","desktop","0","0","1","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","2","39900","0.0-3.0-0.0","69d5525ec7afcfce08d8608b","69f10c5d5c1b9b3130e33fee","0.5","desktop","0","0","1","","","","","","captcha","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","3","46858","0.0-4.0","69d5525ec7afcfce08d8608b","69f10c5d5c1b9b3130e33fee","0.5","desktop","0","0","1","true","","","","","setup","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"instructions","4","361410","0.0-5.0-0.0-0.0-0.0","69d5525ec7afcfce08d8608b","69f10c5d5c1b9b3130e33fee","0.5","desktop","0","0","1","","","","","","luck_game","[{""page_index"":0,""viewing_time"":24223},{""page_index"":1,""viewing_time"":147308},{""page_index"":2,""viewing_time"":19258},{""page_index"":3,""viewing_time"":12403},{""page_index"":4,""viewing_time"":12850},{""page_index"":5,""viewing_time"":21611},{""page_index"":6,""viewing_time"":12965},{""page_index"":7,""viewing_time"":11453},{""page_index"":8,""viewing_time"":28932},{""page_index"":9,""viewing_time"":13486},{""page_index"":10,""viewing_time"":10062}]","314550","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-button-response","5","385214","0.0-5.0-0.0-1.0","69d5525ec7afcfce08d8608b","69f10c5d5c1b9b3130e33fee","0.5","desktop","0","0","1","","","","","","luck_game","","23802","<div style=""max-width:640px; margin:0 auto; text-align:left;
                               font-family:sans-serif; color:white; padding:10px;"">
            <h3 style=""color:white; text-align:center;"">Quick Reminder</h3>
            <ul style=""line-height:2.1; font-size:1.05em;"">
                <li>There are <strong>3 luck machines</strong>:
                    <span style=""color:#5599ff""><strong>Blue</strong></span> (&uarr; Up),
                    <span style=""color:#55cc55""><strong>Green</strong></span> (&larr; Left),
                    <span style=""color:#ff5555""><strong>Red</strong></span> (&rarr; Right)</li>
                <li>Each turn, <strong>2 machines are READY</strong> and 1 is
                    <strong>unavailable</strong> (shown as a colored outline)</li>
                <li>Press the corresponding arrow key to activate a READY machine</li>
                <li>Activating an <strong>unavailable</strong> machine: lose your turn + time penalty</li>
                <li>Activating a READY machine: <strong class=""win-text"">50% win +&pound;0.05</strong>
                    / <strong class=""lose-text"">50% lose &minus;&pound;0.05</strong></li>
                <li><strong>Time limit:</strong> 6 seconds per turn &mdash; don&rsquo;t miss your chance!</li>
                <li><strong>Goal:</strong> Quickly activate READY machines, avoid unavailable ones</li>
            </ul>
        </div>","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"survey-multi-choice","6","1511173","0.0-5.0-0.0-2.0","69d5525ec7afcfce08d8608b","69f10c5d5c1b9b3130e33fee","0.5","desktop","0","0","1","","","","","","luck_game","","1125954","","{""q_total_machines"":""3"",""q_ready_machines"":""2"",""q_blue_key"":""↑ Up arrow key"",""q_red_key"":""→ Right arrow key"",""q_outcome"":""The red machine is unavailable. I will lose my turn and chance to win coins, and get a time penalty."",""q_ready_outcome"":""I will either win a coin (+0.05£) or lose a coin (−0.05£)."",""q_goal"":""My goal is to quickly activate available luck machines, avoiding unavailable machines. If I am lucky, I will get rewarded."",""q_win_rates"":""Red: 50% win rate — Blue: 50% win rate — Green: 50% win rate""}","[0,1,2,3,4,5,6,7]","luck_game_quiz","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","7","1514548","0.0-5.0-1.0","69d5525ec7afcfce08d8608b","69f10c5d5c1b9b3130e33fee","0.5","desktop","0","0","1","","","","","","luck_game","","3372","
            <div style=""max-width: 600px; margin: 0 auto; text-align: center; font-family: sans-serif;"">
                <h2 style=""color: white;"">Good job, you learned the instructions!</h2>
                <p>We will now move to a short <strong>training phase</strong> to get you familiar with the game.</p>
                <p>Your score will <strong>not</strong> be counted during training.</p>
                <br>
                <p><strong>Press Space to start training.</strong></p>
            </div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","8","1514549","0.0-5.0-2.0","69d5525ec7afcfce08d8608b","69f10c5d5c1b9b3130e33fee","0.5","desktop","0","0","1","","","","","","luck_game","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","1520555","0.0-5.0-3.0","69d5525ec7afcfce08d8608b","69f10c5d5c1b9b3130e33fee","0.5","desktop","0","0","1","","","","","","luck_game","","null","<div class=""experiment-container""><div class=""center-zone""><div class=""cross""></div><div class=""triangle-grid""><div class=""machine top-center blue""></div><div class=""machine bottom-left green-outline""></div><div class=""machine bottom-right red""></div></div></div></div>","null","","","","gambling_choice","training","1","null","null","null","null","null","null","arrowleft","bottom-left","green","null","null","null","null","0","0","0","0","null","false","true","","","","","",""
"html-keyboard-response","10","1521570","0.0-5.0-7.0-0.0","69d5525ec7afcfce08d8608b","69f10c5d5c1b9b3130e33fee","0.5","desktop","0","0","1","","","","","","luck_game","","null","
            <div id=""score-counter""></div>
            <div class=""experiment-container"">
                <div class=""center-zone"">
                    <p class=""feedback-text"" style=""margin: 0;"">Too late!</p>
                </div>
            </div>","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","11","1527578","0.0-5.0-9.0","69d5525ec7afcfce08d8608b","69f10c5d5c1b9b3130e33fee","0.5","desktop","0","0","1","","","","","","luck_game","","null","<div class=""experiment-container""><div class=""center-zone""><div class=""cross""></div><div class=""triangle-grid""><div class=""machine top-center blue""></div><div class=""machine bottom-left green""></div><div class=""machine bottom-right red-outline""></div></div></div></div>","null","","","","gambling_choice","training","2","null","null","null","null","null","null","arrowright","bottom-right","red","arrowleft","bottom-left","green","0","0","0","0","0","0","false","true","","","","","",""
"html-keyboard-response","12","1528588","0.0-5.0-13.0-0.0","69d5525ec7afcfce08d8608b","69f10c5d5c1b9b3130e33fee","0.5","desktop","0","0","1","","","","","","luck_game","","null","
            <div id=""score-counter""></div>
            <div class=""experiment-container"">
                <div class=""center-zone"">
                    <p class=""feedback-text"" style=""margin: 0;"">Too late!</p>
                </div>
            </div>","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","13","1534601","0.0-5.0-15.0","69d5525ec7afcfce08d8608b","69f10c5d5c1b9b3130e33fee","0.5","desktop","0","0","1","","","","","","luck_game","","null","<div class=""experiment-container""><div class=""center-zone""><div class=""cross""></div><div class=""triangle-grid""><div class=""machine top-center blue""></div><div class=""machine bottom-left green""></div><div class=""machine bottom-right red-outline""></div></div></div></div>","null","","","","gambling_choice","training","3","null","null","null","null","null","null","arrowright","bottom-right","red","arrowright","bottom-right","red","0","0","0","0","0","0","false","true","","","","","",""
"html-keyboard-response","14","1535606","0.0-5.0-19.0-0.0","69d5525ec7afcfce08d8608b","69f10c5d5c1b9b3130e33fee","0.5","desktop","0","0","1","","","","","","luck_game","","null","
            <div id=""score-counter""></div>
            <div class=""experiment-container"">
                <div class=""center-zone"">
                    <p class=""feedback-text"" style=""margin: 0;"">Too late!</p>
                </div>
            </div>","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","15","1541620","0.0-5.0-21.0","69d5525ec7afcfce08d8608b","69f10c5d5c1b9b3130e33fee","0.5","desktop","0","0","1","","","","","","luck_game","","null","<div class=""experiment-container""><div class=""center-zone""><div class=""cross""></div><div class=""triangle-grid""><div class=""machine top-center blue-outline""></div><div class=""machine bottom-left green""></div><div class=""machine bottom-right red""></div></div></div></div>","null","","","","gambling_choice","training","4","null","null","null","null","null","null","arrowup","top-center","blue","arrowright","bottom-right","red","0","0","0","0","0","0","false","true","","","","","",""
"html-keyboard-response","16","1542636","0.0-5.0-25.0-0.0","69d5525ec7afcfce08d8608b","69f10c5d5c1b9b3130e33fee","0.5","desktop","0","0","1","","","","","","luck_game","","null","
            <div id=""score-counter""></div>
            <div class=""experiment-container"">
                <div class=""center-zone"">
                    <p class=""feedback-text"" style=""margin: 0;"">Too late!</p>
                </div>
            </div>","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"call-function","17","1542637","0.0-5.0-27.0","69d5525ec7afcfce08d8608b","69f10c5d5c1b9b3130e33fee","0.5","desktop","0","0","1","","","","","","luck_game","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","18","1589366","0.0-5.0-28.0","69d5525ec7afcfce08d8608b","69f10c5d5c1b9b3130e33fee","0.5","desktop","0","0","1","","","","","","luck_game","","46727","
            <div style=""max-width: 600px; margin: 0 auto; text-align: center; font-family: sans-serif;"">
                <h2 style=""color: white;"">Training Complete</h2>
                <p>You will now start the real game.</p>
                <br>
                <p><strong>Press Space to begin.</strong></p>
            </div>"," ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","19","1590602","0.0-5.0-29.0","69d5525ec7afcfce08d8608b","69f10c5d5c1b9b3130e33fee","0.5","desktop","0","0","1","","","","","","luck_game","","1235","<div id=""score-counter"">TOTAL SCORE: &pound;0.00</div><div class=""experiment-container""><div class=""center-zone""><div class=""cross""></div><div class=""triangle-grid""><div class=""machine top-center blue""></div><div class=""machine bottom-left green""></div><div class=""machine bottom-right red-outline""></div></div></div></div>","arrowup","","","","gambling_choice","1","1","arrowup","top-center","blue","null","null","null","arrowright","bottom-right","red","arrowup","top-center","blue","0","1","0.05","0","0.05","0","true","false","","","","","",""
"html-keyboard-response","20","1590705","0.0-5.0-30.0-0.0","69d5525ec7afcfce08d8608b","69f10c5d5c1b9b3130e33fee","0.5","desktop","0","0","1","","","","","","luck_game","","null","<div id=""score-counter"">TOTAL SCORE: &pound;0.00</div><div class=""experiment-container""><div class=""center-zone""><div class=""cross""></div><div class=""triangle-grid""><div class=""machine top-center blue""></div><div class=""machine bottom-left green""></div><div class=""machine bottom-right red-outline""></div></div></div></div>","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","21","1591210","0.0-5.0-31.0-0.0","69d5525ec7afcfce08d8608b","69f10c5d5c1b9b3130e33fee","0.5","desktop","0","0","1","","","","","","luck_game","","null","<div id=""score-counter"">TOTAL SCORE: &pound;0.00</div><div class=""experiment-container""><div class=""center-zone""><div class=""cross""></div></div></div>","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
