"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","device_type","blur_count","fullscreen_exit_count","failed_attention_checks","success","timeout","failed_images","failed_audio","failed_video","phase","value","rt","stimulus","response","view_history","question_order","trial_name","block_type","trial_num","set_size","correct_response","accuracy","mapping","condition","prompt","flipped","attention","expected_answer","category","question_index","task"
"pavlovia","0","1856","0.0-0.0","61563a4b0def9000ccc976ec","not_provided","desktop","0","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","3190","0.0-2.0","61563a4b0def9000ccc976ec","not_provided","desktop","0","0","1","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","2","14727","0.0-3.0-0.0","61563a4b0def9000ccc976ec","not_provided","desktop","0","0","1","","","","","","captcha","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","3","21797","0.0-4.0","61563a4b0def9000ccc976ec","not_provided","desktop","0","0","1","true","","","","","setup","","","","","","","","","","","","","","","","","","","","",""
"call-function","4","21797","0.0-5.0-0.0","61563a4b0def9000ccc976ec","not_provided","desktop","0","0","1","","","","","","working_memory","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","5","45562","0.0-5.0-1.0","61563a4b0def9000ccc976ec","not_provided","desktop","0","0","1","","","","","","working_memory","","23764","<div style=""text-align:center;font-family:sans-serif;""><p>Welcome to the luck game experiment!</p><p>This two-day experiment takes part in a study aimed at developing better clinical treatments.</p><p>We appreciate your participation and require your full concentration.</p><br><p>This is a two-day study. Payment (£6/hour) is only given upon completing both parts today and tomorrow.</p><p>You must finish the second part for compensation. After today, you'll receive an invitation for tomorrow's session.</p><p>Please ensure you can attend both sessions before proceeding. Otherwise, you may exit now.</p><p>If you have any questions, please contact us via prolific.</p><br><p>Please stay attentive and in fullscreen mode to ensure payment.</p><p>Thank you for participating!</p><br><p id=""continue-prompt"" style=""visibility:hidden;""><b>Press any key to continue.</b></p></div>","m","","","","","","","","","","","","","","","","",""
"instructions","6","110070","0.0-5.0-2.0-0.0","61563a4b0def9000ccc976ec","not_provided","desktop","0","0","1","","","","","","working_memory","","64508","","","[{""page_index"":0,""viewing_time"":3103},{""page_index"":1,""viewing_time"":1890},{""page_index"":2,""viewing_time"":9359},{""page_index"":3,""viewing_time"":3392},{""page_index"":4,""viewing_time"":12571},{""page_index"":5,""viewing_time"":19240},{""page_index"":6,""viewing_time"":6001},{""page_index"":7,""viewing_time"":3619},{""page_index"":8,""viewing_time"":5334}]","","","","","","","","","","","","","","","",""
"survey-multi-choice","7","166790","0.0-5.0-2.0-1.0","61563a4b0def9000ccc976ec","not_provided","desktop","0","0","1","","","","","","working_memory","","56718","","{""set_size"":""4 or 8"",""steps"":""True"",""choose_square"":""Press the 's' or 'k' key."",""remember"":""The colors and locations of the 'memory' squares"",""task"":""To tell if a square previously appeared in the location of the shown square""}","","[0,1,2,3,4]","test_squares_quiz","","","","","","","","","","","","","",""
"html-button-response","8","170274","0.0-5.0-2.0-2.0-0.0","61563a4b0def9000ccc976ec","not_provided","desktop","0","0","1","","","","","","working_memory","","3483","<p>Sorry, you made a mistake on the quiz.<br>Let's go back to the instructions &mdash; please read carefully before submitting again.<br>Thank you!</p>","0","","","","","","","","","","","","","","","","",""
"instructions","9","215009","0.0-5.0-2.1-0.1","61563a4b0def9000ccc976ec","not_provided","desktop","0","0","1","","","","","","working_memory","","44734","","","[{""page_index"":0,""viewing_time"":1968},{""page_index"":1,""viewing_time"":1087},{""page_index"":2,""viewing_time"":7975},{""page_index"":3,""viewing_time"":4437},{""page_index"":4,""viewing_time"":7877},{""page_index"":5,""viewing_time"":7076},{""page_index"":6,""viewing_time"":11126},{""page_index"":7,""viewing_time"":1360},{""page_index"":8,""viewing_time"":1829}]","","","","","","","","","","","","","","","",""
"survey-multi-choice","10","246759","0.0-5.0-2.1-1.1","61563a4b0def9000ccc976ec","not_provided","desktop","0","0","1","","","","","","working_memory","","31749","","{""set_size"":""4 or 8"",""steps"":""True"",""choose_square"":""Press the 's' or 'k' key."",""remember"":""The color and location of the single 'test' square"",""task"":""To tell if the 'test' square is in the same color as the square previously appearing in this location""}","","[0,1,2,3,4]","test_squares_quiz","","","","","","","","","","","","","",""
"html-button-response","11","249009","0.0-5.0-2.1-2.1-0.1","61563a4b0def9000ccc976ec","not_provided","desktop","0","0","1","","","","","","working_memory","","2249","<p>Sorry, you made a mistake on the quiz.<br>Let's go back to the instructions &mdash; please read carefully before submitting again.<br>Thank you!</p>","0","","","","","","","","","","","","","","","","",""
"instructions","12","281980","0.0-5.0-2.2-0.2","61563a4b0def9000ccc976ec","not_provided","desktop","0","0","1","","","","","","working_memory","","32971","","","[{""page_index"":0,""viewing_time"":1749},{""page_index"":1,""viewing_time"":6248},{""page_index"":2,""viewing_time"":3393},{""page_index"":3,""viewing_time"":1376},{""page_index"":4,""viewing_time"":5218},{""page_index"":5,""viewing_time"":4484},{""page_index"":6,""viewing_time"":5203},{""page_index"":7,""viewing_time"":3107},{""page_index"":8,""viewing_time"":2193}]","","","","","","","","","","","","","","","",""
"survey-multi-choice","13","362575","0.0-5.0-2.2-1.2","61563a4b0def9000ccc976ec","not_provided","desktop","0","0","1","","","","","","working_memory","","80593","","{""set_size"":""4 or 8"",""steps"":""True"",""choose_square"":""Press the 's' or 'k' key."",""remember"":""The colors and locations of the 'memory' squares"",""task"":""To tell if the 'test' square is in the same color as the square previously appearing in this location""}","","[0,1,2,3,4]","test_squares_quiz","","","","","","","","","","","","","",""
"html-keyboard-response","14","374811","0.0-5.0-3.0-0.0","61563a4b0def9000ccc976ec","not_provided","desktop","0","0","1","","","","","","working_memory","","12235","<p>We will now start some practice trials.<br><b>The practice trials will also include some trials in which you will need to remember only one square to make sure you understood the instructions.</b><br>You may already want to be ready with your fingers on '<b>s</b>' and '<b>k</b>'.<br><img class=""wm-example-img"" src=""images/examples/keyboard.png""><br><b style=""font-size:1.2em;"">&lsquo;S&rsquo; = SAME &nbsp;&nbsp;&nbsp; &lsquo;K&rsquo; = DIFFERENT</b><br><br><u>Please try to be as accurate as possible.</u><br><br><b>Press any key to begin</b></p>","s","","","","","","","","","","","","","","","","",""
"html-keyboard-response","15","376835","0.0-5.0-3.0-1.0-0.0","61563a4b0def9000ccc976ec","not_provided","desktop","0","0","1","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","16","377047","0.0-5.0-3.0-1.0-1.0","61563a4b0def9000ccc976ec","not_provided","desktop","0","0","1","","","","","","working_memory","","null","<img class='upper2' src=images/squares/yellow.png><div class=""fixation"">+</div>","null","","","memory","practice","0","1","","","","","","","","","","",""
"html-keyboard-response","17","377952","0.0-5.0-3.0-1.0-2.0","61563a4b0def9000ccc976ec","not_provided","desktop","0","0","1","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","18","379851","0.0-5.0-3.0-1.0-3.0","61563a4b0def9000ccc976ec","not_provided","desktop","0","0","1","","","","","","working_memory","","1898","<img class='upper2' src=images/squares/yellow.png><div class=""fixation"">+</div>","s","","","test","practice","0","1","s","true","","","","","","","","",""
"html-keyboard-response","19","380366","0.0-5.0-3.0-1.0-4.0","61563a4b0def9000ccc976ec","not_provided","desktop","0","0","1","","","","","","working_memory","","null","<div class=""fixation"">Correct</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","20","381382","0.0-5.0-3.0-1.0-0.1","61563a4b0def9000ccc976ec","not_provided","desktop","0","0","1","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","21","381586","0.0-5.0-3.0-1.0-1.1","61563a4b0def9000ccc976ec","not_provided","desktop","0","0","1","","","","","","working_memory","","null","<img class='b' src=images/squares/red.png><img class='a' src=images/squares/cyan.png><img class='e' src=images/squares/yellow.png><img class='f' src=images/squares/orange.png><img class='i' src=images/squares/green.png><img class='h' src=images/squares/black.png><img class='k' src=images/squares/blue.png><img class='j' src=images/squares/brown.png><div class=""fixation"">+</div>","null","","","memory","practice","1","8","","","","","","","","","","",""
"html-keyboard-response","22","382492","0.0-5.0-3.0-1.0-2.1","61563a4b0def9000ccc976ec","not_provided","desktop","0","0","1","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","23","383882","0.0-5.0-3.0-1.0-3.1","61563a4b0def9000ccc976ec","not_provided","desktop","0","0","1","","","","","","working_memory","","1390","<img class='i' src=images/squares/green.png><div class=""fixation"">+</div>","k","","","test","practice","1","8","s","false","","","","","","","","",""
"html-keyboard-response","24","384390","0.0-5.0-3.0-1.0-4.1","61563a4b0def9000ccc976ec","not_provided","desktop","0","0","1","","","","","","working_memory","","null","<div class=""fixation"">Incorrect</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","25","385405","0.0-5.0-3.0-1.0-0.2","61563a4b0def9000ccc976ec","not_provided","desktop","0","0","1","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","26","385617","0.0-5.0-3.0-1.0-1.2","61563a4b0def9000ccc976ec","not_provided","desktop","0","0","1","","","","","","working_memory","","null","<img class='lower3' src=images/squares/magenta.png><div class=""fixation"">+</div>","null","","","memory","practice","2","1","","","","","","","","","","",""
"html-keyboard-response","27","386532","0.0-5.0-3.0-1.0-2.2","61563a4b0def9000ccc976ec","not_provided","desktop","0","0","1","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","28","387238","0.0-5.0-3.0-1.0-3.2","61563a4b0def9000ccc976ec","not_provided","desktop","0","0","1","","","","","","working_memory","","706","<img class='lower3' src=images/squares/magenta.png><div class=""fixation"">+</div>","s","","","test","practice","2","1","s","true","","","","","","","","",""
"html-keyboard-response","29","387741","0.0-5.0-3.0-1.0-4.2","61563a4b0def9000ccc976ec","not_provided","desktop","0","0","1","","","","","","working_memory","","null","<div class=""fixation"">Correct</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","30","388757","0.0-5.0-3.0-1.0-0.3","61563a4b0def9000ccc976ec","not_provided","desktop","0","0","1","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","31","388960","0.0-5.0-3.0-1.0-1.3","61563a4b0def9000ccc976ec","not_provided","desktop","0","0","1","","","","","","working_memory","","null","<img class='c' src=images/squares/green.png><img class='b' src=images/squares/red.png><img class='f' src=images/squares/brown.png><img class='d' src=images/squares/orange.png><img class='i' src=images/squares/magenta.png><img class='g' src=images/squares/cyan.png><img class='j' src=images/squares/black.png><img class='l' src=images/squares/blue.png><div class=""fixation"">+</div>","null","","","memory","practice","3","8","","","","","","","","","","",""
"html-keyboard-response","32","389866","0.0-5.0-3.0-1.0-2.3","61563a4b0def9000ccc976ec","not_provided","desktop","0","0","1","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","33","391062","0.0-5.0-3.0-1.0-3.3","61563a4b0def9000ccc976ec","not_provided","desktop","0","0","1","","","","","","working_memory","","1196","<img class='d' src=images/squares/orange.png><div class=""fixation"">+</div>","k","","","test","practice","3","8","s","false","","","","","","","","",""
"html-keyboard-response","34","391569","0.0-5.0-3.0-1.0-4.3","61563a4b0def9000ccc976ec","not_provided","desktop","0","0","1","","","","","","working_memory","","null","<div class=""fixation"">Incorrect</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","35","392585","0.0-5.0-3.0-1.0-0.4","61563a4b0def9000ccc976ec","not_provided","desktop","0","0","1","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","36","392788","0.0-5.0-3.0-1.0-1.4","61563a4b0def9000ccc976ec","not_provided","desktop","0","0","1","","","","","","working_memory","","null","<img class='b' src=images/squares/blue.png><img class='f' src=images/squares/green.png><img class='i' src=images/squares/yellow.png><img class='l' src=images/squares/magenta.png><div class=""fixation"">+</div>","null","","","memory","practice","4","4","","","","","","","","","","",""
"html-keyboard-response","37","393695","0.0-5.0-3.0-1.0-2.4","61563a4b0def9000ccc976ec","not_provided","desktop","0","0","1","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","38","395734","0.0-5.0-3.0-1.0-3.4","61563a4b0def9000ccc976ec","not_provided","desktop","0","0","1","","","","","","working_memory","","2039","<img class='i' src=images/squares/cyan.png><div class=""fixation"">+</div>","k","","","test","practice","4","4","k","true","","","","","","","","",""
"html-keyboard-response","39","396241","0.0-5.0-3.0-1.0-4.4","61563a4b0def9000ccc976ec","not_provided","desktop","0","0","1","","","","","","working_memory","","null","<div class=""fixation"">Correct</div>","null","","","","","","","","","","","","","","","","",""
