"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","device_type","blur_count","fullscreen_exit_count","failed_attention_checks","success","timeout","failed_images","failed_audio","failed_video","phase","value","rt","stimulus","response","view_history","question_order","trial_name","block_type","trial_num","set_size","correct_response","accuracy","mapping","condition","prompt","flipped","attention","expected_answer","category","question_index","task"
"pavlovia","0","2158","0.0-0.0","667bd577710d52a05ac09036","not_provided","desktop","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","3471","0.0-2.0","667bd577710d52a05ac09036","not_provided","desktop","0","0","0","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","2","53255","0.0-3.0-0.0","667bd577710d52a05ac09036","not_provided","desktop","0","0","0","","","","","","captcha","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","3","61596","0.0-4.0","667bd577710d52a05ac09036","not_provided","desktop","0","0","0","true","","","","","setup","","","","","","","","","","","","","","","","","","","","",""
"call-function","4","61598","0.0-5.0-0.0","667bd577710d52a05ac09036","not_provided","desktop","0","0","0","","","","","","working_memory","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","5","128983","0.0-5.0-1.0","667bd577710d52a05ac09036","not_provided","desktop","0","0","0","","","","","","working_memory","","67383","<div style=""text-align:center;font-family:sans-serif;""><p>Welcome to the luck game experiment!</p><p>This two-day experiment takes part in a study aimed at developing better clinical treatments.</p><p>We appreciate your participation and require your full concentration.</p><br><p>This is a two-day study. Payment (£6/hour) is only given upon completing both parts today and tomorrow.</p><p>You must finish the second part for compensation. After today, you'll receive an invitation for tomorrow's session.</p><p>Please ensure you can attend both sessions before proceeding. Otherwise, you may exit now.</p><p>If you have any questions, please contact us via prolific.</p><br><p>Please stay attentive and in fullscreen mode to ensure payment.</p><p>Thank you for participating!</p><br><p id=""continue-prompt"" style=""visibility:hidden;""><b>Press any key to continue.</b></p></div>","j","","","","","","","","","","","","","","","","",""
"instructions","6","475590","0.0-5.0-2.0-0.0","667bd577710d52a05ac09036","not_provided","desktop","0","0","0","","","","","","working_memory","","346605","","","[{""page_index"":0,""viewing_time"":2277},{""page_index"":1,""viewing_time"":4331},{""page_index"":2,""viewing_time"":33690},{""page_index"":3,""viewing_time"":20265},{""page_index"":4,""viewing_time"":14280},{""page_index"":5,""viewing_time"":5107},{""page_index"":6,""viewing_time"":258454},{""page_index"":7,""viewing_time"":6145},{""page_index"":8,""viewing_time"":2057}]","","","","","","","","","","","","","","","",""
"survey-multi-choice","7","532377","0.0-5.0-2.0-1.0","667bd577710d52a05ac09036","not_provided","desktop","0","0","0","","","","","","working_memory","","56783","","{""set_size"":""4 or 8"",""steps"":""True"",""choose_square"":""Press the 'k' or 's' key."",""remember"":""The colors and locations of the 'memory' squares"",""task"":""To tell if the 'test' square is in the same color as the square previously appearing in this location""}","","[0,1,2,3,4]","test_squares_quiz","","","","","","","","","","","","","",""
"html-keyboard-response","8","539745","0.0-5.0-3.0-0.0","667bd577710d52a05ac09036","not_provided","desktop","0","0","0","","","","","","working_memory","","7366","<p>We will now start some practice trials.<br><b>The practice trials will also include some trials in which you will need to remember only one square to make sure you understood the instructions.</b><br>You may already want to be ready with your fingers on '<b>s</b>' and '<b>k</b>'.<br><img class=""wm-example-img"" src=""images/examples/keyboard.png""><br><b style=""font-size:1.2em;"">&lsquo;K&rsquo; = SAME &nbsp;&nbsp;&nbsp; &lsquo;S&rsquo; = DIFFERENT</b><br><br><u>Please try to be as accurate as possible.</u><br><br><b>Press any key to begin</b></p>","g","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","541751","0.0-5.0-3.0-1.0-0.0","667bd577710d52a05ac09036","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","10","541976","0.0-5.0-3.0-1.0-1.0","667bd577710d52a05ac09036","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<img class='upper1' src=images/squares/magenta.png><div class=""fixation"">+</div>","null","","","memory","practice","0","1","","","","","","","","","","",""
"html-keyboard-response","11","542890","0.0-5.0-3.0-1.0-2.0","667bd577710d52a05ac09036","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","12","544433","0.0-5.0-3.0-1.0-3.0","667bd577710d52a05ac09036","not_provided","desktop","0","0","0","","","","","","working_memory","","1540","<img class='upper1' src=images/squares/magenta.png><div class=""fixation"">+</div>","k","","","test","practice","0","1","k","true","","","","","","","","",""
"html-keyboard-response","13","544952","0.0-5.0-3.0-1.0-4.0","667bd577710d52a05ac09036","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">Correct</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","14","545979","0.0-5.0-3.0-1.0-0.1","667bd577710d52a05ac09036","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","15","546195","0.0-5.0-3.0-1.0-1.1","667bd577710d52a05ac09036","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<img class='upper1' src=images/squares/brown.png><div class=""fixation"">+</div>","null","","","memory","practice","1","1","","","","","","","","","","",""
"html-keyboard-response","16","547112","0.0-5.0-3.0-1.0-2.1","667bd577710d52a05ac09036","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","17","547899","0.0-5.0-3.0-1.0-3.1","667bd577710d52a05ac09036","not_provided","desktop","0","0","0","","","","","","working_memory","","786","<img class='upper1' src=images/squares/brown.png><div class=""fixation"">+</div>","k","","","test","practice","1","1","k","true","","","","","","","","",""
"html-keyboard-response","18","548414","0.0-5.0-3.0-1.0-4.1","667bd577710d52a05ac09036","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">Correct</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","19","549430","0.0-5.0-3.0-1.0-0.2","667bd577710d52a05ac09036","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","20","549642","0.0-5.0-3.0-1.0-1.2","667bd577710d52a05ac09036","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<img class='b' src=images/squares/black.png><img class='d' src=images/squares/green.png><img class='i' src=images/squares/brown.png><img class='j' src=images/squares/blue.png><div class=""fixation"">+</div>","null","","","memory","practice","2","4","","","","","","","","","","",""
"html-keyboard-response","21","550549","0.0-5.0-3.0-1.0-2.2","667bd577710d52a05ac09036","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","22","551577","0.0-5.0-3.0-1.0-3.2","667bd577710d52a05ac09036","not_provided","desktop","0","0","0","","","","","","working_memory","","1027","<img class='b' src=images/squares/cyan.png><div class=""fixation"">+</div>","s","","","test","practice","2","4","s","true","","","","","","","","",""
"html-keyboard-response","23","552089","0.0-5.0-3.0-1.0-4.2","667bd577710d52a05ac09036","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">Correct</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","24","553091","0.0-5.0-3.0-1.0-0.3","667bd577710d52a05ac09036","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
