"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","device_type","blur_count","fullscreen_exit_count","failed_attention_checks","success","timeout","failed_images","failed_audio","failed_video","phase","value","rt","stimulus","response","view_history","question_order","trial_name","block_type","trial_num","set_size","correct_response","accuracy","mapping","condition","prompt","flipped","attention","expected_answer","category","question_index","task"
"pavlovia","0","706","0.0-0.0","69318afe3bbdec5adc573ab3","not_provided","desktop","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","787","0.0-2.0","69318afe3bbdec5adc573ab3","not_provided","desktop","0","0","0","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","2","12358","0.0-3.0-0.0","69318afe3bbdec5adc573ab3","not_provided","desktop","0","0","0","","","","","","captcha","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","3","156846","0.0-4.0","69318afe3bbdec5adc573ab3","not_provided","desktop","0","0","0","true","","","","","setup","","","","","","","","","","","","","","","","","","","","",""
"call-function","4","156847","0.0-5.0-0.0","69318afe3bbdec5adc573ab3","not_provided","desktop","0","0","0","","","","","","working_memory","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","5","179385","0.0-5.0-1.0","69318afe3bbdec5adc573ab3","not_provided","desktop","0","0","0","","","","","","working_memory","","22537","<div style=""text-align:center;font-family:sans-serif;""><p>Welcome to the luck game experiment!</p><p>This two-day experiment takes part in a study aimed at developing better clinical treatments.</p><p>We appreciate your participation and require your full concentration.</p><br><p>This is a two-day study. Payment (£6/hour) is only given upon completing both parts today and tomorrow.</p><p>You must finish the second part for compensation. After today, you'll receive an invitation for tomorrow's session.</p><p>Please ensure you can attend both sessions before proceeding. Otherwise, you may exit now.</p><p>If you have any questions, please contact us via prolific.</p><br><p>Please stay attentive and in fullscreen mode to ensure payment.</p><p>Thank you for participating!</p><br><p id=""continue-prompt"" style=""visibility:hidden;""><b>Press any key to continue.</b></p></div>","enter","","","","","","","","","","","","","","","","",""
"instructions","6","417126","0.0-5.0-2.0-0.0","69318afe3bbdec5adc573ab3","not_provided","desktop","2","1","0","","","","","","working_memory","","237740","","","[{""page_index"":0,""viewing_time"":3476},{""page_index"":1,""viewing_time"":1624},{""page_index"":2,""viewing_time"":9120},{""page_index"":3,""viewing_time"":7161},{""page_index"":4,""viewing_time"":29327},{""page_index"":5,""viewing_time"":16265},{""page_index"":4,""viewing_time"":287},{""page_index"":3,""viewing_time"":1744},{""page_index"":4,""viewing_time"":1856},{""page_index"":5,""viewing_time"":5480},{""page_index"":4,""viewing_time"":29736},{""page_index"":5,""viewing_time"":53329},{""page_index"":6,""viewing_time"":11288},{""page_index"":5,""viewing_time"":1688},{""page_index"":6,""viewing_time"":8064},{""page_index"":5,""viewing_time"":744},{""page_index"":6,""viewing_time"":10168},{""page_index"":7,""viewing_time"":6576},{""page_index"":8,""viewing_time"":8680},{""page_index"":7,""viewing_time"":832},{""page_index"":6,""viewing_time"":27360},{""page_index"":7,""viewing_time"":1080},{""page_index"":8,""viewing_time"":1856}]","","","","","","","","","","","","","","","",""
"survey-multi-choice","7","459682","0.0-5.0-2.0-1.0","69318afe3bbdec5adc573ab3","not_provided","desktop","2","1","0","","","","","","working_memory","","42377","","{""set_size"":""4 or 8"",""steps"":""True"",""choose_square"":""Press the 's' or 'k' key."",""remember"":""The colors and locations of the 'memory' squares"",""task"":""To tell if the 'test' square is in the same color as the square previously appearing in this location""}","","[0,1,2,3,4]","test_squares_quiz","","","","","","","","","","","","","",""
"html-keyboard-response","8","478078","0.0-5.0-3.0-0.0","69318afe3bbdec5adc573ab3","not_provided","desktop","2","1","0","","","","","","working_memory","","17890","<p>We will now start some practice trials.<br><b>The practice trials will also include some trials in which you will need to remember only one square to make sure you understood the instructions.</b><br>You may already want to be ready with your fingers on '<b>s</b>' and '<b>k</b>'.<br><img class=""wm-example-img"" src=""images/examples/keyboard.png""><br><b style=""font-size:1.2em;"">&lsquo;S&rsquo; = SAME &nbsp;&nbsp;&nbsp; &lsquo;K&rsquo; = DIFFERENT</b><br><br><u>Please try to be as accurate as possible.</u><br><br><b>Press any key to begin</b></p>","enter","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","480101","0.0-5.0-3.0-1.0-0.0","69318afe3bbdec5adc573ab3","not_provided","desktop","2","1","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","10","480365","0.0-5.0-3.0-1.0-1.0","69318afe3bbdec5adc573ab3","not_provided","desktop","2","1","0","","","","","","working_memory","","null","<img class='lower2' src=images/squares/black.png><div class=""fixation"">+</div>","null","","","memory","practice","0","1","","","","","","","","","","",""
"html-keyboard-response","11","481270","0.0-5.0-3.0-1.0-2.0","69318afe3bbdec5adc573ab3","not_provided","desktop","2","1","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","12","487281","0.0-5.0-3.0-1.0-3.0","69318afe3bbdec5adc573ab3","not_provided","desktop","2","1","0","","","","","","working_memory","","null","<img class='lower2' src=images/squares/red.png><div class=""fixation"">+</div>","null","","","test","practice","0","1","k","null","","","","","","","","",""
"html-keyboard-response","13","487790","0.0-5.0-3.0-1.0-4.0","69318afe3bbdec5adc573ab3","not_provided","desktop","2","1","0","","","","","","working_memory","","null","<div class=""fixation"">Please respond faster</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","14","488798","0.0-5.0-3.0-1.0-0.1","69318afe3bbdec5adc573ab3","not_provided","desktop","2","1","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","15","489014","0.0-5.0-3.0-1.0-1.1","69318afe3bbdec5adc573ab3","not_provided","desktop","2","1","0","","","","","","working_memory","","null","<img class='a' src=images/squares/blue.png><img class='b' src=images/squares/yellow.png><img class='f' src=images/squares/red.png><img class='e' src=images/squares/cyan.png><img class='h' src=images/squares/brown.png><img class='g' src=images/squares/magenta.png><img class='j' src=images/squares/black.png><img class='k' src=images/squares/orange.png><div class=""fixation"">+</div>","null","","","memory","practice","1","8","","","","","","","","","","",""
"html-keyboard-response","16","489919","0.0-5.0-3.0-1.0-2.1","69318afe3bbdec5adc573ab3","not_provided","desktop","2","1","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","17","491854","0.0-5.0-3.0-1.0-3.1","69318afe3bbdec5adc573ab3","not_provided","desktop","2","1","0","","","","","","working_memory","","1934","<img class='h' src=images/squares/green.png><div class=""fixation"">+</div>","s","","","test","practice","1","8","k","false","","","","","","","","",""
"html-keyboard-response","18","492361","0.0-5.0-3.0-1.0-4.1","69318afe3bbdec5adc573ab3","not_provided","desktop","2","1","0","","","","","","working_memory","","null","<div class=""fixation"">Incorrect</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","19","493377","0.0-5.0-3.0-1.0-0.2","69318afe3bbdec5adc573ab3","not_provided","desktop","2","1","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","20","493580","0.0-5.0-3.0-1.0-1.2","69318afe3bbdec5adc573ab3","not_provided","desktop","2","1","0","","","","","","working_memory","","null","<img class='b' src=images/squares/brown.png><img class='e' src=images/squares/yellow.png><img class='h' src=images/squares/orange.png><img class='l' src=images/squares/black.png><div class=""fixation"">+</div>","null","","","memory","practice","2","4","","","","","","","","","","",""
"html-keyboard-response","21","494484","0.0-5.0-3.0-1.0-2.2","69318afe3bbdec5adc573ab3","not_provided","desktop","2","1","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","22","495597","0.0-5.0-3.0-1.0-3.2","69318afe3bbdec5adc573ab3","not_provided","desktop","2","1","0","","","","","","working_memory","","1113","<img class='h' src=images/squares/orange.png><div class=""fixation"">+</div>","s","","","test","practice","2","4","s","true","","","","","","","","",""
"html-keyboard-response","23","496106","0.0-5.0-3.0-1.0-4.2","69318afe3bbdec5adc573ab3","not_provided","desktop","2","1","0","","","","","","working_memory","","null","<div class=""fixation"">Correct</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","24","497119","0.0-5.0-3.0-1.0-0.3","69318afe3bbdec5adc573ab3","not_provided","desktop","2","1","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","25","497323","0.0-5.0-3.0-1.0-1.3","69318afe3bbdec5adc573ab3","not_provided","desktop","2","1","0","","","","","","working_memory","","null","<img class='b' src=images/squares/cyan.png><img class='c' src=images/squares/yellow.png><img class='e' src=images/squares/blue.png><img class='f' src=images/squares/magenta.png><img class='g' src=images/squares/red.png><img class='i' src=images/squares/green.png><img class='k' src=images/squares/orange.png><img class='j' src=images/squares/black.png><div class=""fixation"">+</div>","null","","","memory","practice","3","8","","","","","","","","","","",""
"html-keyboard-response","26","498225","0.0-5.0-3.0-1.0-2.3","69318afe3bbdec5adc573ab3","not_provided","desktop","2","1","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","27","499165","0.0-5.0-3.0-1.0-3.3","69318afe3bbdec5adc573ab3","not_provided","desktop","2","1","0","","","","","","working_memory","","939","<img class='j' src=images/squares/black.png><div class=""fixation"">+</div>","s","","","test","practice","3","8","s","true","","","","","","","","",""
"html-keyboard-response","28","499676","0.0-5.0-3.0-1.0-4.3","69318afe3bbdec5adc573ab3","not_provided","desktop","2","1","0","","","","","","working_memory","","null","<div class=""fixation"">Correct</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","29","500688","0.0-5.0-3.0-1.0-0.4","69318afe3bbdec5adc573ab3","not_provided","desktop","2","1","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","30","500904","0.0-5.0-3.0-1.0-1.4","69318afe3bbdec5adc573ab3","not_provided","desktop","2","1","0","","","","","","working_memory","","null","<img class='a' src=images/squares/cyan.png><img class='f' src=images/squares/brown.png><img class='i' src=images/squares/green.png><img class='k' src=images/squares/red.png><div class=""fixation"">+</div>","null","","","memory","practice","4","4","","","","","","","","","","",""
"html-keyboard-response","31","501809","0.0-5.0-3.0-1.0-2.4","69318afe3bbdec5adc573ab3","not_provided","desktop","2","1","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","32","502614","0.0-5.0-3.0-1.0-3.4","69318afe3bbdec5adc573ab3","not_provided","desktop","2","1","0","","","","","","working_memory","","805","<img class='k' src=images/squares/red.png><div class=""fixation"">+</div>","s","","","test","practice","4","4","s","true","","","","","","","","",""
"html-keyboard-response","33","503119","0.0-5.0-3.0-1.0-4.4","69318afe3bbdec5adc573ab3","not_provided","desktop","2","1","0","","","","","","working_memory","","null","<div class=""fixation"">Correct</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","34","504130","0.0-5.0-3.0-1.0-0.5","69318afe3bbdec5adc573ab3","not_provided","desktop","2","1","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","35","504332","0.0-5.0-3.0-1.0-1.5","69318afe3bbdec5adc573ab3","not_provided","desktop","2","1","0","","","","","","working_memory","","null","<img class='a' src=images/squares/yellow.png><img class='b' src=images/squares/brown.png><img class='d' src=images/squares/magenta.png><img class='e' src=images/squares/orange.png><img class='h' src=images/squares/cyan.png><img class='g' src=images/squares/red.png><img class='l' src=images/squares/blue.png><img class='k' src=images/squares/black.png><div class=""fixation"">+</div>","null","","","memory","practice","5","8","","","","","","","","","","",""
"html-keyboard-response","36","505238","0.0-5.0-3.0-1.0-2.5","69318afe3bbdec5adc573ab3","not_provided","desktop","2","1","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","37","506261","0.0-5.0-3.0-1.0-3.5","69318afe3bbdec5adc573ab3","not_provided","desktop","2","1","0","","","","","","working_memory","","1022","<img class='l' src=images/squares/green.png><div class=""fixation"">+</div>","k","","","test","practice","5","8","k","true","","","","","","","","",""
"html-keyboard-response","38","506765","0.0-5.0-3.0-1.0-4.5","69318afe3bbdec5adc573ab3","not_provided","desktop","2","1","0","","","","","","working_memory","","null","<div class=""fixation"">Correct</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","39","507779","0.0-5.0-3.0-1.0-0.6","69318afe3bbdec5adc573ab3","not_provided","desktop","2","1","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","40","507995","0.0-5.0-3.0-1.0-1.6","69318afe3bbdec5adc573ab3","not_provided","desktop","2","1","0","","","","","","working_memory","","null","<img class='lower1' src=images/squares/red.png><div class=""fixation"">+</div>","null","","","memory","practice","6","1","","","","","","","","","","",""
"html-keyboard-response","41","508901","0.0-5.0-3.0-1.0-2.6","69318afe3bbdec5adc573ab3","not_provided","desktop","2","1","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","42","509773","0.0-5.0-3.0-1.0-3.6","69318afe3bbdec5adc573ab3","not_provided","desktop","2","1","0","","","","","","working_memory","","871","<img class='lower1' src=images/squares/red.png><div class=""fixation"">+</div>","s","","","test","practice","6","1","s","true","","","","","","","","",""
"html-keyboard-response","43","510274","0.0-5.0-3.0-1.0-4.6","69318afe3bbdec5adc573ab3","not_provided","desktop","2","1","0","","","","","","working_memory","","null","<div class=""fixation"">Correct</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","44","511287","0.0-5.0-3.0-1.0-0.7","69318afe3bbdec5adc573ab3","not_provided","desktop","2","1","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","45","511492","0.0-5.0-3.0-1.0-1.7","69318afe3bbdec5adc573ab3","not_provided","desktop","2","1","0","","","","","","working_memory","","null","<img class='a' src=images/squares/magenta.png><img class='f' src=images/squares/green.png><img class='h' src=images/squares/brown.png><img class='l' src=images/squares/red.png><div class=""fixation"">+</div>","null","","","memory","practice","7","4","","","","","","","","","","",""
"html-keyboard-response","46","512399","0.0-5.0-3.0-1.0-2.7","69318afe3bbdec5adc573ab3","not_provided","desktop","2","1","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","47","513198","0.0-5.0-3.0-1.0-3.7","69318afe3bbdec5adc573ab3","not_provided","desktop","2","1","0","","","","","","working_memory","","798","<img class='l' src=images/squares/red.png><div class=""fixation"">+</div>","s","","","test","practice","7","4","s","true","","","","","","","","",""
"html-keyboard-response","48","513703","0.0-5.0-3.0-1.0-4.7","69318afe3bbdec5adc573ab3","not_provided","desktop","2","1","0","","","","","","working_memory","","null","<div class=""fixation"">Correct</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","49","514708","0.0-5.0-3.0-1.0-0.8","69318afe3bbdec5adc573ab3","not_provided","desktop","2","1","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","50","514912","0.0-5.0-3.0-1.0-1.8","69318afe3bbdec5adc573ab3","not_provided","desktop","2","1","0","","","","","","working_memory","","null","<img class='upper1' src=images/squares/magenta.png><div class=""fixation"">+</div>","null","","","memory","practice","8","1","","","","","","","","","","",""
"html-keyboard-response","51","515820","0.0-5.0-3.0-1.0-2.8","69318afe3bbdec5adc573ab3","not_provided","desktop","2","1","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","52","516773","0.0-5.0-3.0-1.0-3.8","69318afe3bbdec5adc573ab3","not_provided","desktop","2","1","0","","","","","","working_memory","","953","<img class='upper1' src=images/squares/magenta.png><div class=""fixation"">+</div>","s","","","test","practice","8","1","s","true","","","","","","","","",""
"html-keyboard-response","53","517283","0.0-5.0-3.0-1.0-4.8","69318afe3bbdec5adc573ab3","not_provided","desktop","2","1","0","","","","","","working_memory","","null","<div class=""fixation"">Correct</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","54","518298","0.0-5.0-3.0-1.0-0.9","69318afe3bbdec5adc573ab3","not_provided","desktop","2","1","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
