"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","device_type","blur_count","fullscreen_exit_count","failed_attention_checks","success","timeout","failed_images","failed_audio","failed_video","phase","value","rt","stimulus","response","view_history","question_order","trial_name","block_type","trial_num","set_size","correct_response","accuracy","mapping","condition","prompt","flipped","attention","expected_answer","category","question_index","task"
"pavlovia","0","1772","0.0-0.0","6980792fded33a62e27ce7cc","not_provided","desktop","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","2296","0.0-2.0","6980792fded33a62e27ce7cc","not_provided","desktop","0","0","0","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","2","7418","0.0-3.0-0.0","6980792fded33a62e27ce7cc","not_provided","desktop","0","0","0","","","","","","captcha","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","3","11449","0.0-4.0","6980792fded33a62e27ce7cc","not_provided","desktop","0","0","0","true","","","","","setup","","","","","","","","","","","","","","","","","","","","",""
"call-function","4","11450","0.0-5.0-0.0","6980792fded33a62e27ce7cc","not_provided","desktop","0","0","0","","","","","","working_memory","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","5","21899","0.0-5.0-1.0","6980792fded33a62e27ce7cc","not_provided","desktop","0","0","0","","","","","","working_memory","","10449","<div style=""text-align:center;font-family:sans-serif;""><p>Welcome to the luck game experiment!</p><p>This two-day experiment takes part in a study aimed at developing better clinical treatments.</p><p>We appreciate your participation and require your full concentration.</p><br><p>This is a two-day study. Payment (£6/hour) is only given upon completing both parts today and tomorrow.</p><p>You must finish the second part for compensation. After today, you'll receive an invitation for tomorrow's session.</p><p>Please ensure you can attend both sessions before proceeding. Otherwise, you may exit now.</p><p>If you have any questions, please contact us via prolific.</p><br><p>Please stay attentive and in fullscreen mode to ensure payment.</p><p>Thank you for participating!</p><br><p id=""continue-prompt"" style=""visibility:hidden;""><b>Press any key to continue.</b></p></div>","enter","","","","","","","","","","","","","","","","",""
"instructions","6","57199","0.0-5.0-2.0-0.0","6980792fded33a62e27ce7cc","not_provided","desktop","0","0","0","","","","","","working_memory","","35299","","","[{""page_index"":0,""viewing_time"":2786},{""page_index"":1,""viewing_time"":1440},{""page_index"":2,""viewing_time"":4512},{""page_index"":3,""viewing_time"":4234},{""page_index"":4,""viewing_time"":4153},{""page_index"":5,""viewing_time"":9483},{""page_index"":6,""viewing_time"":4796},{""page_index"":7,""viewing_time"":1933},{""page_index"":8,""viewing_time"":1961}]","","","","","","","","","","","","","","","",""
"survey-multi-choice","7","82384","0.0-5.0-2.0-1.0","6980792fded33a62e27ce7cc","not_provided","desktop","0","0","0","","","","","","working_memory","","25184","","{""set_size"":""4 or 8"",""steps"":""True"",""choose_square"":""Press the 'k' or 's' key."",""remember"":""The colors and locations of the 'memory' squares"",""task"":""To tell if the 'test' square is in the same color as the square previously appearing in this location""}","","[0,1,2,3,4]","test_squares_quiz","","","","","","","","","","","","","",""
"html-keyboard-response","8","90408","0.0-5.0-3.0-0.0","6980792fded33a62e27ce7cc","not_provided","desktop","0","0","0","","","","","","working_memory","","8024","<p>We will now start some practice trials.<br><b>The practice trials will also include some trials in which you will need to remember only one square to make sure you understood the instructions.</b><br>You may already want to be ready with your fingers on '<b>s</b>' and '<b>k</b>'.<br><img class=""wm-example-img"" src=""images/examples/keyboard.png""><br><b style=""font-size:1.2em;"">&lsquo;K&rsquo; = SAME &nbsp;&nbsp;&nbsp; &lsquo;S&rsquo; = DIFFERENT</b><br><br><u>Please try to be as accurate as possible.</u><br><br><b>Press any key to begin</b></p>","k","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","92437","0.0-5.0-3.0-1.0-0.0","6980792fded33a62e27ce7cc","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","10","92641","0.0-5.0-3.0-1.0-1.0","6980792fded33a62e27ce7cc","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<img class='upper2' src=images/squares/blue.png><div class=""fixation"">+</div>","null","","","memory","practice","0","1","","","","","","","","","","",""
"html-keyboard-response","11","93545","0.0-5.0-3.0-1.0-2.0","6980792fded33a62e27ce7cc","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","12","96036","0.0-5.0-3.0-1.0-3.0","6980792fded33a62e27ce7cc","not_provided","desktop","0","0","0","","","","","","working_memory","","2491","<img class='upper2' src=images/squares/orange.png><div class=""fixation"">+</div>","s","","","test","practice","0","1","s","true","","","","","","","","",""
"html-keyboard-response","13","96540","0.0-5.0-3.0-1.0-4.0","6980792fded33a62e27ce7cc","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">Correct</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","14","97554","0.0-5.0-3.0-1.0-0.1","6980792fded33a62e27ce7cc","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","15","97756","0.0-5.0-3.0-1.0-1.1","6980792fded33a62e27ce7cc","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<img class='b' src=images/squares/magenta.png><img class='c' src=images/squares/brown.png><img class='d' src=images/squares/cyan.png><img class='f' src=images/squares/yellow.png><img class='h' src=images/squares/blue.png><img class='i' src=images/squares/red.png><img class='k' src=images/squares/green.png><img class='l' src=images/squares/orange.png><div class=""fixation"">+</div>","null","","","memory","practice","1","8","","","","","","","","","","",""
"html-keyboard-response","16","98663","0.0-5.0-3.0-1.0-2.1","6980792fded33a62e27ce7cc","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","17","99887","0.0-5.0-3.0-1.0-3.1","6980792fded33a62e27ce7cc","not_provided","desktop","0","0","0","","","","","","working_memory","","1225","<img class='d' src=images/squares/cyan.png><div class=""fixation"">+</div>","k","","","test","practice","1","8","k","true","","","","","","","","",""
