"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","device_type","blur_count","fullscreen_exit_count","failed_attention_checks","success","timeout","failed_images","failed_audio","failed_video","phase","value","rt","stimulus","response","view_history","question_order","trial_name","block_type","trial_num","set_size","correct_response","accuracy","mapping","condition","prompt","flipped","attention","expected_answer","category","question_index","task"
"pavlovia","0","44705","0.0-0.0","69807d4738a6a1d1a2774e67","not_provided","desktop","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","44765","0.0-2.0","69807d4738a6a1d1a2774e67","not_provided","desktop","0","0","0","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","2","75281","0.0-3.0-0.0","69807d4738a6a1d1a2774e67","not_provided","desktop","0","0","0","","","","","","captcha","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","3","82841","0.0-4.0","69807d4738a6a1d1a2774e67","not_provided","desktop","0","0","0","true","","","","","setup","","","","","","","","","","","","","","","","","","","","",""
"call-function","4","82844","0.0-5.0-0.0","69807d4738a6a1d1a2774e67","not_provided","desktop","0","0","0","","","","","","working_memory","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","5","105925","0.0-5.0-1.0","69807d4738a6a1d1a2774e67","not_provided","desktop","0","0","0","","","","","","working_memory","","23078","<div style=""text-align:center;font-family:sans-serif;""><p>Welcome to the luck game experiment!</p><p>This two-day experiment takes part in a study aimed at developing better clinical treatments.</p><p>We appreciate your participation and require your full concentration.</p><br><p>This is a two-day study. Payment (£6/hour) is only given upon completing both parts today and tomorrow.</p><p>You must finish the second part for compensation. After today, you'll receive an invitation for tomorrow's session.</p><p>Please ensure you can attend both sessions before proceeding. Otherwise, you may exit now.</p><p>If you have any questions, please contact us via prolific.</p><br><p>Please stay attentive and in fullscreen mode to ensure payment.</p><p>Thank you for participating!</p><br><p id=""continue-prompt"" style=""visibility:hidden;""><b>Press any key to continue.</b></p></div>","g","","","","","","","","","","","","","","","","",""
"instructions","6","160204","0.0-5.0-2.0-0.0","69807d4738a6a1d1a2774e67","not_provided","desktop","0","0","0","","","","","","working_memory","","54276","","","[{""page_index"":0,""viewing_time"":1836},{""page_index"":1,""viewing_time"":1648},{""page_index"":2,""viewing_time"":8153},{""page_index"":3,""viewing_time"":3109},{""page_index"":4,""viewing_time"":6585},{""page_index"":5,""viewing_time"":7409},{""page_index"":6,""viewing_time"":7864},{""page_index"":5,""viewing_time"":1095},{""page_index"":6,""viewing_time"":7633},{""page_index"":7,""viewing_time"":2615},{""page_index"":8,""viewing_time"":6328}]","","","","","","","","","","","","","","","",""
"survey-multi-choice","7","195358","0.0-5.0-2.0-1.0","69807d4738a6a1d1a2774e67","not_provided","desktop","0","0","0","","","","","","working_memory","","35143","","{""set_size"":""4 or 8"",""steps"":""True"",""choose_square"":""Press the 'k' or 's' key."",""remember"":""The colors and locations of the 'memory' squares"",""task"":""To tell if the 'test' square is in the same color as the square previously appearing in this location""}","","[0,1,2,3,4]","test_squares_quiz","","","","","","","","","","","","","",""
"html-keyboard-response","8","221398","0.0-5.0-3.0-0.0","69807d4738a6a1d1a2774e67","not_provided","desktop","0","0","0","","","","","","working_memory","","26036","<p>We will now start some practice trials.<br><b>The practice trials will also include some trials in which you will need to remember only one square to make sure you understood the instructions.</b><br>You may already want to be ready with your fingers on '<b>s</b>' and '<b>k</b>'.<br><img class=""wm-example-img"" src=""images/examples/keyboard.png""><br><b style=""font-size:1.2em;"">&lsquo;K&rsquo; = SAME &nbsp;&nbsp;&nbsp; &lsquo;S&rsquo; = DIFFERENT</b><br><br><u>Please try to be as accurate as possible.</u><br><br><b>Press any key to begin</b></p>","k","","","","","","","","","","","","","","","","",""
"html-keyboard-response","9","223411","0.0-5.0-3.0-1.0-0.0","69807d4738a6a1d1a2774e67","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","10","223618","0.0-5.0-3.0-1.0-1.0","69807d4738a6a1d1a2774e67","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<img class='upper1' src=images/squares/blue.png><div class=""fixation"">+</div>","null","","","memory","practice","0","1","","","","","","","","","","",""
"html-keyboard-response","11","224522","0.0-5.0-3.0-1.0-2.0","69807d4738a6a1d1a2774e67","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","12","229196","0.0-5.0-3.0-1.0-3.0","69807d4738a6a1d1a2774e67","not_provided","desktop","0","0","0","","","","","","working_memory","","4671","<img class='upper1' src=images/squares/blue.png><div class=""fixation"">+</div>","k","","","test","practice","0","1","k","true","","","","","","","","",""
"html-keyboard-response","13","229707","0.0-5.0-3.0-1.0-4.0","69807d4738a6a1d1a2774e67","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">Correct</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","14","230714","0.0-5.0-3.0-1.0-0.1","69807d4738a6a1d1a2774e67","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","15","230923","0.0-5.0-3.0-1.0-1.1","69807d4738a6a1d1a2774e67","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<img class='a' src=images/squares/blue.png><img class='c' src=images/squares/magenta.png><img class='d' src=images/squares/orange.png><img class='e' src=images/squares/black.png><img class='g' src=images/squares/red.png><img class='h' src=images/squares/green.png><img class='k' src=images/squares/brown.png><img class='l' src=images/squares/yellow.png><div class=""fixation"">+</div>","null","","","memory","practice","1","8","","","","","","","","","","",""
"html-keyboard-response","16","231826","0.0-5.0-3.0-1.0-2.1","69807d4738a6a1d1a2774e67","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","17","233259","0.0-5.0-3.0-1.0-3.1","69807d4738a6a1d1a2774e67","not_provided","desktop","0","0","0","","","","","","working_memory","","1431","<img class='c' src=images/squares/magenta.png><div class=""fixation"">+</div>","s","","","test","practice","1","8","k","false","","","","","","","","",""
"html-keyboard-response","18","233762","0.0-5.0-3.0-1.0-4.1","69807d4738a6a1d1a2774e67","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">Incorrect</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","19","234772","0.0-5.0-3.0-1.0-0.2","69807d4738a6a1d1a2774e67","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","20","234978","0.0-5.0-3.0-1.0-1.2","69807d4738a6a1d1a2774e67","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<img class='b' src=images/squares/brown.png><img class='a' src=images/squares/magenta.png><img class='d' src=images/squares/black.png><img class='e' src=images/squares/orange.png><img class='g' src=images/squares/cyan.png><img class='h' src=images/squares/green.png><img class='l' src=images/squares/red.png><img class='k' src=images/squares/yellow.png><div class=""fixation"">+</div>","null","","","memory","practice","2","8","","","","","","","","","","",""
"html-keyboard-response","21","235883","0.0-5.0-3.0-1.0-2.2","69807d4738a6a1d1a2774e67","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","22","237820","0.0-5.0-3.0-1.0-3.2","69807d4738a6a1d1a2774e67","not_provided","desktop","0","0","0","","","","","","working_memory","","1935","<img class='k' src=images/squares/yellow.png><div class=""fixation"">+</div>","s","","","test","practice","2","8","k","false","","","","","","","","",""
"html-keyboard-response","23","238322","0.0-5.0-3.0-1.0-4.2","69807d4738a6a1d1a2774e67","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">Incorrect</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","24","239331","0.0-5.0-3.0-1.0-0.3","69807d4738a6a1d1a2774e67","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","25","239539","0.0-5.0-3.0-1.0-1.3","69807d4738a6a1d1a2774e67","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<img class='c' src=images/squares/brown.png><img class='f' src=images/squares/black.png><img class='g' src=images/squares/blue.png><img class='l' src=images/squares/yellow.png><div class=""fixation"">+</div>","null","","","memory","practice","3","4","","","","","","","","","","",""
"html-keyboard-response","26","240442","0.0-5.0-3.0-1.0-2.3","69807d4738a6a1d1a2774e67","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","27","241531","0.0-5.0-3.0-1.0-3.3","69807d4738a6a1d1a2774e67","not_provided","desktop","0","0","0","","","","","","working_memory","","1088","<img class='g' src=images/squares/blue.png><div class=""fixation"">+</div>","k","","","test","practice","3","4","k","true","","","","","","","","",""
"html-keyboard-response","28","242034","0.0-5.0-3.0-1.0-4.3","69807d4738a6a1d1a2774e67","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">Correct</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","29","243042","0.0-5.0-3.0-1.0-0.4","69807d4738a6a1d1a2774e67","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","30","243250","0.0-5.0-3.0-1.0-1.4","69807d4738a6a1d1a2774e67","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<img class='upper3' src=images/squares/blue.png><div class=""fixation"">+</div>","null","","","memory","practice","4","1","","","","","","","","","","",""
"html-keyboard-response","31","244155","0.0-5.0-3.0-1.0-2.4","69807d4738a6a1d1a2774e67","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","32","245572","0.0-5.0-3.0-1.0-3.4","69807d4738a6a1d1a2774e67","not_provided","desktop","0","0","0","","","","","","working_memory","","1415","<img class='upper3' src=images/squares/blue.png><div class=""fixation"">+</div>","k","","","test","practice","4","1","k","true","","","","","","","","",""
"html-keyboard-response","33","246075","0.0-5.0-3.0-1.0-4.4","69807d4738a6a1d1a2774e67","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">Correct</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","34","247082","0.0-5.0-3.0-1.0-0.5","69807d4738a6a1d1a2774e67","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","35","247290","0.0-5.0-3.0-1.0-1.5","69807d4738a6a1d1a2774e67","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<img class='lower2' src=images/squares/green.png><div class=""fixation"">+</div>","null","","","memory","practice","5","1","","","","","","","","","","",""
