"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","device_type","blur_count","fullscreen_exit_count","failed_attention_checks","success","timeout","failed_images","failed_audio","failed_video","phase","value","rt","stimulus","response","view_history","question_order","trial_name","block_type","trial_num","set_size","correct_response","accuracy","mapping","condition","prompt","flipped","attention","expected_answer","category","question_index","task"
"pavlovia","0","2144","0.0-0.0","6981e6c2e26c88d954f297eb","not_provided","desktop","0","0","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","3289","0.0-2.0","6981e6c2e26c88d954f297eb","not_provided","desktop","0","0","1","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","2","13650","0.0-3.0-0.0","6981e6c2e26c88d954f297eb","not_provided","desktop","0","0","1","","","","","","captcha","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","3","21617","0.0-4.0","6981e6c2e26c88d954f297eb","not_provided","desktop","0","0","1","true","","","","","setup","","","","","","","","","","","","","","","","","","","","",""
"call-function","4","21619","0.0-5.0-0.0","6981e6c2e26c88d954f297eb","not_provided","desktop","0","0","1","","","","","","working_memory","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","5","46465","0.0-5.0-1.0","6981e6c2e26c88d954f297eb","not_provided","desktop","0","0","1","","","","","","working_memory","","24844","<div style=""text-align:center;font-family:sans-serif;""><p>Welcome to the luck game experiment!</p><p>This two-day experiment takes part in a study aimed at developing better clinical treatments.</p><p>We appreciate your participation and require your full concentration.</p><br><p>This is a two-day study. Payment (£6/hour) is only given upon completing both parts today and tomorrow.</p><p>You must finish the second part for compensation. After today, you'll receive an invitation for tomorrow's session.</p><p>Please ensure you can attend both sessions before proceeding. Otherwise, you may exit now.</p><p>If you have any questions, please contact us via prolific.</p><br><p>Please stay attentive and in fullscreen mode to ensure payment.</p><p>Thank you for participating!</p><br><p id=""continue-prompt"" style=""visibility:hidden;""><b>Press any key to continue.</b></p></div>"," ","","","","","","","","","","","","","","","","",""
"instructions","6","100135","0.0-5.0-2.0-0.0","6981e6c2e26c88d954f297eb","not_provided","desktop","0","0","1","","","","","","working_memory","","53669","","","[{""page_index"":0,""viewing_time"":2367},{""page_index"":1,""viewing_time"":1476},{""page_index"":2,""viewing_time"":8875},{""page_index"":3,""viewing_time"":2150},{""page_index"":4,""viewing_time"":9443},{""page_index"":5,""viewing_time"":9572},{""page_index"":6,""viewing_time"":13680},{""page_index"":7,""viewing_time"":2790},{""page_index"":8,""viewing_time"":3315}]","","","","","","","","","","","","","","","",""
"survey-multi-choice","7","184614","0.0-5.0-2.0-1.0","6981e6c2e26c88d954f297eb","not_provided","desktop","0","0","1","","","","","","working_memory","","84477","","{""set_size"":""2 or 4"",""steps"":""True"",""choose_square"":""Press the 's' or 'k' key."",""remember"":""The colors and locations of the 'memory' squares"",""task"":""To tell if the 'test' square is in the same color as the square previously appearing in this location""}","","[0,1,2,3,4]","test_squares_quiz","","","","","","","","","","","","","",""
"html-button-response","8","189153","0.0-5.0-2.0-2.0-0.0","6981e6c2e26c88d954f297eb","not_provided","desktop","0","0","1","","","","","","working_memory","","4538","<p>Sorry, you made a mistake on the quiz.<br>Let's go back to the instructions &mdash; please read carefully before submitting again.<br>Thank you!</p>","0","","","","","","","","","","","","","","","","",""
"instructions","9","250488","0.0-5.0-2.1-0.1","6981e6c2e26c88d954f297eb","not_provided","desktop","0","0","1","","","","","","working_memory","","61334","","","[{""page_index"":0,""viewing_time"":1004},{""page_index"":1,""viewing_time"":1073},{""page_index"":2,""viewing_time"":15383},{""page_index"":3,""viewing_time"":2797},{""page_index"":4,""viewing_time"":8445},{""page_index"":5,""viewing_time"":11355},{""page_index"":6,""viewing_time"":15481},{""page_index"":7,""viewing_time"":1933},{""page_index"":6,""viewing_time"":1262},{""page_index"":7,""viewing_time"":1258},{""page_index"":8,""viewing_time"":1343}]","","","","","","","","","","","","","","","",""
