"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","device_type","blur_count","fullscreen_exit_count","failed_attention_checks","success","timeout","failed_images","failed_audio","failed_video","phase","value","rt","stimulus","response","view_history","question_order","trial_name","block_type","trial_num","set_size","correct_response","accuracy","mapping","condition","prompt","flipped","attention","expected_answer","category","question_index","task"
"pavlovia","0","1213","0.0-0.0","6989e54b0dfd382f095b37de","not_provided","desktop","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","2406","0.0-2.0","6989e54b0dfd382f095b37de","not_provided","desktop","0","0","0","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","2","21564","0.0-3.0-0.0","6989e54b0dfd382f095b37de","not_provided","desktop","0","0","0","","","","","","captcha","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","3","29316","0.0-4.0","6989e54b0dfd382f095b37de","not_provided","desktop","0","0","0","true","","","","","setup","","","","","","","","","","","","","","","","","","","","",""
"call-function","4","29316","0.0-5.0-0.0","6989e54b0dfd382f095b37de","not_provided","desktop","0","0","0","","","","","","working_memory","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","5","63521","0.0-5.0-1.0","6989e54b0dfd382f095b37de","not_provided","desktop","0","0","0","","","","","","working_memory","","34188","<div style=""text-align:center;font-family:sans-serif;""><p>Welcome to the luck game experiment!</p><p>This two-day experiment takes part in a study aimed at developing better clinical treatments.</p><p>We appreciate your participation and require your full concentration.</p><br><p>This is a two-day study. Payment (£6/hour) is only given upon completing both parts today and tomorrow.</p><p>You must finish the second part for compensation. After today, you'll receive an invitation for tomorrow's session.</p><p>Please ensure you can attend both sessions before proceeding. Otherwise, you may exit now.</p><p>If you have any questions, please contact us via prolific.</p><br><p>Please stay attentive and in fullscreen mode to ensure payment.</p><p>Thank you for participating!</p><br><p id=""continue-prompt"" style=""visibility:hidden;""><b>Press any key to continue.</b></p></div>"," ","","","","","","","","","","","","","","","","",""
"instructions","6","123129","0.0-5.0-2.0-0.0","6989e54b0dfd382f095b37de","not_provided","desktop","0","0","0","","","","","","working_memory","","59608","","","[{""page_index"":0,""viewing_time"":2328},{""page_index"":1,""viewing_time"":5566},{""page_index"":2,""viewing_time"":5986},{""page_index"":3,""viewing_time"":5518},{""page_index"":4,""viewing_time"":6591},{""page_index"":5,""viewing_time"":7943},{""page_index"":6,""viewing_time"":14750},{""page_index"":7,""viewing_time"":3941},{""page_index"":8,""viewing_time"":6985}]","","","","","","","","","","","","","","","",""
"survey-multi-choice","7","171663","0.0-5.0-2.0-1.0","6989e54b0dfd382f095b37de","not_provided","desktop","0","0","0","","","","","","working_memory","","48534","","{""set_size"":""4 or 6"",""steps"":""True"",""choose_square"":""Press the 'k' or 's' key."",""remember"":""The color and location of the single 'test' square"",""task"":""To tell if the 'test' square is in the same color as the square previously appearing in this location""}","","[0,1,2,3,4]","test_squares_quiz","","","","","","","","","","","","","",""
"html-button-response","8","174727","0.0-5.0-2.0-2.0-0.0","6989e54b0dfd382f095b37de","not_provided","desktop","0","0","0","","","","","","working_memory","","3048","<p>Sorry, you made a mistake on the quiz.<br>Let's go back to the instructions &mdash; please read carefully before submitting again.<br>Thank you!</p>","0","","","","","","","","","","","","","","","","",""
"instructions","9","186980","0.0-5.0-2.1-0.1","6989e54b0dfd382f095b37de","not_provided","desktop","0","0","0","","","","","","working_memory","","12253","","","[{""page_index"":0,""viewing_time"":1185},{""page_index"":1,""viewing_time"":1265},{""page_index"":2,""viewing_time"":1570},{""page_index"":3,""viewing_time"":865},{""page_index"":4,""viewing_time"":1661},{""page_index"":5,""viewing_time"":2822},{""page_index"":6,""viewing_time"":1225},{""page_index"":7,""viewing_time"":828},{""page_index"":8,""viewing_time"":832}]","","","","","","","","","","","","","","","",""
"survey-multi-choice","10","203362","0.0-5.0-2.1-1.1","6989e54b0dfd382f095b37de","not_provided","desktop","0","0","0","","","","","","working_memory","","16382","","{""set_size"":""4 or 8"",""steps"":""True"",""choose_square"":""Press the 'k' or 's' key."",""remember"":""The color and location of the single 'test' square"",""task"":""To tell if the 'test' square is in the same color as the square previously appearing in this location""}","","[0,1,2,3,4]","test_squares_quiz","","","","","","","","","","","","","",""
"html-button-response","11","205094","0.0-5.0-2.1-2.1-0.1","6989e54b0dfd382f095b37de","not_provided","desktop","0","0","0","","","","","","working_memory","","1717","<p>Sorry, you made a mistake on the quiz.<br>Let's go back to the instructions &mdash; please read carefully before submitting again.<br>Thank you!</p>","0","","","","","","","","","","","","","","","","",""
"instructions","12","230901","0.0-5.0-2.2-0.2","6989e54b0dfd382f095b37de","not_provided","desktop","0","0","0","","","","","","working_memory","","25807","","","[{""page_index"":0,""viewing_time"":1299},{""page_index"":1,""viewing_time"":966},{""page_index"":2,""viewing_time"":3607},{""page_index"":3,""viewing_time"":1127},{""page_index"":4,""viewing_time"":4129},{""page_index"":5,""viewing_time"":5627},{""page_index"":6,""viewing_time"":7368},{""page_index"":7,""viewing_time"":952},{""page_index"":8,""viewing_time"":732}]","","","","","","","","","","","","","","","",""
"survey-multi-choice","13","263157","0.0-5.0-2.2-1.2","6989e54b0dfd382f095b37de","not_provided","desktop","0","0","0","","","","","","working_memory","","32256","","{""set_size"":""4 or 8"",""steps"":""True"",""choose_square"":""Press the 'k' or 's' key."",""remember"":""The colors and locations of the 'memory' squares"",""task"":""To tell if the 'test' square is in the same color as the square previously appearing in this location""}","","[0,1,2,3,4]","test_squares_quiz","","","","","","","","","","","","","",""
"html-keyboard-response","14","278541","0.0-5.0-3.0-0.0","6989e54b0dfd382f095b37de","not_provided","desktop","0","0","0","","","","","","working_memory","","15384","<p>We will now start some practice trials.<br><b>The practice trials will also include some trials in which you will need to remember only one square to make sure you understood the instructions.</b><br>You may already want to be ready with your fingers on '<b>s</b>' and '<b>k</b>'.<br><img class=""wm-example-img"" src=""images/examples/keyboard.png""><br><b style=""font-size:1.2em;"">&lsquo;K&rsquo; = SAME &nbsp;&nbsp;&nbsp; &lsquo;S&rsquo; = DIFFERENT</b><br><br><u>Please try to be as accurate as possible.</u><br><br><b>Press any key to begin</b></p>","arrowright","","","","","","","","","","","","","","","","",""
"html-keyboard-response","15","280548","0.0-5.0-3.0-1.0-0.0","6989e54b0dfd382f095b37de","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","16","280768","0.0-5.0-3.0-1.0-1.0","6989e54b0dfd382f095b37de","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<img class='lower2' src=images/squares/cyan.png><div class=""fixation"">+</div>","null","","","memory","practice","0","1","","","","","","","","","","",""
"html-keyboard-response","17","281670","0.0-5.0-3.0-1.0-2.0","6989e54b0dfd382f095b37de","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","18","283725","0.0-5.0-3.0-1.0-3.0","6989e54b0dfd382f095b37de","not_provided","desktop","0","0","0","","","","","","working_memory","","2055","<img class='lower2' src=images/squares/magenta.png><div class=""fixation"">+</div>","s","","","test","practice","0","1","s","true","","","","","","","","",""
"html-keyboard-response","19","284231","0.0-5.0-3.0-1.0-4.0","6989e54b0dfd382f095b37de","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">Correct</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","20","285246","0.0-5.0-3.0-1.0-0.1","6989e54b0dfd382f095b37de","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","21","285452","0.0-5.0-3.0-1.0-1.1","6989e54b0dfd382f095b37de","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<img class='a' src=images/squares/blue.png><img class='b' src=images/squares/cyan.png><img class='f' src=images/squares/orange.png><img class='d' src=images/squares/yellow.png><img class='i' src=images/squares/red.png><img class='g' src=images/squares/green.png><img class='l' src=images/squares/black.png><img class='j' src=images/squares/magenta.png><div class=""fixation"">+</div>","null","","","memory","practice","1","8","","","","","","","","","","",""
"html-keyboard-response","22","286354","0.0-5.0-3.0-1.0-2.1","6989e54b0dfd382f095b37de","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
