"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","device_type","blur_count","fullscreen_exit_count","failed_attention_checks","success","timeout","failed_images","failed_audio","failed_video","phase","value","rt","stimulus","response","view_history","question_order","trial_name","block_type","trial_num","set_size","correct_response","accuracy","mapping","condition","prompt","flipped","attention","expected_answer","category","question_index","task"
"pavlovia","0","1814","0.0-0.0","69b3f02d28568b807f25aac7","not_provided","desktop","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","2245","0.0-2.0","69b3f02d28568b807f25aac7","not_provided","desktop","0","0","0","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","2","24571","0.0-3.0-0.0","69b3f02d28568b807f25aac7","not_provided","desktop","0","0","0","","","","","","captcha","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","3","36654","0.0-4.0","69b3f02d28568b807f25aac7","not_provided","desktop","0","0","0","true","","","","","setup","","","","","","","","","","","","","","","","","","","","",""
"call-function","4","36655","0.0-5.0-0.0","69b3f02d28568b807f25aac7","not_provided","desktop","0","0","0","","","","","","working_memory","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","5","55029","0.0-5.0-1.0","69b3f02d28568b807f25aac7","not_provided","desktop","1","1","0","","","","","","working_memory","","18374","<div style=""text-align:center;font-family:sans-serif;""><p>Welcome to the luck game experiment!</p><p>This two-day experiment takes part in a study aimed at developing better clinical treatments.</p><p>We appreciate your participation and require your full concentration.</p><br><p>This is a two-day study. Payment (£6/hour) is only given upon completing both parts today and tomorrow.</p><p>You must finish the second part for compensation. After today, you'll receive an invitation for tomorrow's session.</p><p>Please ensure you can attend both sessions before proceeding. Otherwise, you may exit now.</p><p>If you have any questions, please contact us via prolific.</p><br><p>Please stay attentive and in fullscreen mode to ensure payment.</p><p>Thank you for participating!</p><br><p id=""continue-prompt"" style=""visibility:hidden;""><b>Press any key to continue.</b></p></div>","f11","","","","","","","","","","","","","","","","",""
"instructions","6","219304","0.0-5.0-2.0-0.0","69b3f02d28568b807f25aac7","not_provided","desktop","7","1","0","","","","","","working_memory","","164274","","","[{""page_index"":0,""viewing_time"":2525},{""page_index"":1,""viewing_time"":2637},{""page_index"":2,""viewing_time"":59222},{""page_index"":3,""viewing_time"":6802},{""page_index"":4,""viewing_time"":8419},{""page_index"":5,""viewing_time"":18673},{""page_index"":6,""viewing_time"":31673},{""page_index"":7,""viewing_time"":12737},{""page_index"":8,""viewing_time"":15059},{""page_index"":7,""viewing_time"":1528},{""page_index"":6,""viewing_time"":2170},{""page_index"":7,""viewing_time"":555},{""page_index"":8,""viewing_time"":2277}]","","","","","","","","","","","","","","","",""
"survey-multi-choice","7","277866","0.0-5.0-2.0-1.0","69b3f02d28568b807f25aac7","not_provided","desktop","7","1","0","","","","","","working_memory","","58560","","{""set_size"":""2 or 4"",""steps"":""True"",""choose_square"":""Press the 's' or 'k' key."",""remember"":""The colors and locations of the 'memory' squares"",""task"":""To tell if the 'test' square is in the same color as the square previously appearing in this location""}","","[0,1,2,3,4]","test_squares_quiz","","","","","","","","","","","","","",""
"html-button-response","8","282267","0.0-5.0-2.0-2.0-0.0","69b3f02d28568b807f25aac7","not_provided","desktop","7","1","0","","","","","","working_memory","","4399","<p>Sorry, you made a mistake on the quiz.<br>Let's go back to the instructions &mdash; please read carefully before submitting again.<br>Thank you!</p>","0","","","","","","","","","","","","","","","","",""
"instructions","9","350256","0.0-5.0-2.1-0.1","69b3f02d28568b807f25aac7","not_provided","desktop","7","1","0","","","","","","working_memory","","67989","","","[{""page_index"":0,""viewing_time"":2703},{""page_index"":1,""viewing_time"":2108},{""page_index"":2,""viewing_time"":20355},{""page_index"":3,""viewing_time"":2562},{""page_index"":4,""viewing_time"":7972},{""page_index"":5,""viewing_time"":16751},{""page_index"":6,""viewing_time"":13138},{""page_index"":7,""viewing_time"":1421},{""page_index"":8,""viewing_time"":980}]","","","","","","","","","","","","","","","",""
"survey-multi-choice","10","375482","0.0-5.0-2.1-1.1","69b3f02d28568b807f25aac7","not_provided","desktop","7","1","0","","","","","","working_memory","","25223","","{""set_size"":""4 or 8"",""steps"":""True"",""choose_square"":""Press the 's' or 'k' key."",""remember"":""The color and location of the single 'test' square"",""task"":""To tell if the 'test' square is in the same color as the square previously appearing in this location""}","","[0,1,2,3,4]","test_squares_quiz","","","","","","","","","","","","","",""
"html-button-response","11","377014","0.0-5.0-2.1-2.1-0.1","69b3f02d28568b807f25aac7","not_provided","desktop","7","1","0","","","","","","working_memory","","1530","<p>Sorry, you made a mistake on the quiz.<br>Let's go back to the instructions &mdash; please read carefully before submitting again.<br>Thank you!</p>","0","","","","","","","","","","","","","","","","",""
"instructions","12","381509","0.0-5.0-2.2-0.2","69b3f02d28568b807f25aac7","not_provided","desktop","7","1","0","","","","","","working_memory","","4494","","","[{""page_index"":0,""viewing_time"":671},{""page_index"":1,""viewing_time"":450},{""page_index"":2,""viewing_time"":420},{""page_index"":3,""viewing_time"":393},{""page_index"":4,""viewing_time"":948},{""page_index"":5,""viewing_time"":274},{""page_index"":6,""viewing_time"":164},{""page_index"":7,""viewing_time"":446},{""page_index"":8,""viewing_time"":728}]","","","","","","","","","","","","","","","",""
