"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","device_type","blur_count","fullscreen_exit_count","failed_attention_checks","success","timeout","failed_images","failed_audio","failed_video","phase","value","rt","stimulus","response","view_history","question_order","trial_name","block_type","trial_num","set_size","correct_response","accuracy","mapping","condition","prompt","flipped","attention","expected_answer","category","question_index","task"
"pavlovia","0","1295","0.0-0.0","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","1623","0.0-2.0","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","2","8936","0.0-3.0-0.0","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","captcha","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","3","13835","0.0-4.0","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","true","","","","","setup","","","","","","","","","","","","","","","","","","","","",""
"call-function","4","13836","0.0-5.0-0.0","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","5","33179","0.0-5.0-1.0","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","19342","<div style=""text-align:center;font-family:sans-serif;""><p>Welcome to the luck game experiment!</p><p>This two-day experiment takes part in a study aimed at developing better clinical treatments.</p><p>We appreciate your participation and require your full concentration.</p><br><p>This is a two-day study. Payment (£6/hour) is only given upon completing both parts today and tomorrow.</p><p>You must finish the second part for compensation. After today, you'll receive an invitation for tomorrow's session.</p><p>Please ensure you can attend both sessions before proceeding. Otherwise, you may exit now.</p><p>If you have any questions, please contact us via prolific.</p><br><p>Please stay attentive and in fullscreen mode to ensure payment.</p><p>Thank you for participating!</p><br><p id=""continue-prompt"" style=""visibility:hidden;""><b>Press any key to continue.</b></p></div>"," ","","","","","","","","","","","","","","","","",""
"instructions","6","72364","0.0-5.0-2.0-0.0","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","39185","","","[{""page_index"":0,""viewing_time"":1499},{""page_index"":1,""viewing_time"":1218},{""page_index"":2,""viewing_time"":5690},{""page_index"":3,""viewing_time"":2230},{""page_index"":4,""viewing_time"":5110},{""page_index"":5,""viewing_time"":6041},{""page_index"":6,""viewing_time"":7329},{""page_index"":7,""viewing_time"":4705},{""page_index"":8,""viewing_time"":5364}]","","","","","","","","","","","","","","","",""
"survey-multi-choice","7","133105","0.0-5.0-2.0-1.0","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","60739","","{""set_size"":""2 or 4"",""steps"":""True"",""choose_square"":""Press the 's' or 'k' key."",""remember"":""The colors and locations of the 'memory' squares"",""task"":""To tell if the 'test' square is in the same color as the square previously appearing in this location""}","","[0,1,2,3,4]","test_squares_quiz","","","","","","","","","","","","","",""
"html-button-response","8","136119","0.0-5.0-2.0-2.0-0.0","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","3013","<p>Sorry, you made a mistake on the quiz.<br>Let's go back to the instructions &mdash; please read carefully before submitting again.<br>Thank you!</p>","0","","","","","","","","","","","","","","","","",""
"instructions","9","159886","0.0-5.0-2.1-0.1","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","23767","","","[{""page_index"":0,""viewing_time"":1113},{""page_index"":1,""viewing_time"":1384},{""page_index"":2,""viewing_time"":2196},{""page_index"":3,""viewing_time"":1322},{""page_index"":4,""viewing_time"":2878},{""page_index"":5,""viewing_time"":5755},{""page_index"":6,""viewing_time"":6813},{""page_index"":7,""viewing_time"":1039},{""page_index"":8,""viewing_time"":1268}]","","","","","","","","","","","","","","","",""
"survey-multi-choice","10","202864","0.0-5.0-2.1-1.1","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","42977","","{""set_size"":""4 or 8"",""steps"":""True"",""choose_square"":""Press the 's' or 'k' key."",""remember"":""The colors and locations of the 'memory' squares"",""task"":""To tell if the 'test' square is in the same color as the square previously appearing in this location""}","","[0,1,2,3,4]","test_squares_quiz","","","","","","","","","","","","","",""
"html-keyboard-response","11","211544","0.0-5.0-3.0-0.0","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","8678","<p>We will now start some practice trials.<br><b>The practice trials will also include some trials in which you will need to remember only one square to make sure you understood the instructions.</b><br>You may already want to be ready with your fingers on '<b>s</b>' and '<b>k</b>'.<br><img class=""wm-example-img"" src=""images/examples/keyboard.png""><br><b style=""font-size:1.2em;"">&lsquo;S&rsquo; = SAME &nbsp;&nbsp;&nbsp; &lsquo;K&rsquo; = DIFFERENT</b><br><br><u>Please try to be as accurate as possible.</u><br><br><b>Press any key to begin</b></p>"," ","","","","","","","","","","","","","","","","",""
"html-keyboard-response","12","213547","0.0-5.0-3.0-1.0-0.0","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","13","213750","0.0-5.0-3.0-1.0-1.0","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<img class='upper2' src=images/squares/brown.png><div class=""fixation"">+</div>","null","","","memory","practice","0","1","","","","","","","","","","",""
"html-keyboard-response","14","214652","0.0-5.0-3.0-1.0-2.0","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","15","216451","0.0-5.0-3.0-1.0-3.0","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","1797","<img class='upper2' src=images/squares/brown.png><div class=""fixation"">+</div>","s","","","test","practice","0","1","s","true","","","","","","","","",""
"html-keyboard-response","16","216953","0.0-5.0-3.0-1.0-4.0","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">Correct</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","17","217956","0.0-5.0-3.0-1.0-0.1","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","18","218159","0.0-5.0-3.0-1.0-1.1","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<img class='b' src=images/squares/magenta.png><img class='c' src=images/squares/green.png><img class='e' src=images/squares/brown.png><img class='d' src=images/squares/blue.png><img class='g' src=images/squares/cyan.png><img class='h' src=images/squares/red.png><img class='l' src=images/squares/yellow.png><img class='k' src=images/squares/orange.png><div class=""fixation"">+</div>","null","","","memory","practice","1","8","","","","","","","","","","",""
"html-keyboard-response","19","219061","0.0-5.0-3.0-1.0-2.1","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","20","220654","0.0-5.0-3.0-1.0-3.1","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","1592","<img class='h' src=images/squares/red.png><div class=""fixation"">+</div>","s","","","test","practice","1","8","s","true","","","","","","","","",""
"html-keyboard-response","21","221156","0.0-5.0-3.0-1.0-4.1","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">Correct</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","22","222158","0.0-5.0-3.0-1.0-0.2","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","23","222362","0.0-5.0-3.0-1.0-1.2","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<img class='lower1' src=images/squares/orange.png><div class=""fixation"">+</div>","null","","","memory","practice","2","1","","","","","","","","","","",""
"html-keyboard-response","24","223264","0.0-5.0-3.0-1.0-2.2","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","25","224170","0.0-5.0-3.0-1.0-3.2","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","905","<img class='lower1' src=images/squares/orange.png><div class=""fixation"">+</div>","s","","","test","practice","2","1","s","true","","","","","","","","",""
"html-keyboard-response","26","224671","0.0-5.0-3.0-1.0-4.2","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">Correct</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","27","225674","0.0-5.0-3.0-1.0-0.3","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","28","225877","0.0-5.0-3.0-1.0-1.3","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<img class='a' src=images/squares/cyan.png><img class='b' src=images/squares/brown.png><img class='e' src=images/squares/green.png><img class='d' src=images/squares/black.png><img class='i' src=images/squares/blue.png><img class='h' src=images/squares/red.png><img class='j' src=images/squares/yellow.png><img class='k' src=images/squares/orange.png><div class=""fixation"">+</div>","null","","","memory","practice","3","8","","","","","","","","","","",""
"html-keyboard-response","29","226779","0.0-5.0-3.0-1.0-2.3","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","30","227763","0.0-5.0-3.0-1.0-3.3","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","983","<img class='i' src=images/squares/magenta.png><div class=""fixation"">+</div>","k","","","test","practice","3","8","k","true","","","","","","","","",""
"html-keyboard-response","31","228265","0.0-5.0-3.0-1.0-4.3","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">Correct</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","32","229267","0.0-5.0-3.0-1.0-0.4","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","33","229470","0.0-5.0-3.0-1.0-1.4","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<img class='a' src=images/squares/black.png><img class='c' src=images/squares/cyan.png><img class='f' src=images/squares/blue.png><img class='d' src=images/squares/brown.png><img class='h' src=images/squares/yellow.png><img class='i' src=images/squares/green.png><img class='k' src=images/squares/red.png><img class='j' src=images/squares/orange.png><div class=""fixation"">+</div>","null","","","memory","practice","4","8","","","","","","","","","","",""
"html-keyboard-response","34","230372","0.0-5.0-3.0-1.0-2.4","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","35","231372","0.0-5.0-3.0-1.0-3.4","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","999","<img class='h' src=images/squares/magenta.png><div class=""fixation"">+</div>","s","","","test","practice","4","8","k","false","","","","","","","","",""
"html-keyboard-response","36","231874","0.0-5.0-3.0-1.0-4.4","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">Incorrect</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","37","232876","0.0-5.0-3.0-1.0-0.5","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","38","233079","0.0-5.0-3.0-1.0-1.5","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<img class='c' src=images/squares/yellow.png><img class='a' src=images/squares/blue.png><img class='d' src=images/squares/brown.png><img class='f' src=images/squares/red.png><img class='i' src=images/squares/green.png><img class='g' src=images/squares/cyan.png><img class='l' src=images/squares/black.png><img class='j' src=images/squares/magenta.png><div class=""fixation"">+</div>","null","","","memory","practice","5","8","","","","","","","","","","",""
"html-keyboard-response","39","233981","0.0-5.0-3.0-1.0-2.5","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","40","234938","0.0-5.0-3.0-1.0-3.5","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","956","<img class='l' src=images/squares/black.png><div class=""fixation"">+</div>","s","","","test","practice","5","8","s","true","","","","","","","","",""
"html-keyboard-response","41","235440","0.0-5.0-3.0-1.0-4.5","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">Correct</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","42","236442","0.0-5.0-3.0-1.0-0.6","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","43","236645","0.0-5.0-3.0-1.0-1.6","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<img class='c' src=images/squares/cyan.png><img class='d' src=images/squares/orange.png><img class='g' src=images/squares/magenta.png><img class='l' src=images/squares/black.png><div class=""fixation"">+</div>","null","","","memory","practice","6","4","","","","","","","","","","",""
"html-keyboard-response","44","237548","0.0-5.0-3.0-1.0-2.6","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","45","238251","0.0-5.0-3.0-1.0-3.6","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","702","<img class='c' src=images/squares/cyan.png><div class=""fixation"">+</div>","s","","","test","practice","6","4","s","true","","","","","","","","",""
"html-keyboard-response","46","238753","0.0-5.0-3.0-1.0-4.6","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">Correct</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","47","239755","0.0-5.0-3.0-1.0-0.7","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","48","239958","0.0-5.0-3.0-1.0-1.7","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<img class='b' src=images/squares/cyan.png><img class='e' src=images/squares/red.png><img class='i' src=images/squares/brown.png><img class='j' src=images/squares/black.png><div class=""fixation"">+</div>","null","","","memory","practice","7","4","","","","","","","","","","",""
"html-keyboard-response","49","240860","0.0-5.0-3.0-1.0-2.7","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","50","241406","0.0-5.0-3.0-1.0-3.7","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","545","<img class='b' src=images/squares/cyan.png><div class=""fixation"">+</div>","s","","","test","practice","7","4","s","true","","","","","","","","",""
"html-keyboard-response","51","241907","0.0-5.0-3.0-1.0-4.7","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">Correct</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","52","242909","0.0-5.0-3.0-1.0-0.8","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","53","243111","0.0-5.0-3.0-1.0-1.8","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<img class='c' src=images/squares/brown.png><img class='d' src=images/squares/green.png><img class='h' src=images/squares/magenta.png><img class='k' src=images/squares/orange.png><div class=""fixation"">+</div>","null","","","memory","practice","8","4","","","","","","","","","","",""
"html-keyboard-response","54","244014","0.0-5.0-3.0-1.0-2.8","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","55","244669","0.0-5.0-3.0-1.0-3.8","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","653","<img class='h' src=images/squares/magenta.png><div class=""fixation"">+</div>","k","","","test","practice","8","4","s","false","","","","","","","","",""
"html-keyboard-response","56","245170","0.0-5.0-3.0-1.0-4.8","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">Incorrect</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","57","246173","0.0-5.0-3.0-1.0-0.9","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","58","246375","0.0-5.0-3.0-1.0-1.9","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<img class='upper2' src=images/squares/blue.png><div class=""fixation"">+</div>","null","","","memory","practice","9","1","","","","","","","","","","",""
"html-keyboard-response","59","247278","0.0-5.0-3.0-1.0-2.9","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","60","247912","0.0-5.0-3.0-1.0-3.9","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","632","<img class='upper2' src=images/squares/blue.png><div class=""fixation"">+</div>","s","","","test","practice","9","1","s","true","","","","","","","","",""
"html-keyboard-response","61","248413","0.0-5.0-3.0-1.0-4.9","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">Correct</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","62","249415","0.0-5.0-3.0-1.0-0.10","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","63","249619","0.0-5.0-3.0-1.0-1.10","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<img class='lower3' src=images/squares/brown.png><div class=""fixation"">+</div>","null","","","memory","practice","10","1","","","","","","","","","","",""
"html-keyboard-response","64","250521","0.0-5.0-3.0-1.0-2.10","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","65","251146","0.0-5.0-3.0-1.0-3.10","69e913482ae5864d44e6387c","not_provided","desktop","0","0","0","","","","","","working_memory","","624","<img class='lower3' src=images/squares/brown.png><div class=""fixation"">+</div>","s","","","test","practice","10","1","s","true","","","","","","","","",""
