"trial_type","trial_index","time_elapsed","internal_node_id","subject_id","study_id","device_type","blur_count","fullscreen_exit_count","failed_attention_checks","success","timeout","failed_images","failed_audio","failed_video","phase","value","rt","stimulus","response","view_history","question_order","trial_name","block_type","trial_num","set_size","correct_response","accuracy","mapping","condition","prompt","flipped","attention","expected_answer","category","question_index","task"
"pavlovia","0","1668","0.0-0.0","673caf90069aa7e3820136cc","not_provided","desktop","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"preload","1","2906","0.0-2.0","673caf90069aa7e3820136cc","not_provided","desktop","0","0","0","true","false","[]","[]","[]","","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","2","16642","0.0-3.0-0.0","673caf90069aa7e3820136cc","not_provided","desktop","0","0","0","","","","","","captcha","","","","","","","","","","","","","","","","","","","","",""
"fullscreen","3","28230","0.0-4.0","673caf90069aa7e3820136cc","not_provided","desktop","0","0","0","true","","","","","setup","","","","","","","","","","","","","","","","","","","","",""
"call-function","4","28233","0.0-5.0-0.0","673caf90069aa7e3820136cc","not_provided","desktop","0","0","0","","","","","","working_memory","","","","","","","","","","","","","","","","","","","","",""
"html-keyboard-response","5","50618","0.0-5.0-1.0","673caf90069aa7e3820136cc","not_provided","desktop","0","0","0","","","","","","working_memory","","22382","<div style=""text-align:center;font-family:sans-serif;""><p>Welcome to the luck game experiment!</p><p>This two-day experiment takes part in a study aimed at developing better clinical treatments.</p><p>We appreciate your participation and require your full concentration.</p><br><p>This is a two-day study. Payment (£6/hour) is only given upon completing both parts today and tomorrow.</p><p>You must finish the second part for compensation. After today, you'll receive an invitation for tomorrow's session.</p><p>Please ensure you can attend both sessions before proceeding. Otherwise, you may exit now.</p><p>If you have any questions, please contact us via prolific.</p><br><p>Please stay attentive and in fullscreen mode to ensure payment.</p><p>Thank you for participating!</p><br><p id=""continue-prompt"" style=""visibility:hidden;""><b>Press any key to continue.</b></p></div>","unidentified","","","","","","","","","","","","","","","","",""
"instructions","6","128643","0.0-5.0-2.0-0.0","673caf90069aa7e3820136cc","not_provided","desktop","0","0","0","","","","","","working_memory","","78023","","","[{""page_index"":0,""viewing_time"":6945},{""page_index"":1,""viewing_time"":1412},{""page_index"":2,""viewing_time"":7852},{""page_index"":3,""viewing_time"":4249},{""page_index"":4,""viewing_time"":7479},{""page_index"":5,""viewing_time"":13326},{""page_index"":6,""viewing_time"":16200},{""page_index"":5,""viewing_time"":1431},{""page_index"":6,""viewing_time"":1433},{""page_index"":7,""viewing_time"":1366},{""page_index"":6,""viewing_time"":3770},{""page_index"":7,""viewing_time"":6161},{""page_index"":8,""viewing_time"":6398}]","","","","","","","","","","","","","","","",""
"survey-multi-choice","7","184476","0.0-5.0-2.0-1.0","673caf90069aa7e3820136cc","not_provided","desktop","0","0","0","","","","","","working_memory","","55827","","{""set_size"":""4 or 8"",""steps"":""True"",""choose_square"":""Press the 's' or 'k' key."",""remember"":""The color and location of the single 'test' square"",""task"":""To tell if the 'test' square is in the same color as the square previously appearing in this location""}","","[0,1,2,3,4]","test_squares_quiz","","","","","","","","","","","","","",""
"html-button-response","8","189743","0.0-5.0-2.0-2.0-0.0","673caf90069aa7e3820136cc","not_provided","desktop","0","0","0","","","","","","working_memory","","5264","<p>Sorry, you made a mistake on the quiz.<br>Let's go back to the instructions &mdash; please read carefully before submitting again.<br>Thank you!</p>","0","","","","","","","","","","","","","","","","",""
"instructions","9","230068","0.0-5.0-2.1-0.1","673caf90069aa7e3820136cc","not_provided","desktop","0","0","0","","","","","","working_memory","","40323","","","[{""page_index"":0,""viewing_time"":1640},{""page_index"":1,""viewing_time"":832},{""page_index"":2,""viewing_time"":968},{""page_index"":3,""viewing_time"":1947},{""page_index"":4,""viewing_time"":2678},{""page_index"":5,""viewing_time"":1022},{""page_index"":4,""viewing_time"":1093},{""page_index"":5,""viewing_time"":1234},{""page_index"":4,""viewing_time"":1483},{""page_index"":5,""viewing_time"":6163},{""page_index"":6,""viewing_time"":14326},{""page_index"":7,""viewing_time"":2901},{""page_index"":8,""viewing_time"":4036}]","","","","","","","","","","","","","","","",""
"survey-multi-choice","10","323510","0.0-5.0-2.1-1.1","673caf90069aa7e3820136cc","not_provided","desktop","0","0","0","","","","","","working_memory","","93438","","{""set_size"":""4 or 8"",""steps"":""True"",""choose_square"":""Press the 's' or 'k' key."",""remember"":""The colors and locations of the 'memory' squares"",""task"":""To tell if the 'test' square is in the same color as the square previously appearing in this location""}","","[0,1,2,3,4]","test_squares_quiz","","","","","","","","","","","","","",""
"html-keyboard-response","11","341924","0.0-5.0-3.0-0.0","673caf90069aa7e3820136cc","not_provided","desktop","0","0","0","","","","","","working_memory","","18411","<p>We will now start some practice trials.<br><b>The practice trials will also include some trials in which you will need to remember only one square to make sure you understood the instructions.</b><br>You may already want to be ready with your fingers on '<b>s</b>' and '<b>k</b>'.<br><img class=""wm-example-img"" src=""images/examples/keyboard.png""><br><b style=""font-size:1.2em;"">&lsquo;S&rsquo; = SAME &nbsp;&nbsp;&nbsp; &lsquo;K&rsquo; = DIFFERENT</b><br><br><u>Please try to be as accurate as possible.</u><br><br><b>Press any key to begin</b></p>"," ","","","","","","","","","","","","","","","","",""
"html-keyboard-response","12","343945","0.0-5.0-3.0-1.0-0.0","673caf90069aa7e3820136cc","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","13","344159","0.0-5.0-3.0-1.0-1.0","673caf90069aa7e3820136cc","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<img class='upper2' src=images/squares/blue.png><div class=""fixation"">+</div>","null","","","memory","practice","0","1","","","","","","","","","","",""
"html-keyboard-response","14","345070","0.0-5.0-3.0-1.0-2.0","673caf90069aa7e3820136cc","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","15","347452","0.0-5.0-3.0-1.0-3.0","673caf90069aa7e3820136cc","not_provided","desktop","0","0","0","","","","","","working_memory","","2379","<img class='upper2' src=images/squares/yellow.png><div class=""fixation"">+</div>","k","","","test","practice","0","1","k","true","","","","","","","","",""
"html-keyboard-response","16","347956","0.0-5.0-3.0-1.0-4.0","673caf90069aa7e3820136cc","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">Correct</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","17","348978","0.0-5.0-3.0-1.0-0.1","673caf90069aa7e3820136cc","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
"html-keyboard-response","18","349185","0.0-5.0-3.0-1.0-1.1","673caf90069aa7e3820136cc","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<img class='upper1' src=images/squares/brown.png><div class=""fixation"">+</div>","null","","","memory","practice","1","1","","","","","","","","","","",""
"html-keyboard-response","19","350097","0.0-5.0-3.0-1.0-2.1","673caf90069aa7e3820136cc","not_provided","desktop","0","0","0","","","","","","working_memory","","null","<div class=""fixation"">+</div>","null","","","","","","","","","","","","","","","","",""
