subject,alpha_rl,beta_rl
1,0.45120653499999996,0.52739588
2,0.463906815,0.33234679
3,0.38233177,1.1270332
4,0.52045483,0.5345839450000001
5,0.43257826,1.15988745
6,0.63183737,0.90860207
7,0.4928121,0.47206987
8,0.364513515,0.8242014799999999
9,0.41651819,0.406526255
10,0.45588452,0.9431296650000001
11,0.42846096,0.33796299
12,0.60126603,3.11493135
13,0.3763172,0.31088525
14,0.42611943500000005,0.61578546
15,0.40387072,0.32345282
16,0.5877610099999999,0.715094555
17,0.42213383,0.43409306000000003
18,0.697961305,0.67937413
19,0.43596462,0.419988545
20,0.6577658900000001,2.02629185
