subject,decay_rl,decay_h,rho_rl,rho_h
1,0.581056515,0.6596731499999999,-0.645489835,-0.60748236
2,0.378206535,0.30319828,1.0933616000000002,1.5035243999999999
3,0.5365903350000001,0.5026427099999999,0.09457133749999999,-0.85435941
4,0.401601755,0.53026491,1.129841,-1.0301367
5,0.543462975,0.507586785,0.26028644,0.89684024
6,0.5189623800000001,0.38749926,0.0461473145,0.76413648
7,0.429419775,0.413750045,0.825021985,0.349603485
8,0.613094975,0.51579937,0.77841856,1.413915
9,0.724604445,0.55322808,1.29770035,-0.509993015
10,0.78198473,0.58451507,1.1558046499999999,0.116811785
11,0.6792984500000001,0.457121965,0.78466671,-0.12159918
12,0.44014297,0.47317651,1.0554307,1.0790852000000002
13,0.392636765,0.539981515,1.9536708,0.429850705
14,0.66960726,0.614641765,1.569756,0.464900275
15,0.57816752,0.45819922,0.76199152,-0.47614033
16,0.5620051699999999,0.438265145,-0.308105505,-0.8315328150000001
17,0.23845263,0.51535341,1.3752929,-0.173134315
18,0.5023147349999999,0.6782709499999999,0.12092358,-0.57982348
19,0.671126405,0.65525861,0.550541765,0.48690793
20,0.47122362500000003,0.6089662849999999,0.80507995,0.329704575
21,0.5516041549999999,0.52500434,0.248436645,0.42949735
22,0.648876255,0.61568079,0.375095905,0.44108441
23,0.5619598800000001,0.574350565,0.38544083,-1.0715853
24,0.5283709750000001,0.48523482500000004,-0.220289825,0.5397665599999999
25,0.419917765,0.551805495,1.6385158,0.99370362
26,0.414237825,0.395029945,1.14305305,1.37085675
27,0.44756574000000005,0.53262871999999994,1.4526624,0.21894932
28,0.5775963,0.5810686549999999,1.0497092000000001,0.270622575
29,0.54180604,0.46427863999999996,0.55380253,-0.16249857
30,0.46282835499999997,0.52694482,-0.6581751600000001,-0.017030187500000002
31,0.28405227,0.579400075,0.91889478,-0.453810065
32,0.551266045,0.568854625,0.09755831400000001,0.5250221500000001
33,0.442807625,0.5475319000000001,0.377494245,-0.664796445
34,0.39958075000000004,0.50918899,0.8840345549999999,-0.321638365
35,0.645453135,0.47283546,0.51233956,0.42867773
36,0.508041925,0.47783405,0.67732137,0.37654946499999997
37,0.53707805,0.53851543,0.0189731655,-0.0339296505
38,0.5466085549999999,0.284741495,-0.2198763,0.9663607000000001
39,0.362355035,0.490628975,-1.2677497,-0.185751495
40,0.38995367999999997,0.608307695,1.0038204,1.3334857
41,0.56831945,0.53466046,0.9013544,1.0967790499999999
42,0.285245525,0.448404535,0.733976865,0.35772264
43,0.5690468,0.538525625,0.301871365,0.0061295912
44,0.542788185,0.55725443,0.0091381401,0.127704755
45,0.486693765,0.499630295,-0.24170212000000002,1.2753491499999998
46,0.622991375,0.544181715,0.41805086999999996,-0.25306837
47,0.49704674000000004,0.450321195,0.4853334,0.290573715
48,0.6371270250000001,0.6433089350000001,1.98172555,1.10027715
49,0.35049591,0.48168674499999997,0.9688468699999999,0.57742135000000006
50,0.5403719149999999,0.4992374,0.38288361,1.1047894999999999
51,0.45109887,0.44214553999999995,0.54294229,1.3044761999999999
52,0.521458075,0.6214902250000001,0.74947025,1.23445765
53,0.5556485099999999,0.49867833,0.255908205,0.2205873
54,0.5131757,0.49233333,1.18404815,1.62711645
55,0.51974857,0.37623223,0.94303643,1.36393465
56,0.462524585,0.692979255,-0.152651325,0.583282415
57,0.44691053999999997,0.5327235,0.7303046200000001,-0.006380005899999999
58,0.5541132900000001,0.52813522,0.914177735,0.24480640999999997
59,0.420818925,0.52746160500000006,0.738734205,0.249667215
60,0.5100087200000001,0.573572725,1.0146220499999998,1.09925485
61,0.52058384,0.34624936,0.60004501,1.1819936
62,0.66544521,0.5050695199999999,0.97886043,0.464670185
63,0.111165875,0.50067531,0.871551405,0.189927755
64,0.377774995,0.30353404,1.09085735,1.5170324000000002
65,0.500344995,0.40890085,-0.3979751,-0.603043175
66,0.42017679500000005,0.28228792999999996,1.0155514,1.59334795
67,0.402401275,0.28005625,1.0974142,1.47181645
68,0.400685595,0.445037915,1.1565533000000001,1.2980795
69,0.40473897999999997,0.193814175,0.41935775,0.944682915
70,0.58336674,0.6548997249999999,0.562864415,1.91733075
71,0.5737736099999999,0.516755125,0.24798064,-0.157634655
72,0.302456055,0.56590861,1.71983545,0.659486145
73,0.5409472099999999,0.574557135,1.8204368,0.583521905
74,0.76075929,0.56500862,1.55616655,0.477035145
75,0.54630343,0.523994945,-0.11554932500000001,0.393020445
76,0.498411015,0.62531914,-0.114253255,0.34366437
77,0.5239315200000001,0.485245375,0.18799259000000001,0.6199166
78,0.5415678150000001,0.5616805149999999,-0.22884437,-0.34026444
79,0.63038591,0.499941415,0.83117899,-0.22334354
80,0.44071935,0.57971061,1.2645816,1.29456185
81,0.6126028,0.64098254,0.35649317999999997,0.664770485
82,0.571537375,0.37975021,-0.214730255,0.7536147799999999
83,0.5669533250000001,0.539449165,0.11766375,0.137252115
84,0.31477688000000004,0.35814619999999997,0.75903002,0.61886731
85,0.33467805500000003,0.46937585000000004,1.1855343999999999,0.60466385
86,0.376128615,0.42183404,0.581356465,0.42414041
87,0.52110552,0.392324575,0.5903892749999999,0.41387251999999997
88,0.35284395999999996,0.5131071549999999,0.8392172099999999,0.883369365
89,0.505873,0.538341015,-0.216023195,0.23025658999999998
90,0.45105537500000004,0.429231185,1.002216,-0.650726955
91,0.726575035,0.392628585,1.56901715,-0.31586156
92,0.751859485,0.520882355,0.97269214,-0.11420334
93,0.53482561,0.525364385,0.06815028349999999,0.15387555
94,0.31229383,0.5146324499999999,1.5306921,0.14247088000000002
95,0.57796390500000006,0.6300171649999999,0.11975876499999999,0.247191845
96,0.5429868149999999,0.7128365000000001,1.1903698999999999,1.4835794500000001
97,0.613337095,0.41939598499999997,-0.83486897,0.6902921399999999
98,0.57158947,0.382755655,0.309231095,1.19431535
99,0.5761847499999999,0.539670355,0.620987915,0.0070890795
100,0.517266765,0.36265128999999996,0.132857065,0.970526125
101,0.5912881750000001,0.41674436000000004,0.64338327,0.859078025
102,0.40417846,0.36949168,0.30658601,0.602482465
103,0.58279194,0.493989075,0.9257065,0.52524372
104,0.40394868500000003,0.44297447,0.47632896999999996,0.70796806
105,0.5425618050000001,0.410459585,0.0827457575,-0.5147318350000001
106,0.6677221200000001,0.48227448500000003,0.56691725,-0.165039715
107,0.51944574,0.5676916999999999,0.8751317700000001,0.143908345
108,0.5388757550000001,0.5425595750000001,-0.0399861215,1.3493631499999998
109,0.567646545,0.468599235,0.689533,1.2655815499999998
110,0.547767315,0.48047171,0.104270695,-0.20167809
111,0.43665332,0.504116945,1.0968648,0.328125995
112,0.57379056,0.650835555,0.31058355,0.88552765
113,0.6264369750000001,0.5853462300000001,0.31602907999999996,0.7594551199999999
114,0.572507095,0.420424705,-0.538828555,0.785476625
115,0.5577827049999999,0.283197795,-0.35092302,0.89343392
116,0.6167170399999999,0.5009328900000001,0.8369659199999999,-0.13984598
117,0.499227935,0.61778744,-0.24024378000000002,2.00139775
