"subject","block","trial","first_trial_in_block","first_trial","card_right","card_left","ch_card","ch_key","selected_offer","reward","Q_ch_card","Q_unch_card","Q_right_card","Q_left_card","exp_val_right","exp_val_left","exp_val_ch","exp_val_unch","PE_cards","alpha","beta","kappa","scarcity"
1,1,1,1,1,2,1,1,1,0,0,0.5,0.5,0.5,0.5,0,0,0,0,-0.5,0.3,4,0.05,0
1,1,2,0,0,2,3,2,2,1,0,0.5,0.5,0.5,0.5,0,0,0,0,-0.5,0.3,4,0.05,0
1,1,3,0,0,3,1,3,2,1,0,0.5,0.35,0.5,0.35,0,0,0,0,-0.5,0.3,4,0.05,0
1,1,4,0,0,2,1,2,2,1,0,0.35,0.35,0.35,0.35,0,0,0,0,-0.35,0.3,4,0.05,0
1,1,5,0,0,3,2,3,2,1,0,0.35,0.245,0.35,0.245,0,0,0,0,-0.35,0.3,4,0.05,0
1,1,6,0,0,1,3,1,2,1,0,0.35,0.245,0.35,0.245,0,0,0,0,-0.35,0.3,4,0.05,0
1,1,7,0,0,1,3,1,2,1,0,0.245,0.245,0.245,0.245,0,0,0,0,-0.245,0.3,4,0.05,0
1,1,8,0,0,3,2,2,1,0,0,0.245,0.245,0.245,0.245,0,0,0,0,-0.245,0.3,4,0.05,0
1,1,9,0,0,1,3,3,1,0,0,0.245,0.1715,0.1715,0.245,0,0,0,0,-0.245,0.3,4,0.05,0
1,1,10,0,0,2,1,1,1,0,0,0.1715,0.1715,0.1715,0.1715,0,0,0,0,-0.1715,0.3,4,0.05,0
1,1,11,0,0,1,3,3,1,0,0,0.1715,0.12005,0.12005,0.1715,0,0,0,0,-0.1715,0.3,4,0.05,0
1,1,12,0,0,1,3,3,1,0,0,0.12005,0.12005,0.12005,0.12005,0,0,0,0,-0.12005,0.3,4,0.05,0
1,1,13,0,0,3,1,3,2,1,0,0.084035,0.12005,0.084035,0.12005,0,0,0,0,-0.084035,0.3,4,0.05,0
1,1,14,0,0,1,3,1,2,1,0,0.12005,0.0588245,0.12005,0.0588245,0,0,0,0,-0.12005,0.3,4,0.05,0
1,1,15,0,0,2,3,2,2,1,0,0.1715,0.0588245,0.1715,0.0588245,0,0,0,0,-0.1715,0.3,4,0.05,0
1,1,16,0,0,2,1,1,1,0,0,0.084035,0.12005,0.12005,0.084035,0,0,0,0,-0.084035,0.3,4,0.05,0
1,1,17,0,0,2,1,1,1,0,0,0.0588245,0.12005,0.12005,0.0588245,0,0,0,0,-0.0588245,0.3,4,0.05,0
1,1,18,0,0,2,3,3,1,0,0,0.0588245,0.12005,0.12005,0.0588245,0,0,0,0,-0.0588245,0.3,4,0.05,0
1,1,19,0,0,3,2,2,1,0,0,0.12005,0.04117715,0.04117715,0.12005,0,0,0,0,-0.12005,0.3,4,0.05,0
1,1,20,0,0,3,1,1,1,0,0,0.04117715,0.04117715,0.04117715,0.04117715,0,0,0,0,-0.04117715,0.3,4,0.05,0
1,1,21,0,0,3,1,1,1,0,0,0.028824005,0.04117715,0.04117715,0.028824005,0,0,0,0,-0.028824005,0.3,4,0.05,0
1,1,22,0,0,1,2,2,1,0,0,0.084035,0.0201768035,0.0201768035,0.084035,0,0,0,0,-0.084035,0.3,4,0.05,0
1,1,23,0,0,1,3,1,2,1,0,0.0201768035,0.04117715,0.0201768035,0.04117715,0,0,0,0,-0.0201768035,0.3,4,0.05,0
1,1,24,0,0,3,2,3,2,1,0,0.04117715,0.0588245,0.04117715,0.0588245,0,0,0,0,-0.04117715,0.3,4,0.05,0
1,1,25,0,0,2,3,3,1,0,0,0.028824005,0.0588245,0.0588245,0.028824005,0,0,0,0,-0.028824005,0.3,4,0.05,0
1,2,1,1,0,3,2,3,2,1,0,0.0201768035,0.0588245,0.0201768035,0.0588245,0,0,0,0,-0.0201768035,0.3,4,0.05,0
1,2,2,0,0,3,2,3,2,1,0,0.01412376245,0.0588245,0.01412376245,0.0588245,0,0,0,0,-0.01412376245,0.3,4,0.05,0
1,2,3,0,0,2,3,3,1,0,0,0.009886633715,0.0588245,0.0588245,0.009886633715,0,0,0,0,-0.009886633715,0.3,4,0.05,0
1,2,4,0,0,1,2,1,2,1,0,0.01412376245,0.0588245,0.01412376245,0.0588245,0,0,0,0,-0.01412376245,0.3,4,0.05,0
