"subject","block","trial","first_trial_in_block","first_trial","card_right","card_left","ch_card","ch_key","selected_offer","reward","Q_ch_card","Q_unch_card","Q_right_card","Q_left_card","exp_val_right","exp_val_left","exp_val_ch","exp_val_unch","E_ch_card","E_unch_card","PE_cards","alpha","beta","explore","decay_explore","scarcity"
1,1,1,1,1,3,1,1,1,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,-0.5,0.3,4,0.05,0.9,0
1,1,2,0,0,3,1,1,1,0,0,0.35,0.5,0.5,0.35,0,0,0,0,0.05,0,-0.35,0.3,4,0.05,0.9,0
1,1,3,0,0,1,3,1,2,1,0,0.245,0.5,0.245,0.5,0,0,0,0,0.095,0,-0.245,0.3,4,0.05,0.9,0
1,1,4,0,0,2,3,3,1,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0,0,-0.5,0.3,4,0.05,0.9,0
1,1,5,0,0,2,1,2,2,1,0,0.5,0.1715,0.5,0.1715,0,0,0,0,0,0.12195,-0.5,0.3,4,0.05,0.9,0
1,1,6,0,0,2,1,1,1,0,0,0.1715,0.35,0.35,0.1715,0,0,0,0,0.109755,0.05,-0.1715,0.3,4,0.05,0.9,0
1,1,7,0,0,2,3,3,1,0,0,0.35,0.35,0.35,0.35,0,0,0,0,0.0405,0.045,-0.35,0.3,4,0.05,0.9,0
1,1,8,0,0,2,1,2,2,1,0,0.35,0.12005,0.35,0.12005,0,0,0,0,0.0405,0.13390155,-0.35,0.3,4,0.05,0.9,0
1,1,9,0,0,1,2,1,2,1,0,0.12005,0.245,0.12005,0.245,0,0,0,0,0.120511395,0.08645,-0.12005,0.3,4,0.05,0.9,0
1,1,10,0,0,2,3,2,2,1,0,0.245,0.245,0.245,0.245,0,0,0,0,0.077805,0.0700245,-0.245,0.3,4,0.05,0.9,0
1,1,11,0,0,3,2,3,2,1,0,0.245,0.1715,0.245,0.1715,0,0,0,0,0.06302205,0.1200245,-0.245,0.3,4,0.05,0.9,0
1,1,12,0,0,3,1,3,2,1,0,0.1715,0.084035,0.1715,0.084035,0,0,0,0,0.106719845,0.128352806955,-0.1715,0.3,4,0.05,0.9,0
