"subject","block","trial","first_trial_in_block","first_trial","card_right","card_left","ch_card","ch_key","selected_offer","reward","Q_ch_card","Q_unch_card","Q_right_card","Q_left_card","exp_val_right","exp_val_left","exp_val_ch","exp_val_unch","PE_cards","alpha","beta","scarcity"
1,1,1,1,1,1,2,1,2,1,0,0.5,0.5,0.5,0.5,0.2,0.2,0.2,0.2,-0.5,0.3,4,0.2
1,1,2,0,0,3,1,3,2,1,0,0.5,0.35,0.5,0.35,0.2,0.2,0.2,0.2,-0.5,0.3,4,0.2
1,1,3,0,0,2,3,2,2,1,0,0.5,0.35,0.5,0.35,0.2,0.2,0.2,0.2,-0.5,0.3,4,0.2
1,1,4,0,0,1,2,2,1,0,0,0.35,0.35,0.35,0.35,0.2,0.2,0.2,0.2,-0.35,0.3,4,0.2
1,1,5,0,0,2,1,2,2,1,0,0.245,0.35,0.245,0.35,0.2,0.2,0.2,0.2,-0.245,0.3,4,0.2
1,1,6,0,0,1,2,2,1,0,0,0.1715,0.35,0.35,0.1715,0.2,0.2,0.2,0.2,-0.1715,0.3,4,0.2
1,1,7,0,0,1,2,1,2,1,0,0.35,0.12005,0.35,0.12005,0.2,0.2,0.2,0.2,-0.35,0.3,4,0.2
1,1,8,0,0,1,3,1,2,1,0,0.245,0.35,0.245,0.35,0.2,0.2,0.2,0.2,-0.245,0.3,4,0.2
1,1,9,0,0,2,3,3,1,0,0,0.35,0.12005,0.12005,0.35,0.2,0.2,0.2,0.2,-0.35,0.3,4,0.2
1,1,10,0,0,1,3,3,1,0,1,0.245,0.1715,0.1715,0.245,0.2,0.2,0.2,0.2,0.755,0.3,4,0.2
1,1,11,0,0,3,2,3,2,1,0,0.4715,0.12005,0.4715,0.12005,0.2,0.2,0.2,0.2,-0.4715,0.3,4,0.2
1,1,12,0,0,3,1,3,2,1,0,0.33005,0.1715,0.33005,0.1715,0.2,0.2,0.2,0.2,-0.33005,0.3,4,0.2
1,1,13,0,0,1,3,1,2,1,0,0.1715,0.231035,0.1715,0.231035,0.2,0.2,0.2,0.2,-0.1715,0.3,4,0.2
1,1,14,0,0,1,3,1,2,1,0,0.12005,0.231035,0.12005,0.231035,0.2,0.2,0.2,0.2,-0.12005,0.3,4,0.2
1,1,15,0,0,1,3,3,1,0,0,0.231035,0.084035,0.084035,0.231035,0.2,0.2,0.2,0.2,-0.231035,0.3,4,0.2
1,1,16,0,0,2,3,3,1,0,0,0.1617245,0.12005,0.12005,0.1617245,0.2,0.2,0.2,0.2,-0.1617245,0.3,4,0.2
1,1,17,0,0,2,3,2,2,1,1,0.12005,0.11320715,0.12005,0.11320715,0.2,0.2,0.2,0.2,0.87995,0.3,4,0.2
1,1,18,0,0,1,3,1,2,1,0,0.084035,0.11320715,0.084035,0.11320715,0.2,0.2,0.2,0.2,-0.084035,0.3,4,0.2
1,1,19,0,0,2,1,2,2,1,0,0.384035,0.0588245,0.384035,0.0588245,0.2,0.2,0.2,0.2,-0.384035,0.3,4,0.2
1,1,20,0,0,1,2,2,1,0,0,0.2688245,0.0588245,0.0588245,0.2688245,0.2,0.2,0.2,0.2,-0.2688245,0.3,4,0.2
1,1,21,0,0,1,3,1,2,1,0,0.0588245,0.11320715,0.0588245,0.11320715,0.2,0.2,0.2,0.2,-0.0588245,0.3,4,0.2
1,1,22,0,0,2,3,2,2,1,0,0.18817715,0.11320715,0.18817715,0.11320715,0.2,0.2,0.2,0.2,-0.18817715,0.3,4,0.2
1,1,23,0,0,3,1,1,1,0,0,0.04117715,0.11320715,0.11320715,0.04117715,0.2,0.2,0.2,0.2,-0.04117715,0.3,4,0.2
1,1,24,0,0,1,3,3,1,0,0,0.11320715,0.028824005,0.028824005,0.11320715,0.2,0.2,0.2,0.2,-0.11320715,0.3,4,0.2
